"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0.001;0;1.219
"1997-01-02";0.002;0;1.201
"1997-01-03";2.146;0;1.154
"1997-01-04";3.263;0.008;1.194
"1997-01-05";0;0.049;1.163
"1997-01-06";0;0.034;1.105
"1997-01-07";0;0;0.976
"1997-01-08";0;0;0.965
"1997-01-09";0.007;0.028;0.871
"1997-01-10";0.044;0.006;0.822
"1997-01-11";0;0.009;0.807
"1997-01-12";0;0;0.763
"1997-01-13";0;0;0.749
"1997-01-14";0;0;0.691
"1997-01-15";0;0.051;0.632
"1997-01-16";0;0.145;0.727
"1997-01-17";0;0.253;0.706
"1997-01-18";1.352;0.354;0.709
"1997-01-19";13.89;0.354;1.505
"1997-01-20";0.032;0.337;3.613
"1997-01-21";0;0.35;3.127
"1997-01-22";2.873;0.419;2.327
"1997-01-23";4.513;0.577;2.169
"1997-01-24";0.003;0.494;2.931
"1997-01-25";0;0.359;2.216
"1997-01-26";0.044;0.309;1.871
"1997-01-27";0;0.261;1.646
"1997-01-28";0.099;0.207;1.416
"1997-01-29";0;0.203;1.264
"1997-01-30";0;0.137;1.139
"1997-01-31";0;0.136;1.046
"1997-02-01";0;0.13;0.962
"1997-02-02";0;0.142;0.948
"1997-02-03";0;0.193;0.863
"1997-02-04";0;0.306;0.834
"1997-02-05";8.2;0.428;0.873
"1997-02-06";0;0.303;1.093
"1997-02-07";0;0.416;1.131
"1997-02-08";0;0.482;0.941
"1997-02-09";0;0.509;0.891
"1997-02-10";0.973;0.695;0.808
"1997-02-11";3.328;0.634;0.863
"1997-02-12";5.54;0.798;0.883
"1997-02-13";14.129;0.632;1.366
"1997-02-14";11.448;0.57;2.534
"1997-02-15";7.746;0.489;3.222
"1997-02-16";0;0.367;4.834
"1997-02-17";0.521;0.551;3.141
"1997-02-18";13.514;0.699;2.478
"1997-02-19";0.002;0.578;3.491
"1997-02-20";1.547;0.795;3.21
"1997-02-21";0;0.8;2.505
"1997-02-22";0.046;0.895;2.179
"1997-02-23";0.062;0.957;1.905
"1997-02-24";3.994;1.018;1.736
"1997-02-25";49.175;1.115;3.214
"1997-02-26";17.22;0.95;12.345
"1997-02-27";0.34;0.761;13.193
"1997-02-28";0.004;0.912;6.79
"1997-03-01";0;1.206;4.491
"1997-03-02";0;1.179;3.606
"1997-03-03";3.063;1.085;3.077
"1997-03-04";0;1.381;2.808
"1997-03-05";2.66;1.138;2.649
"1997-03-06";0.71;0.955;2.336
"1997-03-07";0;0.874;2.223
"1997-03-08";0;0.88;1.988
"1997-03-09";0;1.044;1.744
"1997-03-10";0;1.146;1.599
"1997-03-11";0;1.208;1.443
"1997-03-12";0;1.263;1.204
"1997-03-13";0;1.092;1.182
"1997-03-14";3.705;0.899;1.115
"1997-03-15";0.989;1.208;1.131
"1997-03-16";0.58;1.362;1.08
"1997-03-17";0;1.27;0.988
"1997-03-18";1.702;1.275;0.943
"1997-03-19";11.335;0.972;0.907
"1997-03-20";0.614;0.821;1.072
"1997-03-21";0.172;0.933;1.269
"1997-03-22";0;0.77;1.007
"1997-03-23";2.37;0.922;0.888
"1997-03-24";2.721;1.113;0.867
"1997-03-25";1.498;1.146;0.897
"1997-03-26";0;1.297;0.939
"1997-03-27";0.666;1.585;0.883
"1997-03-28";6.825;1.43;0.867
"1997-03-29";0.027;0.895;1.051
"1997-03-30";0;1.105;0.986
"1997-03-31";0;1.278;0.878
"1997-04-01";0;1.6;0.803
"1997-04-02";0;1.718;0.745
"1997-04-03";0.004;1.645;0.697
"1997-04-04";0.317;1.207;0.671
"1997-04-05";0.265;1.283;0.603
"1997-04-06";1.072;1.54;0.621
