"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.915
"1997-01-02";0;0;0.814
"1997-01-03";0;0;0.795
"1997-01-04";0;0;0.795
"1997-01-05";0;0.011;0.795
"1997-01-06";0;0;0.766
"1997-01-07";0;0;0.736
"1997-01-08";0;0;0.727
"1997-01-09";0;0.111;0.727
"1997-01-10";0;0;0.727
"1997-01-11";0;0.029;0.727
"1997-01-12";0;0.08;0.68
"1997-01-13";0;0.15;0.657
"1997-01-14";0;0.176;0.653
"1997-01-15";0;0.139;0.648
"1997-01-16";0;0.209;0.644
"1997-01-17";0.017;0.271;0.64
"1997-01-18";0.405;0.307;0.635
"1997-01-19";1.114;0.366;0.652
"1997-01-20";0;0.299;0.944
"1997-01-21";0;0.304;0.814
"1997-01-22";0;0.442;0.657
"1997-01-23";0;0.382;0.647
"1997-01-24";0.022;0.442;0.937
"1997-01-25";0;0.498;1.081
"1997-01-26";0;0.214;1.165
"1997-01-27";0;0.159;1.131
"1997-01-28";0;0.167;0.931
"1997-01-29";0;0.282;0.753
"1997-01-30";0;0.225;0.708
"1997-01-31";0;0.271;0.725
"1997-02-01";0;0.301;0.727
"1997-02-02";0;0.158;0.738
"1997-02-03";0;0.26;0.727
"1997-02-04";4.387;0.383;0.727
"1997-02-05";8.561;0.435;2.957
"1997-02-06";0;0.366;4.336
"1997-02-07";0;0.447;2.909
"1997-02-08";0.098;0.58;2.237
"1997-02-09";0;0.666;1.86
"1997-02-10";5.375;0.648;1.673
"1997-02-11";3.659;0.513;1.668
"1997-02-12";14.505;0.837;3.18
"1997-02-13";11.626;0.603;6.991
"1997-02-14";5.36;0.467;8.909
"1997-02-15";0;0.466;5.165
"1997-02-16";0.215;0.431;3.768
"1997-02-17";0.024;0.671;2.503
"1997-02-18";13.753;0.706;2.697
"1997-02-19";0.418;0.564;4.693
"1997-02-20";0;0.796;3.364
"1997-02-21";0;0.859;2.354
"1997-02-22";0;0.928;1.966
"1997-02-23";0;0.845;1.759
"1997-02-24";13.125;0.968;1.64
"1997-02-25";11.831;1.062;5.687
"1997-02-26";1.062;0.892;5.882
"1997-02-27";0;0.779;2.404
"1997-02-28";0;0.971;1.205
"1997-03-01";0;1.058;0.65
"1997-03-02";2.551;1.082;0.616
"1997-03-03";7.976;0.953;0.448
"1997-03-04";1.762;1.213;0.789
"1997-03-05";2.671;0.998;1.263
"1997-03-06";1.939;0.999;1.109
"1997-03-07";0;1.135;0.86
"1997-03-08";0;1.087;0.769
"1997-03-09";0;1.176;0.47
"1997-03-10";0;1.224;0.327
"1997-03-11";0;1.196;0.193
"1997-03-12";0;1.255;0.157
"1997-03-13";0;1.172;0.143
"1997-03-14";2.305;1.099;0.13
"1997-03-15";0.079;1.15;0.127
"1997-03-16";0;1.268;0.145
"1997-03-17";0;1.276;0.134
"1997-03-18";2.843;1.165;0.128
"1997-03-19";3.881;1.054;0.159
"1997-03-20";0;0.935;0.275
"1997-03-21";0.736;1.041;0.31
"1997-03-22";0;0.864;0.252
"1997-03-23";2.436;1.089;0.202
"1997-03-24";0.042;1.23;0.233
"1997-03-25";0.231;1.225;0.279
"1997-03-26";0;1.377;0.278
"1997-03-27";0;1.723;0.244
"1997-03-28";0.306;1.317;0.224
"1997-03-29";0;1.042;0.229
"1997-03-30";0;1.331;0.186
"1997-03-31";0;1.443;0.166
"1997-04-01";0;1.637;0.137
"1997-04-02";0;1.636;0.113
"1997-04-03";1.598;1.343;0.121
"1997-04-04";0;1.135;0.128
"1997-04-05";0;1.427;0.154
"1997-04-06";0;1.457;0.166
"1997-04-07";0;1.281;0.157
"1997-04-08";0;1.515;0.123
"1997-04-09";0;1.818;0.128
"1997-04-10";0;1.887;0.129
"1997-04-11";0;1.427;0.174
"1997-04-12";0;1.105;0.268
"1997-04-13";0;1.185;0.28
"1997-04-14";0;1.66;0.235
"1997-04-15";0;1.405;0.147
"1997-04-16";0;1.175;0.202
"1997-04-17";0;1.556;0.223
"1997-04-18";0;1.562;0.242
"1997-04-19";0;1.281;0.242
"1997-04-20";0;1.224;0.239
"1997-04-21";0;1.277;0.219
"1997-04-22";0;1.315;0.206
"1997-04-23";0;1.465;0.203
"1997-04-24";0;1.848;0.193
"1997-04-25";5.191;1.938;0.188
"1997-04-26";6.292;2.148;0.196
"1997-04-27";0.556;2.133;0.276
"1997-04-28";3.365;2.203;0.342
