"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.436
"1997-01-02";0;0;0.424
"1997-01-03";0;0;0.421
"1997-01-04";3.205;0.049;0.409
"1997-01-05";0;0.055;0.396
"1997-01-06";0;0.077;0.384
"1997-01-07";0;0;0.381
"1997-01-08";1.38;0.013;0.372
"1997-01-09";0;0.153;0.366
"1997-01-10";0;0.212;0.362
"1997-01-11";0.025;0.232;0.353
"1997-01-12";0;0.278;0.339
"1997-01-13";0;0.332;0.311
"1997-01-14";0;0.297;0.286
"1997-01-15";0;0.34;0.247
"1997-01-16";0;0.372;0.254
"1997-01-17";3.78;0.41;0.318
"1997-01-18";2.616;0.408;0.404
"1997-01-19";0.189;0.462;0.555
"1997-01-20";0;0.305;0.524
"1997-01-21";7.074;0.366;0.474
"1997-01-22";2.668;0.546;0.938
"1997-01-23";3.912;0.486;0.858
"1997-01-24";0.114;0.556;0.913
"1997-01-25";0;0.596;0.866
"1997-01-26";0;0.443;0.801
"1997-01-27";0;0.298;0.747
"1997-01-28";0;0.387;0.698
"1997-01-29";0;0.232;0.639
"1997-01-30";0;0.234;0.604
"1997-01-31";0;0.193;0.569
"1997-02-01";0;0.166;0.538
"1997-02-02";0;0.339;0.505
"1997-02-03";0;0.441;0.479
"1997-02-04";3.46;0.493;0.458
"1997-02-05";2.85;0.627;0.616
"1997-02-06";0;0.529;0.554
"1997-02-07";0;0.617;0.489
"1997-02-08";0;0.601;0.453
"1997-02-09";0;0.594;0.426
"1997-02-10";6.131;0.733;0.451
"1997-02-11";7.863;0.685;0.652
"1997-02-12";6.019;0.916;1.029
"1997-02-13";6.816;0.709;1.712
"1997-02-14";26.52;0.815;2.258
"1997-02-15";3.197;0.604;6.77
"1997-02-16";2.551;0.535;3.356
"1997-02-17";5.07;0.835;2.236
"1997-02-18";9.239;0.867;3.241
"1997-02-19";2.328;0.746;2.404
"1997-02-20";0;0.902;2.05
"1997-02-21";0;0.941;1.718
"1997-02-22";0;0.951;1.493
"1997-02-23";0;0.969;1.346
"1997-02-24";25.063;1.096;2.05
"1997-02-25";24.707;1.132;8.972
"1997-02-26";1.408;0.936;10.404
