"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0.145;0.724
"1997-01-02";0.148;0.227;0.688
"1997-01-03";12.208;0.272;0.737
"1997-01-04";16.858;0.263;3.115
"1997-01-05";4.178;0.344;3.901
"1997-01-06";2.581;0.266;2.658
"1997-01-07";0;0.271;2.19
"1997-01-08";0.032;0.313;1.711
"1997-01-09";1.849;0.417;1.447
"1997-01-10";4.108;0.404;3.271
"1997-01-11";0;0.36;2.912
"1997-01-12";0;0.468;1.993
"1997-01-13";0;0.434;1.645
"1997-01-14";0;0.463;1.418
"1997-01-15";0;0.521;1.247
"1997-01-16";0;0.574;1.15
"1997-01-17";11.058;0.605;1.099
"1997-01-18";0.602;0.627;2.478
"1997-01-19";0;0.683;1.949
"1997-01-20";0.341;0.654;1.588
"1997-01-21";0.647;0.846;1.388
"1997-01-22";0.003;0.878;1.253
"1997-01-23";0;0.862;1.132
"1997-01-24";2.015;0.823;1.034
"1997-01-25";0.112;0.814;0.99
"1997-01-26";0;0.721;0.907
"1997-01-27";2.035;0.707;0.844
"1997-01-28";0;0.446;0.807
"1997-01-29";0;0.559;0.782
"1997-01-30";0;0.633;0.732
"1997-01-31";0;0.765;0.708
"1997-02-01";1.258;0.848;0.668
"1997-02-02";2.559;0.852;0.669
"1997-02-03";2.195;0.759;0.683
"1997-02-04";0;0.674;0.722
"1997-02-05";0.075;0.751;0.682
"1997-02-06";0;0.785;0.671
"1997-02-07";0;0.808;0.635
"1997-02-08";0;0.785;0.601
"1997-02-09";0;0.809;0.568
"1997-02-10";0;0.882;0.563
"1997-02-11";2.686;1.034;0.526
"1997-02-12";0;1.16;0.518
"1997-02-13";0.054;1.049;0.536
"1997-02-14";9.269;1.243;0.494
"1997-02-15";15.484;0.84;2.954
"1997-02-16";0;0.833;2.814
"1997-02-17";0.001;1.003;1.634
"1997-02-18";0;1.11;1.268
"1997-02-19";0;1.014;1.053
"1997-02-20";0;1.15;0.941
"1997-02-21";0;1.106;0.848
"1997-02-22";0;1.151;0.807
"1997-02-23";0;1.175;0.73
"1997-02-24";0;1.263;0.715
"1997-02-25";0;1.515;0.66
"1997-02-26";0;1.351;0.601
"1997-02-27";0;1.122;0.568
"1997-02-28";0;1.413;0.568
"1997-03-01";0;1.418;0.554
"1997-03-02";0;1.559;0.5
"1997-03-03";0;1.567;0.5
"1997-03-04";0;1.784;0.485
"1997-03-05";0;1.385;0.46
"1997-03-06";0;1.495;0.429
"1997-03-07";0;1.306;0.423
"1997-03-08";0;1.386;0.406
"1997-03-09";0;1.581;0.402
"1997-03-10";0;1.567;0.376
"1997-03-11";0;1.708;0.379
"1997-03-12";0;1.591;0.361
"1997-03-13";0;1.661;0.355
"1997-03-14";0.208;1.439;0.336
"1997-03-15";1.849;1.646;0.333
"1997-03-16";0;1.752;0.333
"1997-03-17";0;1.913;0.331
"1997-03-18";0;1.891;0.326
"1997-03-19";0;1.622;0.329
"1997-03-20";0;1.447;0.304
"1997-03-21";0;1.323;0.3
"1997-03-22";0;1.533;0.287
"1997-03-23";0;1.668;0.288
"1997-03-24";5.7;1.628;0.288
"1997-03-25";0.983;1.584;0.299
"1997-03-26";0.086;1.691;0.338
"1997-03-27";0;1.864;0.28
"1997-03-28";2.129;1.84;0.274
"1997-03-29";0;1.505;0.287
"1997-03-30";0;1.441;0.275
"1997-03-31";0;1.708;0.253
"1997-04-01";0;1.969;0.256
"1997-04-02";0;2.079;0.245
"1997-04-03";0;2.187;0.245
"1997-04-04";0;2.002;0.238
"1997-04-05";0;1.862;0.235
"1997-04-06";0;2.037;0.226
"1997-04-07";0;2.193;0.222
"1997-04-08";0;2.368;0.221
"1997-04-09";0;2.153;0.22
"1997-04-10";0;2.195;0.21
"1997-04-11";0;2.51;0.196
"1997-04-12";0;2.389;0.195
"1997-04-13";0;2.104;0.19
"1997-04-14";0;2.255;0.184
"1997-04-15";0;2.491;0.176
"1997-04-16";0;2.441;0.176
"1997-04-17";0.011;2.081;0.167
"1997-04-18";0.626;2.11;0.166
"1997-04-19";2.106;2.029;0.129
"1997-04-20";0.634;2.196;0.146
"1997-04-21";0;1.797;0.18
"1997-04-22";0;1.839;0.161
"1997-04-23";0;2.032;0.154
"1997-04-24";0;2.49;0.146
"1997-04-25";0.378;2.87;0.142
"1997-04-26";5.112;3.003;0.155
"1997-04-27";13.315;2.531;0.18
"1997-04-28";4.489;2.799;0.329
"1997-04-29";6.877;2.797;0.346
"1997-04-30";0;2.581;0.461
"1997-05-01";0;2.846;0.269
"1997-05-02";0;3.269;0.212
"1997-05-03";1.988;3.315;0.205
"1997-05-04";2.878;3.667;0.201
"1997-05-05";7.423;3.252;0.214
"1997-05-06";2.707;2.37;0.232
"1997-05-07";14.962;1.732;0.234
"1997-05-08";0;1.875;0.31
"1997-05-09";0;2.479;0.291
"1997-05-10";0;2.995;0.253
"1997-05-11";8.736;2.858;0.227
"1997-05-12";8.603;2.681;0.29
"1997-05-13";0;2.99;0.312
"1997-05-14";0;2.987;0.294
"1997-05-15";0;3.298;0.262
"1997-05-16";0.001;3.454;0.244
"1997-05-17";11.639;3.164;0.245
