"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0.031;1.001
"1997-01-02";2.537;0.151;0.966
"1997-01-03";0.692;0.319;1.086
"1997-01-04";10.223;0.154;1.137
"1997-01-05";1.921;0.164;1.099
"1997-01-06";0;0.219;1.074
"1997-01-07";0;0.14;1.051
"1997-01-08";0.923;0.257;1.038
"1997-01-09";0.002;0.35;1.118
"1997-01-10";0;0.228;1.271
"1997-01-11";0;0.273;1.167
"1997-01-12";0;0.442;1.161
"1997-01-13";0;0.483;1.236
"1997-01-14";0;0.565;1.173
"1997-01-15";0;0.628;1.152
"1997-01-16";0;0.575;1.159
"1997-01-17";3.017;0.576;1.196
"1997-01-18";4.494;0.611;1.511
"1997-01-19";2.316;0.615;1.8
"1997-01-20";1.084;0.594;1.526
"1997-01-21";0.396;0.784;1.354
"1997-01-22";0;0.883;1.202
"1997-01-23";0.409;0.826;1.12
"1997-01-24";1.117;0.788;1.111
"1997-01-25";0;0.774;1.103
"1997-01-26";0;0.619;1.045
"1997-01-27";0;0.415;1.014
"1997-01-28";0;0.267;0.954
"1997-01-29";0;0.515;0.918
"1997-01-30";0;0.62;0.913
"1997-01-31";0;0.636;0.885
"1997-02-01";0;0.558;0.866
"1997-02-02";6.531;0.679;0.885
"1997-02-03";0.367;0.591;1.052
"1997-02-04";0;0.442;0.942
"1997-02-05";5.993;0.623;0.998
"1997-02-06";0;0.624;1.025
"1997-02-07";0;0.786;0.917
"1997-02-08";0;0.719;0.867
"1997-02-09";0;0.729;0.86
"1997-02-10";0.951;0.825;0.823
"1997-02-11";6.956;0.882;0.945
"1997-02-12";6.89;1.003;1.054
"1997-02-13";8.464;0.838;1.693
"1997-02-14";23.414;0.943;3.377
"1997-02-15";7.494;0.758;4.803
"1997-02-16";0.396;0.587;2.81
"1997-02-17";2.278;0.82;2.387
"1997-02-18";2.48;0.904;2.113
"1997-02-19";0;0.823;1.937
"1997-02-20";0.906;1.048;1.714
"1997-02-21";0;1.046;1.54
"1997-02-22";0;1.007;1.422
"1997-02-23";1.677;1.044;1.343
"1997-02-24";9.264;1.135;1.429
"1997-02-25";10.335;1.298;3.023
"1997-02-26";5.451;1.15;2.591
"1997-02-27";0;0.914;2.189
"1997-02-28";0;1.332;1.796
"1997-03-01";0;1.413;1.642
"1997-03-02";0;1.37;1.537
"1997-03-03";0;1.393;1.393
