"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0.598;0.126;1.487
"1997-01-02";0.244;0.179;1.429
"1997-01-03";29.186;0.19;1.689
"1997-01-04";23.304;0.229;6.546
"1997-01-05";0.863;0.288;3.933
"1997-01-06";0.114;0.242;2.586
"1997-01-07";0;0.21;2.176
"1997-01-08";0;0.333;2.024
"1997-01-09";5.522;0.424;2.304
"1997-01-10";5.907;0.376;5.454
"1997-01-11";0;0.453;3.47
"1997-01-12";0;0.555;2.956
"1997-01-13";0;0.581;2.862
"1997-01-14";0;0.656;2.455
"1997-01-15";0;0.659;2.137
"1997-01-16";0;0.639;1.975
"1997-01-17";18.155;0.564;2.753
"1997-01-18";0.108;0.534;4.099
"1997-01-19";0.298;0.686;2.84
"1997-01-20";1.9;0.599;2.51
"1997-01-21";2.942;0.74;2.5
"1997-01-22";0.028;0.774;2.596
"1997-01-23";0.073;0.709;2.212
"1997-01-24";5.183;0.743;2.388
"1997-01-25";0;0.745;2.46
"1997-01-26";0;0.729;2.069
"1997-01-27";1.481;0.615;1.819
"1997-01-28";0;0.362;1.745
"1997-01-29";0;0.473;1.682
"1997-01-30";0;0.763;1.581
"1997-01-31";0;0.967;1.527
"1997-02-01";4.727;0.837;1.517
"1997-02-02";4.769;0.824;1.565
"1997-02-03";0.893;0.666;1.786
"1997-02-04";0;0.669;1.738
"1997-02-05";0;0.706;1.597
"1997-02-06";0;0.726;1.497
"1997-02-07";0;0.93;1.437
"1997-02-08";0;0.905;1.374
"1997-02-09";0;0.924;1.315
"1997-02-10";0;0.998;1.269
"1997-02-11";5.146;1.024;1.224
"1997-02-12";0;1.117;1.292
"1997-02-13";0;0.964;1.265
"1997-02-14";13.989;1.163;1.284
"1997-02-15";22.99;0.768;7.852
"1997-02-16";0.248;0.78;3.828
"1997-02-17";0;0.917;2.409
"1997-02-18";0;1.01;1.982
"1997-02-19";0;0.953;1.77
"1997-02-20";0;1.083;1.646
"1997-02-21";0;1.057;1.537
"1997-02-22";0;1.191;1.462
"1997-02-23";0;1.274;1.433
"1997-02-24";0;1.361;1.404
"1997-02-25";0;1.6;1.346
"1997-02-26";0.287;1.168;1.301
"1997-02-27";0;1.044;1.212
"1997-02-28";0;1.659;1.177
"1997-03-01";0;1.557;1.142
"1997-03-02";0;1.613;1.107
"1997-03-03";0;1.591;1.059
"1997-03-04";0;1.901;1.033
"1997-03-05";0;1.346;1.014
"1997-03-06";0;1.499;0.994
"1997-03-07";0;1.329;0.975
"1997-03-08";0;1.37;0.956
"1997-03-09";0;1.679;0.937
"1997-03-10";0;1.684;0.918
"1997-03-11";0;1.831;0.899
"1997-03-12";0;1.568;0.879
"1997-03-13";0;1.719;0.859
"1997-03-14";0;1.343;0.838
"1997-03-15";1.257;1.509;0.848
"1997-03-16";0;1.669;0.851
"1997-03-17";0;1.861;0.804
"1997-03-18";0;1.747;0.787
"1997-03-19";0;1.446;0.779
"1997-03-20";0;1.293;0.771
"1997-03-21";0;1.312;0.763
"1997-03-22";0;1.468;0.745
"1997-03-23";0;1.587;0.732
"1997-03-24";8.822;1.423;0.729
"1997-03-25";0.025;1.42;0.812
"1997-03-26";0;1.594;0.761
"1997-03-27";0;1.858;0.729
