"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0.208;NA
"1997-01-02";0;0.292;NA
"1997-01-03";22.304;0.327;NA
"1997-01-04";22.81;0.417;1.923
"1997-01-05";6.279;0.398;1.738
"1997-01-06";0;0.302;1.628
"1997-01-07";0;0.331;1.454
"1997-01-08";5.43;0.421;1.384
"1997-01-09";4.44;0.584;1.444
"1997-01-10";0.424;0.477;1.407
"1997-01-11";0;0.528;1.315
"1997-01-12";0;0.562;1.283
"1997-01-13";0;0.433;1.254
"1997-01-14";0;0.45;1.223
"1997-01-15";0;0.399;1.199
"1997-01-16";0;0.552;1.197
"1997-01-17";19.508;0.681;1.34
"1997-01-18";0;0.561;1.382
"1997-01-19";0.051;0.691;1.295
"1997-01-20";12.726;0.731;1.371
"1997-01-21";11.881;0.847;1.361
"1997-01-22";1.83;0.835;1.548
"1997-01-23";4.625;0.878;1.471
"1997-01-24";0.831;0.912;1.378
"1997-01-25";0.54;0.904;1.33
"1997-01-26";0;0.81;1.3
"1997-01-27";0;0.737;1.27
"1997-01-28";0;0.529;1.24
"1997-01-29";0;0.53;1.21
"1997-01-30";0;0.578;1.196
"1997-01-31";0;0.852;1.185
"1997-02-01";0;0.973;1.175
"1997-02-02";2.384;0.808;1.165
"1997-02-03";0.803;0.778;1.155
"1997-02-04";0;0.531;1.146
"1997-02-05";2.175;0.919;1.137
"1997-02-06";0;0.721;1.127
"1997-02-07";0;0.705;1.118
"1997-02-08";0;0.812;1.108
"1997-02-09";0;0.727;1.099
"1997-02-10";1.495;0.867;1.09
"1997-02-11";2.854;1.18;1.088
"1997-02-12";0;1.347;1.088
"1997-02-13";6.122;1.157;1.109
"1997-02-14";10.571;1.266;1.146
"1997-02-15";8.183;1.041;1.307
"1997-02-16";0;0.812;1.215
"1997-02-17";0.69;1.103;1.173
"1997-02-18";0;1.23;1.14
"1997-02-19";0;1.193;1.114
"1997-02-20";0;1.274;1.107
"1997-02-21";0;1.158;1.105
"1997-02-22";0;1.307;1.102
"1997-02-23";0;1.225;1.099
"1997-02-24";0;1.406;1.097
"1997-02-25";0;1.642;1.089
"1997-02-26";0;1.497;1.075
"1997-02-27";0;1.123;1.062
"1997-02-28";0;1.407;1.049
"1997-03-01";0;1.376;1.036
"1997-03-02";0;1.414;1.022
"1997-03-03";0;1.563;1.01
"1997-03-04";0;1.493;1
"1997-03-05";0;1.685;0.998
"1997-03-06";0;1.484;0.996
"1997-03-07";0;1.577;0.995
"1997-03-08";0;1.498;0.994
"1997-03-09";0;1.561;0.992
"1997-03-10";0;1.639;0.991
"1997-03-11";0;1.656;0.99
"1997-03-12";0;1.939;0.988
"1997-03-13";0;1.523;0.987
"1997-03-14";0;1.747;0.986
"1997-03-15";4.152;1.928;0.984
"1997-03-16";0;1.905;0.983
"1997-03-17";0;1.819;0.982
"1997-03-18";0;1.781;0.98
"1997-03-19";0;1.849;0.979
"1997-03-20";0;1.672;0.977
"1997-03-21";0;1.458;0.976
"1997-03-22";0;1.341;0.975
"1997-03-23";0;1.652;0.973
"1997-03-24";7.535;1.571;0.972
"1997-03-25";3.855;1.674;0.965
"1997-03-26";0;1.825;0.952
"1997-03-27";0;2.055;0.94
"1997-03-28";0;1.757;0.927
"1997-03-29";0;1.67;0.914
"1997-03-30";0;1.719;0.901
"1997-03-31";0;1.952;0.889
"1997-04-01";0;1.951;0.876
"1997-04-02";0;2.132;0.865
"1997-04-03";0;2.411;0.859
"1997-04-04";0;2.082;0.856
"1997-04-05";0;1.939;0.853
"1997-04-06";0;2.146;0.85
"1997-04-07";0;2.654;0.846
"1997-04-08";0;2.764;0.843
"1997-04-09";0;2.568;0.84
"1997-04-10";0;2.469;0.837
"1997-04-11";0;2.339;0.833
"1997-04-12";0;2.313;0.83
"1997-04-13";0;1.87;0.827
"1997-04-14";0;2.183;0.824
"1997-04-15";0;2.55;0.82
"1997-04-16";0;2.486;0.817
"1997-04-17";0;2.73;0.814
"1997-04-18";13.682;2.359;0.827
"1997-04-19";5.764;2.344;0.924
"1997-04-20";0;2.688;0.886
"1997-04-21";0;2.089;0.85
"1997-04-22";0;1.67;0.833
"1997-04-23";0;1.921;0.82
"1997-04-24";0;2.419;0.808
"1997-04-25";0;3.019;0.796
"1997-04-26";8.051;2.758;0.786
"1997-04-27";19.004;2.715;0.886
"1997-04-28";9.071;2.893;0.873
"1997-04-29";3.655;2.892;0.861
"1997-04-30";0;2.732;0.814
"1997-05-01";0;3.18;0.797
"1997-05-02";0;3.779;0.786
"1997-05-03";0;3.625;0.774
"1997-05-04";1.614;3.804;0.763
"1997-05-05";13.963;3.244;0.758
"1997-05-06";17.809;2.359;0.881
"1997-05-07";31.429;2.056;1.165
"1997-05-08";15.278;2.111;1.162
"1997-05-09";6.772;2.681;1.101
"1997-05-10";9.507;3.018;1.021
"1997-05-11";14.118;2.841;1.353
"1997-05-12";3.668;2.885;1.09
"1997-05-13";31.464;3.139;1.393
"1997-05-14";2.869;3.191;1.562
"1997-05-15";0;3.52;1.266
"1997-05-16";8.704;3.725;1.159
"1997-05-17";0;3.247;1.171
"1997-05-18";0;3.534;1.084
"1997-05-19";0.95;4.074;1.02
"1997-05-20";0;3.441;0.993
"1997-05-21";0;3.331;0.983
"1997-05-22";0;3.258;0.974
"1997-05-23";0;4.219;0.965
"1997-05-24";0.217;4.476;0.955
"1997-05-25";0;4.238;0.946
"1997-05-26";0;4.38;0.937
"1997-05-27";1.162;4.734;0.914
"1997-05-28";0.829;4.441;0.862
"1997-05-29";0;4.611;0.843
"1997-05-30";0;4.715;0.835
"1997-05-31";18.355;4.302;0.853
"1997-06-01";21.349;3.534;1.131
"1997-06-02";2.191;3.674;1.005
"1997-06-03";1.179;3.871;0.945
"1997-06-04";11.237;3.873;0.931
"1997-06-05";6.832;4.108;1.047
"1997-06-06";0;4.75;0.922
"1997-06-07";6.475;4.664;0.866
"1997-06-08";0;4.265;0.863
"1997-06-09";0;4.655;0.86
"1997-06-10";12.054;4.956;0.875
"1997-06-11";0.125;4.694;0.915
"1997-06-12";0;4.409;0.867
"1997-06-13";0;4.279;0.864
"1997-06-14";0;4.137;0.862
"1997-06-15";0;3.96;0.859
"1997-06-16";6.703;3.986;0.857
"1997-06-17";0;3.626;0.854
"1997-06-18";0;3.699;0.851
