"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0.52;0;1.671
"1997-01-02";0.164;0;1.713
"1997-01-03";3.268;0;1.441
"1997-01-04";0.251;0.032;1.357
"1997-01-05";0;0.072;1.265
"1997-01-06";0;0.064;1.176
"1997-01-07";0;0.027;1.09
"1997-01-08";0.085;0.02;1.032
"1997-01-09";0.203;0.103;1.007
"1997-01-10";2.054;0.051;0.969
"1997-01-11";0;0.032;0.892
"1997-01-12";0;0.001;0.828
"1997-01-13";0;0;0.757
"1997-01-14";0;0;0.679
"1997-01-15";0;0.094;0.836
"1997-01-16";0;0.191;0.851
"1997-01-17";0;0.262;0.84
"1997-01-18";2.32;0.379;0.697
"1997-01-19";19.989;0.36;1.578
"1997-01-20";0;0.332;4.229
"1997-01-21";0;0.38;2.996
"1997-01-22";2.161;0.489;2.357
"1997-01-23";5.47;0.62;2.564
"1997-01-24";0;0.515;2.76
"1997-01-25";0;0.348;2.115
"1997-01-26";0;0.329;1.824
"1997-01-27";0;0.295;1.641
"1997-01-28";0;0.249;1.451
"1997-01-29";0;0.181;1.282
"1997-01-30";0;0.093;1.159
"1997-01-31";0;0.118;1.063
"1997-02-01";0;0.139;1.006
"1997-02-02";0;0.119;0.948
"1997-02-03";0;0.142;0.889
"1997-02-04";0;0.229;0.829
"1997-02-05";13.055;0.433;0.862
"1997-02-06";0;0.327;1.823
"1997-02-07";0;0.426;1.379
"1997-02-08";0;0.482;1.145
"1997-02-09";0;0.479;1.04
"1997-02-10";0.992;0.655;0.978
"1997-02-11";8.575;0.683;0.981
"1997-02-12";9.865;0.83;1.846
"1997-02-13";13.388;0.629;2.961
"1997-02-14";15.561;0.594;4.122
"1997-02-15";13.529;0.534;5.667
"1997-02-16";0;0.387;6.399
"1997-02-17";2.68;0.553;4.933
"1997-02-18";12.452;0.69;4.149
"1997-02-19";0;0.582;4.857
"1997-02-20";4.182;0.77;4.234
"1997-02-21";0;0.764;3.646
"1997-02-22";0;0.838;3.034
"1997-02-23";0;0.947;2.646
"1997-02-24";6.397;1.06;2.496
"1997-02-25";14.994;1.192;2.71
"1997-02-26";13.373;1.003;3.992
"1997-02-27";0.113;0.752;4.768
"1997-02-28";0;0.894;3.569
"1997-03-01";0;1.191;2.98
"1997-03-02";0;1.188;2.591
"1997-03-03";1.838;1.185;2.301
"1997-03-04";0;1.411;2.182
"1997-03-05";1.595;1.191;1.967
"1997-03-06";0;0.971;1.844
"1997-03-07";0;0.885;1.663
"1997-03-08";0;0.914;1.516
"1997-03-09";0;1.009;1.375
"1997-03-10";0;1.22;1.273
"1997-03-11";0;1.233;1.193
"1997-03-12";0;1.262;1.111
"1997-03-13";0;1.077;1.036
"1997-03-14";3.429;0.886;0.983
"1997-03-15";0.842;1.202;1.001
"1997-03-16";0.235;1.374;0.975
"1997-03-17";0;1.311;0.934
"1997-03-18";0.385;1.342;0.884
"1997-03-19";11.915;0.973;0.894
"1997-03-20";0.018;0.807;1.337
"1997-03-21";0;0.929;1.162
"1997-03-22";0;0.867;0.981
"1997-03-23";1.907;0.986;0.879
"1997-03-24";0.96;1.146;0.842
"1997-03-25";2.351;1.111;0.874
"1997-03-26";0;1.213;0.893
"1997-03-27";0.053;1.558;0.816
"1997-03-28";7.451;1.496;0.829
"1997-03-29";0;0.883;0.996
"1997-03-30";0;1.124;0.855
"1997-03-31";0;1.334;0.781
"1997-04-01";0;1.646;0.731
"1997-04-02";0;1.801;0.709
"1997-04-03";0;1.7;0.67
"1997-04-04";0.024;1.262;0.638
"1997-04-05";0;1.225;0.595
"1997-04-06";1.174;1.644;0.587
"1997-04-07";0;1.219;0.566
"1997-04-08";0;1.39;0.547
"1997-04-09";0;1.792;0.515
"1997-04-10";0;2.086;0.494
"1997-04-11";0;1.823;0.492
"1997-04-12";0;1.125;0.479
"1997-04-13";0;1.231;0.469
"1997-04-14";0;1.562;0.461
"1997-04-15";0;1.518;0.426
"1997-04-16";0;1.236;0.409
"1997-04-17";0;1.292;0.401
"1997-04-18";0;1.565;0.401
"1997-04-19";0;1.654;0.398
"1997-04-20";0;1.408;0.393
"1997-04-21";0;1.306;0.373
"1997-04-22";0;1.291;0.371
"1997-04-23";0;1.519;0.367
"1997-04-24";0;1.932;0.349
"1997-04-25";3.657;2.388;0.33
"1997-04-26";15.302;2.351;0.34
"1997-04-27";12.531;2.158;0.593
"1997-04-28";4.488;2.262;1.137
"1997-04-29";15.37;2.055;1.17
"1997-04-30";0.646;2.093;1.542
"1997-05-01";0;2.179;1.143
"1997-05-02";0;2.72;0.853
"1997-05-03";0;3.156;0.716
"1997-05-04";1.161;3.371;0.641
"1997-05-05";10.899;2.832;0.626
"1997-05-06";21.559;2.158;0.966
"1997-05-07";1.033;1.629;2.079
"1997-05-08";1.846;1.67;1.675
"1997-05-09";13.641;1.973;1.415
"1997-05-10";0;2.5;1.959
"1997-05-11";0.117;3.157;1.541
"1997-05-12";2.459;2.64;1.238
"1997-05-13";0;3.008;1.12
"1997-05-14";0;3.415;0.969
"1997-05-15";0.528;3.721;0.847
"1997-05-16";0.387;3.733;0.749
"1997-05-17";6.761;3.856;0.7
"1997-05-18";6.461;3.158;0.761
"1997-05-19";0.023;3.404;0.889
"1997-05-20";9.641;3.159;0.715
"1997-05-21";7.062;2.694;0.713
"1997-05-22";4.613;2.67;0.819
"1997-05-23";0;2.94;0.895
"1997-05-24";0;2.958;0.736
"1997-05-25";0;3.029;0.621
"1997-05-26";0;3.089;0.54
"1997-05-27";0;3.186;0.48
"1997-05-28";0;2.833;0.449
"1997-05-29";0;3.088;0.418
"1997-05-30";0;3.325;0.4
"1997-05-31";0;3.211;0.376
"1997-06-01";0.17;2.645;0.357
"1997-06-02";0.452;3.208;0.34
"1997-06-03";6.068;3.517;0.344
"1997-06-04";0;3.673;0.386
"1997-06-05";0;3.958;0.35
"1997-06-06";0.001;4.143;0.325
"1997-06-07";8.919;4.485;0.32
"1997-06-08";7.439;3.818;0.39
"1997-06-09";0;3.852;0.441
"1997-06-10";0;4.479;0.366
"1997-06-11";4.56;4.589;0.306
"1997-06-12";0.024;4.151;0.295
"1997-06-13";5.022;4.029;0.309
"1997-06-14";5.8;3.718;0.307
"1997-06-15";0;3.476;0.337
"1997-06-16";0.538;3.447;0.31
"1997-06-17";9.444;3.384;0.302
"1997-06-18";0;3.303;0.41
"1997-06-19";0.215;3.324;0.33
"1997-06-20";3.592;3.149;0.295
"1997-06-21";40.78;3.081;0.33
"1997-06-22";21.822;3.047;2.518
"1997-06-23";19.239;2.892;2.59
"1997-06-24";7.046;3.062;2.757
"1997-06-25";3.343;2.962;2.842
"1997-06-26";18.174;2.966;2.083
"1997-06-27";5.225;3.149;3.38
"1997-06-28";0;3.487;3.334
"1997-06-29";10.499;3.405;2.235
"1997-06-30";4.166;2.964;2.159
"1997-07-01";5.711;3.239;2.3
"1997-07-02";3.642;3.392;2.394
"1997-07-03";2.065;3.084;2.042
"1997-07-04";3.968;3.129;1.878
"1997-07-05";9.089;3.109;1.911
"1997-07-06";0.463;3.244;2.248
"1997-07-07";0.898;3.462;1.814
"1997-07-08";0;3.677;1.43
"1997-07-09";0;3.876;1.167
"1997-07-10";2.45;4.008;0.993
"1997-07-11";0.106;4.064;0.99
"1997-07-12";0;4.095;0.855
"1997-07-13";0.046;4.189;0.741
"1997-07-14";11.225;3.901;0.677
"1997-07-15";0;3.717;0.892
"1997-07-16";0;3.909;0.891
"1997-07-17";0.003;3.898;0.691
"1997-07-18";15.97;3.188;0.635
"1997-07-19";7.318;3.139;0.96
"1997-07-20";1.241;3.399;1.192
"1997-07-21";0;3.251;0.886
"1997-07-22";0;3.681;0.702
"1997-07-23";0.064;3.899;0.615
"1997-07-24";5.498;4.047;0.568
"1997-07-25";11.369;3.349;0.584
"1997-07-26";2.278;3.54;0.745
"1997-07-27";0.149;3.766;0.734
"1997-07-28";0.032;3.709;0.594
"1997-07-29";0;3.826;0.521
"1997-07-30";0;3.851;0.468
"1997-07-31";2.851;3.355;0.427
"1997-08-01";10.359;2.805;0.443
"1997-08-02";2.264;3.195;0.57
"1997-08-03";0;3.708;0.56
"1997-08-04";0;4.107;0.497
"1997-08-05";3.848;4.264;0.445
"1997-08-06";16.864;3.788;0.578
"1997-08-07";0.506;3.826;0.806
"1997-08-08";4.379;3.814;0.679
"1997-08-09";0;3.866;0.562
"1997-08-10";0;3.819;0.475
"1997-08-11";7.541;3.895;0.412
"1997-08-12";2.718;3.921;0.584
"1997-08-13";8.352;3.842;0.488
"1997-08-14";0.015;3.814;0.467
"1997-08-15";0;3.596;0.431
"1997-08-16";0.559;3.496;0.374
"1997-08-17";0.01;3.516;0.342
"1997-08-18";3.459;3.408;0.317
"1997-08-19";0.054;3.465;0.307
"1997-08-20";0;3.516;0.3
"1997-08-21";0;3.509;0.285
"1997-08-22";0.015;3.552;0.268
"1997-08-23";0;3.709;0.259
"1997-08-24";0.141;3.743;0.237
"1997-08-25";0;3.674;0.259
"1997-08-26";0.299;3.364;0.23
"1997-08-27";15.113;3.333;0.23
"1997-08-28";22.903;2.563;0.391
"1997-08-29";3.89;2.4;0.746
"1997-08-30";8.727;2.383;0.509
"1997-08-31";0;3.089;0.552
"1997-09-01";0.582;3.162;0.498
"1997-09-02";2.966;2.712;0.401
"1997-09-03";0.493;2.734;0.372
"1997-09-04";0;2.765;0.355
"1997-09-05";0.172;2.832;0.338
"1997-09-06";5.613;2.513;0.326
"1997-09-07";0;2.207;0.335
"1997-09-08";0;2.232;0.319
"1997-09-09";0;2.197;0.301
"1997-09-10";0;1.922;0.267
"1997-09-11";0;2.12;0.262
"1997-09-12";15.305;2.536;0.247
"1997-09-13";2.522;2.001;0.347
"1997-09-14";0;1.492;0.408
"1997-09-15";0;1.635;0.324
"1997-09-16";0;1.944;0.29
"1997-09-17";0;2.14;0.269
"1997-09-18";0;2.166;0.258
"1997-09-19";0;2.196;0.247
"1997-09-20";0;1.977;0.239
"1997-09-21";0;1.727;0.235
"1997-09-22";0;1.806;0.227
"1997-09-23";0;1.862;0.228
"1997-09-24";0;1.791;0.224
"1997-09-25";0;1.682;0.217
"1997-09-26";0;1.729;0.208
"1997-09-27";0;1.706;0.209
"1997-09-28";0;1.676;0.208
"1997-09-29";0;1.709;0.198
"1997-09-30";0;1.756;0.2
"1997-10-01";0;1.768;0.196
"1997-10-02";0;1.792;0.195
"1997-10-03";0;1.304;0.199
"1997-10-04";0;1.205;0.197
"1997-10-05";0;1.34;0.201
"1997-10-06";0;1.76;0.204
"1997-10-07";1.203;1.814;0.204
"1997-10-08";0.05;1.746;0.215
"1997-10-09";2.488;1.844;0.212
"1997-10-10";24.439;1.603;0.233
"1997-10-11";11.079;1.181;0.571
"1997-10-12";23.796;1.179;0.926
"1997-10-13";5.322;0.859;1.494
"1997-10-14";2.953;0.802;0.879
"1997-10-15";11.752;0.759;0.834
"1997-10-16";3.079;0.945;1.245
"1997-10-17";0;1.004;1.138
"1997-10-18";0;1.153;0.845
"1997-10-19";0;1.152;0.678
"1997-10-20";0.051;1.124;0.58
"1997-10-21";0.139;0.976;0.53
"1997-10-22";0;0.768;0.506
"1997-10-23";0;0.703;0.476
"1997-10-24";0;0.54;0.443
"1997-10-25";0;0.44;0.407
"1997-10-26";0;0.525;0.403
"1997-10-27";0;0.535;0.387
"1997-10-28";0;0.345;0.359
"1997-10-29";0;0.304;0.346
"1997-10-30";0;0.237;0.339
"1997-10-31";0;0.192;0.324
"1997-11-01";0;0.269;0.299
"1997-11-02";0;0.417;0.305
"1997-11-03";0;0.468;0.307
"1997-11-04";1.017;0.558;0.296
"1997-11-05";30.82;0.759;0.371
"1997-11-06";28.294;0.886;2.236
"1997-11-07";4.375;0.752;3.386
"1997-11-08";1.347;0.672;2.244
"1997-11-09";18.621;0.66;1.846
"1997-11-10";3.125;0.663;2.808
"1997-11-11";13.533;0.534;2.117
"1997-11-12";18.528;0.512;3.575
"1997-11-13";0.388;0.492;4.918
"1997-11-14";0;0.393;3.62
"1997-11-15";0;0.422;2.501
"1997-11-16";5.084;0.543;2.103
"1997-11-17";0;0.459;2.016
"1997-11-18";0;0.4;1.657
"1997-11-19";3.825;0.315;1.426
"1997-11-20";9.069;0.5;1.508
"1997-11-21";1.566;0.479;1.952
"1997-11-22";0.018;0.311;1.817
"1997-11-23";0;0.295;1.476
"1997-11-24";0;0.244;1.284
"1997-11-25";0;0.39;1.171
"1997-11-26";0;0.379;1.058
"1997-11-27";0.192;0.317;0.975
"1997-11-28";5.777;0.493;0.896
"1997-11-29";4.092;0.543;1.002
"1997-11-30";8.587;0.43;1.053
"1997-12-01";2.419;0.32;1.665
"1997-12-02";12.063;0.201;2.09
"1997-12-03";0.878;0.14;3.013
"1997-12-04";1.051;0.142;2.288
"1997-12-05";0;0.106;1.85
"1997-12-06";0;0.063;1.566
"1997-12-07";0;0.12;1.371
"1997-12-08";0;0.219;1.265
"1997-12-09";4.954;0.336;1.231
"1997-12-10";9.168;0.416;1.492
"1997-12-11";43.341;0.544;3.505
"1997-12-12";7.05;0.412;8.125
"1997-12-13";0;0.285;7.251
"1997-12-14";3.857;0.205;5.388
"1997-12-15";0;0.198;4.598
"1997-12-16";0;0.107;3.765
"1997-12-17";2.222;0.17;3.12
"1997-12-18";11.374;0.319;3.042
"1997-12-19";8.369;0.404;4.572
"1997-12-20";27.48;0.373;5.1
"1997-12-21";24.555;0.341;7.175
"1997-12-22";2.384;0.244;9.388
"1997-12-23";0.084;0.267;6.916
"1997-12-24";8.003;0.419;5.515
"1997-12-25";5.842;0.554;5.307
"1997-12-26";12.39;0.454;5.158
"1997-12-27";4.525;0.334;5.412
"1997-12-28";2.857;0.276;5.124
"1997-12-29";0;0.22;4.66
"1997-12-30";0;0.258;3.949
"1997-12-31";1.637;0.461;3.42
"1998-01-01";7.003;0.436;3.094
"1998-01-02";17.191;0.441;3.738
"1998-01-03";9.446;0.435;5.338
"1998-01-04";1.29;0.428;5.121
"1998-01-05";13.456;0.437;4.38
"1998-01-06";8.03;0.405;5.002
"1998-01-07";0.807;0.53;5.094
"1998-01-08";0.085;0.46;4.424
"1998-01-09";0;0.455;3.657
"1998-01-10";0;0.371;3.155
"1998-01-11";0;0.377;2.796
"1998-01-12";0;0.443;2.506
"1998-01-13";0.212;0.478;2.283
"1998-01-14";1.451;0.465;2.104
"1998-01-15";4.4;0.339;1.948
"1998-01-16";28.555;0.452;3.057
"1998-01-17";0.767;0.334;5.615
"1998-01-18";7.077;0.295;4.74
"1998-01-19";27.358;0.381;5.697
"1998-01-20";9.005;0.23;7.116
"1998-01-21";0.636;0.27;5.888
"1998-01-22";0;0.18;5.167
"1998-01-23";0;0.226;4.404
"1998-01-24";0;0.204;3.76
"1998-01-25";0;0.196;3.262
"1998-01-26";0;0.092;2.821
"1998-01-27";0;0;2.465
"1998-01-28";0;0.07;2.21
"1998-01-29";0;0.143;2.078
"1998-01-30";0;0.108;1.992
"1998-01-31";0;0.088;1.835
"1998-02-01";0;0.013;1.683
"1998-02-02";0;0;1.54
"1998-02-03";0;0.057;1.426
"1998-02-04";0;0.03;1.343
"1998-02-05";0;0.096;1.233
"1998-02-06";0;0.157;1.15
"1998-02-07";1.004;0.179;1.096
"1998-02-08";0.436;0.323;1.065
"1998-02-09";0;0.423;1.034
"1998-02-10";0;0.556;1.004
"1998-02-11";0;0.605;0.974
"1998-02-12";0;0.663;0.943
"1998-02-13";0;0.685;0.901
"1998-02-14";0;0.726;0.908
"1998-02-15";0;0.76;0.904
"1998-02-16";0;0.768;0.887
"1998-02-17";1.528;0.693;0.868
"1998-02-18";0;0.602;0.85
"1998-02-19";0;0.74;0.818
"1998-02-20";0;0.875;0.78
"1998-02-21";0.983;1.105;0.767
"1998-02-22";22.205;0.8;1.175
"1998-02-23";0;0.696;2.703
"1998-02-24";0;0.661;1.791
"1998-02-25";0;0.916;1.416
"1998-02-26";0;0.876;1.243
"1998-02-27";0;0.854;1.13
"1998-02-28";6.982;0.802;1.085
"1998-03-01";1.174;0.646;1.344
"1998-03-02";0;0.805;1.311
"1998-03-03";0.028;1.09;1.13
"1998-03-04";0.168;1.533;1.037
"1998-03-05";10.961;0.976;1.35
"1998-03-06";4.446;0.885;1.527
"1998-03-07";11.609;1.169;1.497
"1998-03-08";12.695;0.949;3.053
"1998-03-09";0.001;0.631;3.996
"1998-03-10";0;0.437;2.821
"1998-03-11";1.105;0.604;2.327
