"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0.822;0.467;1.598
"1997-01-02";39.442;0.568;1.745
"1997-01-03";32.511;0.616;4.817
"1997-01-04";12.442;0.398;5.449
"1997-01-05";0.019;0.355;3.514
"1997-01-06";4.309;0.398;2.363
"1997-01-07";1.332;0.495;2.359
"1997-01-08";25.159;0.442;3.319
"1997-01-09";11.701;0.536;10.013
"1997-01-10";0.031;0.498;6.473
"1997-01-11";0;0.467;4.221
"1997-01-12";0;0.45;3.569
"1997-01-13";0;0.434;2.998
"1997-01-14";0;0.445;2.748
"1997-01-15";0;0.464;2.465
"1997-01-16";0;0.474;2.361
"1997-01-17";0;0.534;2.25
"1997-01-18";1.816;0.688;2.144
"1997-01-19";34.051;0.713;3.421
"1997-01-20";11.524;0.795;5.1
"1997-01-21";0.076;0.89;4.75
"1997-01-22";0.002;0.953;3.471
"1997-01-23";0;0.939;2.766
"1997-01-24";0;0.889;2.583
"1997-01-25";0;0.807;2.407
"1997-01-26";0;0.702;2.235
"1997-01-27";0.018;0.705;2.102
"1997-01-28";0.235;0.607;2.034
"1997-01-29";0;0.631;1.955
"1997-01-30";0;0.601;1.792
"1997-01-31";0;0.566;1.738
"1997-02-01";0.028;0.517;1.707
"1997-02-02";0;0.604;1.672
"1997-02-03";0.011;0.609;1.629
"1997-02-04";0.001;0.637;1.582
"1997-02-05";0;0.706;1.527
"1997-02-06";0;0.854;1.456
"1997-02-07";0;0.638;1.403
"1997-02-08";0;0.691;1.327
"1997-02-09";0;0.718;1.283
"1997-02-10";0;0.769;1.243
"1997-02-11";0;1.015;1.211
"1997-02-12";0;1.213;1.195
"1997-02-13";0;1.105;1.172
"1997-02-14";0.03;1.038;1.163
"1997-02-15";1.08;1.075;1.15
"1997-02-16";0;0.814;1.136
"1997-02-17";0;0.784;1.124
"1997-02-18";0;0.897;1.114
"1997-02-19";0;1.139;1.055
"1997-02-20";0;1.201;1.044
"1997-02-21";0;0.967;1.069
"1997-02-22";0;0.973;1.068
"1997-02-23";0.97;1.059;1.056
"1997-02-24";0.349;1.143;1.047
"1997-02-25";0;1.303;1.022
"1997-02-26";0;1.459;1.001
"1997-02-27";0;1.259;0.943
"1997-02-28";0;1.094;0.872
"1997-03-01";0;1.111;0.844
"1997-03-02";0;1.218;0.837
"1997-03-03";0;1.367;0.833
"1997-03-04";0;1.323;0.825
"1997-03-05";0;1.495;0.819
"1997-03-06";0.605;1.569;0.813
"1997-03-07";0;1.293;0.802
"1997-03-08";0;1.322;0.813
"1997-03-09";0;1.331;0.807
"1997-03-10";0;1.449;0.787
"1997-03-11";0;1.528;0.795
"1997-03-12";0;1.45;0.747
"1997-03-13";0;1.554;0.729
"1997-03-14";0;1.646;0.734
"1997-03-15";1.019;1.795;0.73
"1997-03-16";0;1.721;0.716
"1997-03-17";0;1.803;0.706
"1997-03-18";0;1.865;0.728
"1997-03-19";0;1.769;0.719
"1997-03-20";0;1.739;0.708
"1997-03-21";0;1.526;0.711
"1997-03-22";0;1.493;0.711
"1997-03-23";0;1.536;0.706
"1997-03-24";0;1.82;0.7
"1997-03-25";3.803;1.643;0.695
"1997-03-26";0;1.713;0.706
"1997-03-27";0;1.729;0.695
"1997-03-28";0;2.115;0.676
"1997-03-29";0;1.744;0.664
"1997-03-30";0;1.632;0.652
"1997-03-31";0;1.643;0.641
"1997-04-01";0;1.87;0.64
"1997-04-02";0;2.035;0.655
"1997-04-03";0;2.35;0.641
"1997-04-04";0;2.546;0.614
"1997-04-05";0;2.098;0.593
"1997-04-06";0;2.452;0.584
"1997-04-07";0;2.164;0.58
"1997-04-08";0;1.925;0.567
"1997-04-09";0;1.855;0.577
"1997-04-10";0;1.855;0.567
"1997-04-11";0;2.217;0.573
"1997-04-12";0;2.562;0.581
"1997-04-13";0;2.066;0.559
"1997-04-14";0;2.034;0.557
"1997-04-15";0;2.492;0.544
"1997-04-16";0;2.226;0.536
"1997-04-17";0;1.797;0.536
"1997-04-18";0;1.794;0.533
"1997-04-19";0.784;1.92;0.532
"1997-04-20";12.199;2.138;0.551
"1997-04-21";0;2.083;0.552
"1997-04-22";0;1.987;0.534
"1997-04-23";0;1.964;0.537
"1997-04-24";0.003;2.128;0.528
"1997-04-25";0;2.259;0.52
"1997-04-26";0.145;2.925;0.515
"1997-04-27";7.856;2.854;0.518
"1997-04-28";0;3.203;0.515
"1997-04-29";0;3.174;0.504
"1997-04-30";0.559;3.019;0.494
"1997-05-01";0.46;2.81;0.496
"1997-05-02";0;3.024;0.486
"1997-05-03";0;3.107;0.478
"1997-05-04";0;3.136;0.473
"1997-05-05";2.513;2.936;0.478
"1997-05-06";2.813;2.869;0.491
"1997-05-07";0;2.41;0.487
"1997-05-08";0;2.396;0.476
"1997-05-09";0;2.646;0.471
"1997-05-10";0;3.022;0.467
"1997-05-11";4.389;2.84;0.469
"1997-05-12";1.119;2.833;0.486
"1997-05-13";1.23;3.391;0.482
"1997-05-14";0;3.898;0.479
"1997-05-15";0;3.893;0.452
"1997-05-16";0;3.862;0.43
"1997-05-17";1.568;3.757;0.413
"1997-05-18";0;3.483;0.406
"1997-05-19";0;3.408;0.403
"1997-05-20";0.002;3.588;0.403
"1997-05-21";0;3.765;0.4
"1997-05-22";0;3.779;0.395
"1997-05-23";0;3.516;0.385
"1997-05-24";0;3.709;0.382
"1997-05-25";0;3.973;0.381
"1997-05-26";0;4.229;0.374
"1997-05-27";0;4.365;0.375
"1997-05-28";0;4.339;0.37
"1997-05-29";0;4.13;0.363
"1997-05-30";0;3.908;0.359
"1997-05-31";0;3.912;0.36
"1997-06-01";26.059;3.214;0.391
"1997-06-02";0.772;3.174;0.433
