"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.456
"1997-01-02";0;0;0.543
"1997-01-03";0;0;0.62
"1997-01-04";2.366;0.026;0.48
"1997-01-05";0;0.045;0.459
"1997-01-06";0;0.017;0.459
"1997-01-07";0;0.013;0.459
"1997-01-08";0;0;0.472
"1997-01-09";0;0.002;0.466
"1997-01-10";0;0.048;0.476
"1997-01-11";0;0.049;0.463
"1997-01-12";0;0;0.459
"1997-01-13";0;0;0.459
"1997-01-14";0;0;0.459
"1997-01-15";0;0;0.46
"1997-01-16";0;0;0.477
"1997-01-17";0;0.04;0.585
"1997-01-18";1.061;0.264;0.547
"1997-01-19";16.705;0.307;1.522
"1997-01-20";0;0.305;1.176
"1997-01-21";0;0.322;1.05
"1997-01-22";3.786;0.338;1.301
"1997-01-23";1.3;0.408;0.899
"1997-01-24";0.137;0.416;0.754
"1997-01-25";0;0.457;0.708
"1997-01-26";0;0.324;0.5
"1997-01-27";0;0.248;0.568
"1997-01-28";0;0.241;0.714
"1997-01-29";0;0.277;0.576
"1997-01-30";0;0.291;0.553
"1997-01-31";0;0.244;0.553
"1997-02-01";0;0.315;0.546
"1997-02-02";0;0.12;0.536
"1997-02-03";0;0.205;0.531
"1997-02-04";0;0.329;0.53
"1997-02-05";10.119;0.457;0.921
"1997-02-06";0;0.335;0.64
"1997-02-07";0;0.328;0.53
"1997-02-08";0;0.48;0.53
"1997-02-09";0;0.465;0.529
"1997-02-10";1.356;0.643;0.516
"1997-02-11";1.501;0.559;0.506
"1997-02-12";12.232;0.799;1.281
"1997-02-13";13.815;0.694;2.679
"1997-02-14";14.086;0.487;3.463
"1997-02-15";2.212;0.445;3.99
"1997-02-16";0;0.377;1.899
"1997-02-17";0;0.535;1.1
"1997-02-18";12.458;0.744;2.801
"1997-02-19";0.004;0.606;1.447
"1997-02-20";0.754;0.821;0.922
"1997-02-21";0;0.858;0.948
"1997-02-22";0;0.891;0.923
"1997-02-23";0.107;0.904;0.786
"1997-02-24";5.169;1.049;0.82
"1997-02-25";43.985;1.08;7.837
"1997-02-26";16.502;0.936;18.57
"1997-02-27";4.624;0.812;16.876
"1997-02-28";0;0.927;5.5
"1997-03-01";0;1.153;1.082
"1997-03-02";0;1.071;0.888
"1997-03-03";2.823;1.092;1.171
"1997-03-04";0;1.287;0.928
"1997-03-05";0.288;1.103;0.8
"1997-03-06";0.137;1.04;0.663
"1997-03-07";0;1.066;0.646
"1997-03-08";0;1.057;1.026
"1997-03-09";0;1.236;0.661
"1997-03-10";0;1.123;0.608
"1997-03-11";0;1.231;0.634
"1997-03-12";0;1.279;0.776
"1997-03-13";0;1.078;0.737
"1997-03-14";0.914;0.995;0.769
"1997-03-15";0;1.25;0.767
"1997-03-16";0;1.384;0.642
"1997-03-17";0;1.286;0.54
"1997-03-18";1.116;1.176;0.65
"1997-03-19";4.797;1.091;0.823
"1997-03-20";0.859;0.885;1.064
"1997-03-21";0.612;1.023;0.809
"1997-03-22";0;0.808;1.056
"1997-03-23";1.703;0.93;0.974
"1997-03-24";0.951;1.212;1.066
"1997-03-25";0.404;1.164;0.962
"1997-03-26";0;1.342;0.903
"1997-03-27";0;1.721;0.924
"1997-03-28";3.398;1.441;0.942
"1997-03-29";0;1.01;0.992
"1997-03-30";0;1.306;0.972
"1997-03-31";0;1.356;0.962
"1997-04-01";0;1.663;0.972
"1997-04-02";0;1.796;0.929
"1997-04-03";0.005;1.547;0.949
"1997-04-04";0;1.259;0.764
"1997-04-05";0.218;1.283;0.766
"1997-04-06";0;1.543;0.758
"1997-04-07";0;1.171;0.674
"1997-04-08";0;1.509;0.873
"1997-04-09";0;1.751;0.681
"1997-04-10";0;1.927;0.702
"1997-04-11";0;1.608;0.802
"1997-04-12";0;1.018;0.811
"1997-04-13";0;1.267;0.824
"1997-04-14";0;1.514;0.55
"1997-04-15";0;1.483;0.721
"1997-04-16";0;1.368;0.664
"1997-04-17";0;1.556;0.659
"1997-04-18";0;1.651;0.659
"1997-04-19";0;1.486;0.594
"1997-04-20";0;1.326;0.652
"1997-04-21";0;1.331;0.665
"1997-04-22";0;1.294;1.138
"1997-04-23";0;1.435;1.152
"1997-04-24";0;1.705;0.739
"1997-04-25";3.023;2.02;0.794
"1997-04-26";5.02;2.311;1.247
"1997-04-27";6.306;2.306;1.178
"1997-04-28";5.381;2.229;0.947
"1997-04-29";2.222;2.226;1.603
"1997-04-30";0.01;2.317;1.297
"1997-05-01";0;2.345;1.186
"1997-05-02";0;2.795;0.831
"1997-05-03";0;3.02;0.965
"1997-05-04";0;3.366;0.79
"1997-05-05";20.158;2.815;1.471
"1997-05-06";11.234;2.237;1.76
"1997-05-07";2.225;1.583;1.683
"1997-05-08";2.914;1.686;1.595
"1997-05-09";9.842;2.058;1.15
"1997-05-10";3.237;2.449;1.012
"1997-05-11";6.22;2.803;0.75
"1997-05-12";0.061;2.675;0.79
"1997-05-13";0;3.096;1.269
"1997-05-14";0.615;3.248;1.103
"1997-05-15";1.101;3.448;1.084
"1997-05-16";0.771;3.865;1.01
"1997-05-17";0;3.939;1.089
"1997-05-18";5.492;3.199;0.716
"1997-05-19";0;3.278;0.618
"1997-05-20";7.494;3.142;0.631
"1997-05-21";5.912;2.846;0.917
"1997-05-22";0.069;2.685;1.256
"1997-05-23";0.004;2.832;1.026
"1997-05-24";0;2.857;0.981
"1997-05-25";0;2.911;0.64
"1997-05-26";0;3.031;0.573
"1997-05-27";0;3.021;0.973
"1997-05-28";0;2.625;0.712
"1997-05-29";0;3.149;0.959
"1997-05-30";0;3.388;0.984
"1997-05-31";0;3.097;0.915
"1997-06-01";0;2.861;0.604
"1997-06-02";0;3.328;0.583
"1997-06-03";8.765;3.413;1.395
"1997-06-04";0;3.642;1.086
"1997-06-05";0;4.139;1.006
"1997-06-06";0.701;4.204;0.769
"1997-06-07";31.076;4.441;2.05
"1997-06-08";6.14;3.975;2.367
"1997-06-09";0;3.874;0.733
"1997-06-10";0;4.537;1.048
"1997-06-11";12.283;4.568;1.666
"1997-06-12";0.041;3.986;1.971
"1997-06-13";15.563;4.023;2.286
"1997-06-14";7.563;3.608;1.463
"1997-06-15";0;3.503;1.025
"1997-06-16";0.457;3.613;0.791
"1997-06-17";16.07;3.224;3.29
"1997-06-18";0;3.396;1.894
"1997-06-19";0.155;3.397;1.301
"1997-06-20";1.334;3.186;1.369
"1997-06-21";8.501;3.233;1.298
"1997-06-22";9.207;3.17;1.234
"1997-06-23";8.848;3.002;1.534
"1997-06-24";3.362;3.072;1.166
"1997-06-25";3.47;3.121;1.259
"1997-06-26";9.954;3.159;1.795
"1997-06-27";5.483;3.269;2.134
"1997-06-28";0;3.549;1.449
"1997-06-29";3.995;3.452;1.231
"1997-06-30";2.598;3.133;0.83
"1997-07-01";5.368;3.161;1.538
"1997-07-02";2.768;3.232;1.826
"1997-07-03";0.862;3.244;0.726
"1997-07-04";7.594;3.344;1.2
"1997-07-05";5.97;3.375;1.386
"1997-07-06";0.034;3.399;1.446
"1997-07-07";0.202;3.596;1.395
"1997-07-08";0;3.742;0.642
"1997-07-09";0;3.997;0.896
"1997-07-10";0;4.189;1.051
"1997-07-11";0;4.142;1.037
"1997-07-12";0.062;4.115;1.099
"1997-07-13";0.008;4.209;0.709
"1997-07-14";11.69;3.916;0.862
"1997-07-15";0;3.768;0.62
"1997-07-16";0;3.72;0.904
"1997-07-17";0;3.848;0.924
"1997-07-18";14.762;3.328;1.239
"1997-07-19";2.149;3.656;1.108
"1997-07-20";2.635;3.393;0.698
