"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;NA
"1997-01-02";0;0;NA
"1997-01-03";0;0;NA
"1997-01-04";0.646;0.027;NA
"1997-01-05";0;0.03;NA
"1997-01-06";0;0.048;NA
"1997-01-07";0;0;NA
"1997-01-08";0;0.023;NA
"1997-01-09";0.5;0.137;NA
"1997-01-10";0.04;0.169;NA
"1997-01-11";0;0.188;NA
"1997-01-12";0;0.263;NA
"1997-01-13";0;0.275;NA
"1997-01-14";0;0.186;NA
"1997-01-15";0;0.264;NA
"1997-01-16";0;0.315;NA
"1997-01-17";0.901;0.394;NA
"1997-01-18";0.985;0.394;NA
"1997-01-19";0.502;0.439;NA
"1997-01-20";0;0.282;NA
"1997-01-21";2.607;0.316;NA
"1997-01-22";1.162;0.52;NA
"1997-01-23";4.351;0.45;NA
"1997-01-24";0.824;0.511;NA
"1997-01-25";0;0.536;NA
"1997-01-26";0;0.376;NA
"1997-01-27";0;0.285;NA
"1997-01-28";0;0.368;NA
"1997-01-29";0;0.226;NA
"1997-01-30";0;0.186;NA
"1997-01-31";0;0.187;NA
"1997-02-01";0;0.163;NA
"1997-02-02";0.241;0.331;NA
"1997-02-03";0;0.419;NA
"1997-02-04";1.516;0.481;NA
"1997-02-05";3.218;0.599;NA
"1997-02-06";0;0.487;NA
"1997-02-07";0;0.593;NA
"1997-02-08";0;0.618;NA
"1997-02-09";0;0.57;NA
"1997-02-10";5.002;0.704;NA
"1997-02-11";3.765;0.636;NA
"1997-02-12";5.176;0.897;NA
"1997-02-13";4.941;0.666;NA
"1997-02-14";15.171;0.737;NA
"1997-02-15";1.458;0.573;NA
"1997-02-16";1.782;0.498;NA
"1997-02-17";2.348;0.819;NA
"1997-02-18";7.569;0.848;NA
"1997-02-19";2.163;0.737;NA
"1997-02-20";0.001;0.883;1.398
"1997-02-21";0;0.929;NA
"1997-02-22";0;0.965;1.006
"1997-02-23";0;0.898;0.867
"1997-02-24";14.331;1.057;0.88
"1997-02-25";22.28;1.109;1.838
"1997-02-26";2.513;0.919;3.705
"1997-02-27";0;0.878;3.685
"1997-02-28";0.009;0.994;3.274
"1997-03-01";0;1.123;2.372
"1997-03-02";2.544;1.113;1.639
"1997-03-03";0;1.109;1.362
"1997-03-04";0.107;1.211;1.233
"1997-03-05";0;1.043;1.085
"1997-03-06";0;1.29;0.977
"1997-03-07";0;1.131;0.89
"1997-03-08";0;1.112;0.806
"1997-03-09";0;1.167;0.743
"1997-03-10";0;1.179;0.706
"1997-03-11";0;1.276;0.64
"1997-03-12";0;1.216;0.611
"1997-03-13";0;1.143;0.593
"1997-03-14";0;1.22;0.556
"1997-03-15";0;1.32;0.534
"1997-03-16";0;1.429;0.511
"1997-03-17";0;1.344;0.484
"1997-03-18";0;1.232;0.456
"1997-03-19";1.413;1.215;0.451
"1997-03-20";0;1.042;0.436
"1997-03-21";0;1.104;0.426
"1997-03-22";0;1.037;0.384
"1997-03-23";0;1.216;0.365
"1997-03-24";1.571;1.264;0.317
"1997-03-25";0;1.501;0.362
"1997-03-26";0;1.542;0.35
"1997-03-27";0;1.786;0.334
"1997-03-28";0;1.445;0.311
"1997-03-29";0;1.133;0.294
"1997-03-30";0;1.229;0.284
"1997-03-31";0;1.405;0.296
"1997-04-01";0;1.584;0.282
"1997-04-02";0;1.688;0.283
"1997-04-03";0;1.539;0.252
"1997-04-04";0;1.442;0.215
"1997-04-05";0;1.494;0.222
"1997-04-06";0;1.842;0.221
"1997-04-07";0;1.619;0.223
"1997-04-08";0;1.737;0.205
"1997-04-09";0;1.96;0.197
"1997-04-10";0;2.086;0.185
"1997-04-11";0;1.859;0.197
"1997-04-12";0;1.346;0.181
"1997-04-13";0;1.404;0.167
"1997-04-14";0;1.684;0.181
"1997-04-15";0;1.728;0.17
"1997-04-16";0;1.556;0.155
"1997-04-17";0;1.7;0.162
"1997-04-18";0;1.797;0.157
"1997-04-19";0;1.502;0.154
"1997-04-20";0;1.361;0.156
"1997-04-21";0;1.29;0.152
"1997-04-22";0;1.383;0.153
"1997-04-23";0;1.548;0.152
"1997-04-24";0;1.97;0.15
"1997-04-25";2.921;1.947;0.153
"1997-04-26";14.692;2.135;0.161
"1997-04-27";1.418;2.277;0.256
"1997-04-28";1.574;2.517;0.248
"1997-04-29";0.183;2.344;0.213
"1997-04-30";0;2.378;0.176
"1997-05-01";0;2.617;0.16
"1997-05-02";0;3.016;0.162
"1997-05-03";0.07;3.065;0.154
"1997-05-04";0.436;2.901;0.148
"1997-05-05";12.158;2.668;0.155
"1997-05-06";6.19;1.737;0.202
"1997-05-07";0.726;1.365;0.234
"1997-05-08";6.273;1.779;0.213
"1997-05-09";2.52;2.057;0.218
"1997-05-10";6.718;2.345;0.209
"1997-05-11";0.996;2.441;0.248
"1997-05-12";1.811;2.425;0.231
"1997-05-13";0;2.557;0.204
"1997-05-14";0;2.886;0.178
"1997-05-15";3.928;2.848;0.168
"1997-05-16";0.048;3.513;0.17
"1997-05-17";11.199;3.358;0.172
"1997-05-18";0.886;3.062;0.258
"1997-05-19";6.13;3.115;0.256
"1997-05-20";8.847;2.664;0.241
"1997-05-21";4.859;2.711;0.288
"1997-05-22";0.66;2.814;0.346
"1997-05-23";0;2.879;0.298
"1997-05-24";0;2.707;0.227
"1997-05-25";0;2.885;0.197
"1997-05-26";0;3.126;0.169
"1997-05-27";0;3.285;0.154
"1997-05-28";0;2.851;0.141
"1997-05-29";0;3.331;0.125
"1997-05-30";0;3.773;0.125
"1997-05-31";0;3.596;0.118
"1997-06-01";0.287;2.885;0.11
"1997-06-02";0.701;2.902;0.105
"1997-06-03";0;3.263;0.112
"1997-06-04";0;3.58;0.106
"1997-06-05";2.672;3.853;0.105
"1997-06-06";2.567;4.187;0.107
"1997-06-07";14.278;3.923;0.112
"1997-06-08";6.181;3.456;0.133
"1997-06-09";0;3.603;0.155
"1997-06-10";0.178;4.147;0.149
"1997-06-11";9.547;4.044;0.148
"1997-06-12";2.514;3.713;0.149
"1997-06-13";6.97;3.543;0.146
"1997-06-14";1.837;3.284;0.146
"1997-06-15";0;3.235;0.152
"1997-06-16";7.286;3.348;0.152
"1997-06-17";0.245;3.222;0.175
"1997-06-18";0.34;3.339;0.172
"1997-06-19";1.247;3.186;0.134
"1997-06-20";5.299;2.951;0.13
"1997-06-21";4.773;3.114;0.129
