"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0.1;1.956
"1997-01-02";14.375;0.237;2.213
"1997-01-03";17.059;0.38;4.074
"1997-01-04";3.249;0.155;4.269
"1997-01-05";0.237;0.097;3.509
"1997-01-06";0;0.122;2.983
"1997-01-07";0;0.028;2.653
"1997-01-08";29.225;0.316;4.589
"1997-01-09";0;0.349;7.042
"1997-01-10";0;0.223;5.177
"1997-01-11";0;0.194;4.137
"1997-01-12";0;0.395;3.606
"1997-01-13";0;0.459;3.148
"1997-01-14";0;0.496;2.713
"1997-01-15";0;0.527;2.519
"1997-01-16";0;0.495;2.397
"1997-01-17";29.04;0.54;3.494
"1997-01-18";7.577;0.547;6.181
"1997-01-19";1.061;0.573;4.989
"1997-01-20";15.76;0.631;6.202
"1997-01-21";0;0.685;6.058
"1997-01-22";1.414;0.722;5.194
"1997-01-23";0;0.705;4.492
"1997-01-24";0;0.671;3.947
"1997-01-25";0;0.693;3.495
"1997-01-26";0;0.584;3.149
"1997-01-27";0;0.52;2.87
"1997-01-28";0;0.297;2.694
"1997-01-29";0;0.547;2.402
"1997-01-30";0;0.594;2.199
"1997-01-31";0;0.573;2.06
"1997-02-01";0;0.556;1.933
"1997-02-02";0;0.593;1.791
"1997-02-03";3.113;0.535;1.744
"1997-02-04";0;0.538;1.663
"1997-02-05";2.109;0.509;1.665
"1997-02-06";0;0.578;1.654
"1997-02-07";0;0.72;1.41
"1997-02-08";0;0.649;1.329
"1997-02-09";0;0.707;1.267
"1997-02-10";0;0.82;1.213
"1997-02-11";0.561;0.78;1.206
"1997-02-12";1.994;0.887;1.206
"1997-02-13";3.8;0.733;1.253
"1997-02-14";21.404;0.816;1.554
"1997-02-15";9.118;0.668;3.275
"1997-02-16";0;0.568;2.85
"1997-02-17";0;0.627;2.525
"1997-02-18";0.934;0.844;2.325
"1997-02-19";0;0.812;2.15
"1997-02-20";0;0.872;1.975
"1997-02-21";0;0.842;1.818
"1997-02-22";0;0.85;1.69
"1997-02-23";0;0.898;1.615
"1997-02-24";0;0.954;1.584
"1997-02-25";0.114;1.193;1.554
"1997-02-26";5.716;1.014;1.524
"1997-02-27";0;0.801;1.481
"1997-02-28";0;1.103;1.394
"1997-03-01";0;1.237;1.355
"1997-03-02";0;1.397;1.308
"1997-03-03";0;1.397;1.225
"1997-03-04";0;1.639;1.218
"1997-03-05";0;1.225;1.174
"1997-03-06";0.156;1.258;1.12
"1997-03-07";0;1.174;1.066
"1997-03-08";0;1.346;1.043
"1997-03-09";0;1.324;1.052
"1997-03-10";0;1.394;0.983
"1997-03-11";0;1.604;0.912
"1997-03-12";0;1.492;0.92
"1997-03-13";0;1.526;0.927
"1997-03-14";0;1.026;0.835
"1997-03-15";0;1.324;0.835
"1997-03-16";0;1.538;0.835
"1997-03-17";0;1.731;0.817
"1997-03-18";0;1.73;0.835
"1997-03-19";1.294;1.056;0.835
"1997-03-20";0;0.991;0.835
"1997-03-21";0;1.243;0.814
