"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0.022;NA
"1997-01-02";0.613;0.13;NA
"1997-01-03";2.371;0.255;NA
"1997-01-04";9.495;0.131;NA
"1997-01-05";0.017;0.189;NA
"1997-01-06";0;0.234;NA
"1997-01-07";0;0.153;NA
"1997-01-08";0.922;0.241;NA
"1997-01-09";0;0.363;NA
"1997-01-10";0;0.233;NA
"1997-01-11";0;0.25;NA
"1997-01-12";0;0.431;NA
"1997-01-13";0;0.481;NA
"1997-01-14";0;0.528;NA
"1997-01-15";0;0.591;NA
"1997-01-16";0;0.571;NA
"1997-01-17";3.281;0.598;NA
"1997-01-18";2.832;0.595;NA
"1997-01-19";1.936;0.623;NA
"1997-01-20";0.264;0.581;NA
"1997-01-21";0.352;0.764;NA
"1997-01-22";0.027;0.873;NA
"1997-01-23";0.121;0.853;NA
"1997-01-24";1.357;0.813;NA
"1997-01-25";0.576;0.798;NA
"1997-01-26";0;0.623;NA
"1997-01-27";0;0.415;NA
"1997-01-28";0;0.259;NA
"1997-01-29";0;0.474;NA
"1997-01-30";0;0.63;NA
"1997-01-31";0;0.618;NA
"1997-02-01";0;0.559;NA
"1997-02-02";6.581;0.664;NA
"1997-02-03";0.021;0.563;NA
"1997-02-04";0;0.398;NA
"1997-02-05";5.321;0.667;NA
"1997-02-06";0;0.617;NA
"1997-02-07";0;0.753;NA
"1997-02-08";0;0.757;NA
"1997-02-09";0;0.747;NA
"1997-02-10";1.885;0.835;NA
"1997-02-11";5.926;0.902;NA
"1997-02-12";6.004;1.044;NA
"1997-02-13";6.571;0.872;NA
"1997-02-14";24.922;0.979;NA
"1997-02-15";6.736;0.787;NA
"1997-02-16";0.245;0.636;NA
"1997-02-17";3.237;0.883;NA
"1997-02-18";3.335;0.944;NA
"1997-02-19";0;0.853;NA
"1997-02-20";0.857;1.102;NA
"1997-02-21";0;1.065;NA
"1997-02-22";0;1.06;NA
"1997-02-23";1.068;1.082;NA
"1997-02-24";12.448;1.177;NA
"1997-02-25";7.013;1.356;NA
"1997-02-26";7.203;1.191;NA
"1997-02-27";0;0.939;NA
"1997-02-28";0;1.319;NA
"1997-03-01";0;1.392;NA
"1997-03-02";0;1.329;NA
"1997-03-03";0;1.403;NA
