"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.408
"1997-01-02";0;0;0.411
"1997-01-03";4.167;0;0.384
"1997-01-04";0.681;0.017;0.361
"1997-01-05";0;0.068;0.342
"1997-01-06";0;0.046;0.357
"1997-01-07";0;0.007;0.358
"1997-01-08";0.167;0;0.354
"1997-01-09";0.108;0.044;0.344
"1997-01-10";0;0.02;0.329
"1997-01-11";0;0.014;0.33
"1997-01-12";0;0;0.329
"1997-01-13";0;0;0.309
"1997-01-14";0;0;0.299
"1997-01-15";0;0.069;0.305
"1997-01-16";0;0.197;0.3
"1997-01-17";0;0.277;0.299
"1997-01-18";1.26;0.355;0.321
"1997-01-19";15.069;0.36;2.436
"1997-01-20";0.012;0.367;4.149
"1997-01-21";0;0.381;2.408
"1997-01-22";0.147;0.412;1.71
"1997-01-23";4.675;0.596;2.215
"1997-01-24";0;0.519;2.311
"1997-01-25";0;0.339;1.657
"1997-01-26";0;0.324;1.357
"1997-01-27";0;0.283;1.247
"1997-01-28";0.006;0.226;0.923
"1997-01-29";0;0.188;0.729
"1997-01-30";0;0.104;0.6
"1997-01-31";0;0.133;0.486
"1997-02-01";0;0.142;0.441
"1997-02-02";0;0.131;0.421
"1997-02-03";0;0.184;0.418
"1997-02-04";0;0.246;0.323
"1997-02-05";13.268;0.417;0.685
"1997-02-06";0;0.295;1.654
"1997-02-07";0;0.354;1.052
"1997-02-08";0;0.437;0.697
"1997-02-09";0;0.473;0.529
"1997-02-10";0.937;0.64;0.491
"1997-02-11";4.053;0.683;0.624
"1997-02-12";7.105;0.823;1.85
"1997-02-13";13.456;0.653;3.409
"1997-02-14";10.567;0.599;3.9
"1997-02-15";11.55;0.523;9.682
"1997-02-16";0;0.366;4.683
"1997-02-17";0.416;0.551;2.801
"1997-02-18";17.735;0.682;2.954
"1997-02-19";0;0.593;4.906
"1997-02-20";2.115;0.793;3.078
"1997-02-21";0;0.806;2.21
"1997-02-22";0;0.9;1.673
"1997-02-23";0;0.942;1.377
"1997-02-24";3.939;1.014;1.36
"1997-02-25";34.959;1.143;4.683
"1997-02-26";9.023;0.967;18.956
"1997-02-27";0;0.8;6.5
"1997-02-28";0;0.875;3.297
"1997-03-01";0;1.158;2.426
"1997-03-02";0;1.157;1.803
"1997-03-03";1.62;1.145;1.472
"1997-03-04";0;1.354;1.223
"1997-03-05";0.095;1.172;1.05
"1997-03-06";0;0.994;0.907
"1997-03-07";0;0.883;0.746
"1997-03-08";0;0.859;0.653
"1997-03-09";0;0.978;0.629
"1997-03-10";0;1.079;0.548
"1997-03-11";0;1.2;0.527
"1997-03-12";0;1.235;0.463
"1997-03-13";0;1.074;0.517
"1997-03-14";2.526;0.884;0.452
"1997-03-15";0.341;1.247;0.46
"1997-03-16";0;1.437;0.467
"1997-03-17";0;1.311;0.459
"1997-03-18";2.193;1.29;0.41
"1997-03-19";6.752;1.01;0.453
"1997-03-20";0;0.899;0.556
"1997-03-21";0;0.999;0.475
"1997-03-22";0;0.839;0.413
"1997-03-23";1.017;0.977;0.36
"1997-03-24";0;1.183;0.385
"1997-03-25";2.228;1.152;0.398
"1997-03-26";0;1.251;0.399
"1997-03-27";0.225;1.601;0.413
"1997-03-28";3.687;1.485;0.459
"1997-03-29";0;0.962;0.521
"1997-03-30";0;1.173;0.469
"1997-03-31";0;1.314;0.447
"1997-04-01";0;1.618;0.459
"1997-04-02";0;1.69;0.474
"1997-04-03";0;1.641;0.457
"1997-04-04";0;1.297;0.464
"1997-04-05";0;1.31;0.446
"1997-04-06";0;1.646;0.448
"1997-04-07";0;1.242;0.432
"1997-04-08";0;1.389;0.428
"1997-04-09";0;1.697;0.428
"1997-04-10";0;1.984;0.435
"1997-04-11";0;1.708;0.451
"1997-04-12";0;1.089;0.429
"1997-04-13";0;1.194;0.423
"1997-04-14";0;1.47;0.424
"1997-04-15";0;1.508;0.425
"1997-04-16";0;1.22;0.428
"1997-04-17";0;1.338;0.445
"1997-04-18";0;1.562;0.442
"1997-04-19";0;1.542;0.45
"1997-04-20";0;1.397;0.453
"1997-04-21";0;1.233;0.459
"1997-04-22";0;1.26;0.467
"1997-04-23";0;1.525;0.484
"1997-04-24";0;1.816;0.436
"1997-04-25";3.589;2.388;0.437
"1997-04-26";8.409;2.375;0.454
"1997-04-27";8.039;2.229;0.494
"1997-04-28";6.444;2.239;0.528
"1997-04-29";4.58;2.132;0.534
"1997-04-30";0;2.184;0.519
"1997-05-01";0;2.316;0.498
"1997-05-02";0;2.732;0.47
"1997-05-03";0;3.152;0.45
"1997-05-04";0;3.461;0.431
"1997-05-05";14.203;2.783;0.446
"1997-05-06";17.322;2.223;0.663
"1997-05-07";2.084;1.601;1.413
"1997-05-08";0;1.709;0.731
"1997-05-09";15.811;2.032;0.821
"1997-05-10";1.598;2.484;1.024
"1997-05-11";1.934;2.917;0.592
"1997-05-12";0.308;2.667;0.521
"1997-05-13";0;3.062;0.378
"1997-05-14";0;3.195;0.358
"1997-05-15";5.673;3.593;0.385
"1997-05-16";13.779;3.507;0.622
"1997-05-17";2.513;3.8;3.6
"1997-05-18";8.969;3.267;1.679
"1997-05-19";1.532;3.358;1.529
"1997-05-20";6.307;3.183;1.252
"1997-05-21";4.48;2.759;0.915
"1997-05-22";4.536;2.726;0.69
"1997-05-23";0;2.865;1.164
"1997-05-24";0;2.976;0.695
"1997-05-25";0;2.987;0.448
"1997-05-26";0;3.07;0.372
"1997-05-27";0;3.07;0.339
"1997-05-28";0;2.728;0.347
"1997-05-29";0;3.089;0.36
"1997-05-30";0;3.225;0.359
"1997-05-31";0;3.193;0.348
"1997-06-01";0.695;2.742;0.361
"1997-06-02";0.044;3.288;0.37
"1997-06-03";4.896;3.578;0.356
"1997-06-04";0;3.59;0.329
"1997-06-05";0;3.869;0.344
"1997-06-06";2.402;4.133;0.353
"1997-06-07";10.508;4.408;0.243
"1997-06-08";12.09;3.87;0.315
"1997-06-09";0;3.887;0.399
"1997-06-10";0;4.43;0.342
"1997-06-11";5.49;4.513;0.311
"1997-06-12";0;4.094;0.312
