"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";1.607;0.009;NA
"1997-01-02";28.425;0.024;NA
"1997-01-03";14.768;0.103;NA
"1997-01-04";3.986;0.2;NA
"1997-01-05";3.408;0.141;NA
"1997-01-06";0;0.161;NA
"1997-01-07";0;0.082;NA
"1997-01-08";3.17;0.189;NA
"1997-01-09";3.643;0.285;NA
"1997-01-10";0.005;0.28;NA
"1997-01-11";0;0.194;NA
"1997-01-12";0;0.077;NA
"1997-01-13";0;0.059;NA
"1997-01-14";0;0.112;NA
"1997-01-15";0;0.202;NA
"1997-01-16";0;0.316;NA
"1997-01-17";0;0.475;NA
"1997-01-18";0;0.497;NA
"1997-01-19";15.915;0.545;NA
"1997-01-20";15.543;0.441;NA
"1997-01-21";0;0.492;NA
"1997-01-22";0;0.719;NA
"1997-01-23";0;0.759;NA
"1997-01-24";0;0.737;NA
"1997-01-25";0;0.573;NA
"1997-01-26";0;0.44;NA
"1997-01-27";0;0.436;NA
"1997-01-28";0;0.293;NA
"1997-01-29";0;0.275;NA
"1997-01-30";0;0.303;NA
"1997-01-31";0;0.231;NA
"1997-02-01";0;0.215;NA
"1997-02-02";0;0.266;NA
"1997-02-03";0;0.285;NA
"1997-02-04";0;0.336;NA
"1997-02-05";3.966;0.554;NA
"1997-02-06";0;0.519;NA
"1997-02-07";0;0.635;NA
"1997-02-08";0;0.672;NA
"1997-02-09";0;0.621;NA
"1997-02-10";0.005;0.657;NA
"1997-02-11";1.102;0.807;NA
"1997-02-12";0;0.951;NA
"1997-02-13";0.012;0.907;NA
"1997-02-14";2.946;0.809;NA
"1997-02-15";5.118;0.732;NA
"1997-02-16";0.001;0.548;NA
"1997-02-17";0;0.808;NA
"1997-02-18";0;0.858;NA
"1997-02-19";0;0.835;NA
"1997-02-20";0;1.002;NA
"1997-02-21";0;0.904;NA
"1997-02-22";0;0.927;NA
"1997-02-23";0;1.074;NA
"1997-02-24";0.323;1.106;NA
"1997-02-25";0.09;1.256;NA
"1997-02-26";1.902;1.262;NA
"1997-02-27";0.065;0.878;NA
"1997-02-28";0;1.039;NA
"1997-03-01";0;1.237;NA
"1997-03-02";0;1.362;NA
"1997-03-03";0;1.369;NA
"1997-03-04";0;1.564;NA
"1997-03-05";0;1.424;NA
"1997-03-06";0;1.183;NA
"1997-03-07";0;1.108;NA
"1997-03-08";0;1.235;NA
"1997-03-09";0;1.368;NA
"1997-03-10";0;1.492;NA
"1997-03-11";0;1.545;NA
"1997-03-12";0;1.638;NA
"1997-03-13";0;1.535;NA
"1997-03-14";0;1.313;NA
"1997-03-15";0.544;1.342;NA
"1997-03-16";0;1.551;NA
"1997-03-17";0;1.574;NA
"1997-03-18";0;1.862;NA
