"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.42
"1997-01-02";0;0;0.42
"1997-01-03";0;0;0.42
"1997-01-04";0;0.002;0.42
"1997-01-05";0;0.035;0.42
"1997-01-06";0;0.007;0.42
"1997-01-07";0;0;0.42
"1997-01-08";0;0.01;0.42
"1997-01-09";0;0.112;0.42
"1997-01-10";0;0;0.42
"1997-01-11";0;0.096;0.42
"1997-01-12";0;0.203;0.42
"1997-01-13";0;0.171;0.42
"1997-01-14";0;0.105;0.42
"1997-01-15";0;0.092;0.42
"1997-01-16";0;0.142;0.42
"1997-01-17";0;0.259;0.42
"1997-01-18";0;0.289;0.42
"1997-01-19";1.803;0.363;0.42
"1997-01-20";0;0.293;0.42
"1997-01-21";0;0.25;0.42
"1997-01-22";0;0.426;0.418
"1997-01-23";0;0.343;0.417
"1997-01-24";0.49;0.403;0.417
"1997-01-25";0;0.443;0.417
"1997-01-26";0;0.226;0.416
"1997-01-27";0;0.247;0.413
"1997-01-28";0;0.288;0.413
"1997-01-29";0;0.29;0.413
"1997-01-30";0;0.24;0.41
"1997-01-31";0;0.267;0.41
"1997-02-01";0;0.273;0.419
"1997-02-02";0;0.234;0.411
"1997-02-03";0;0.277;0.411
"1997-02-04";8.351;0.441;0.417
"1997-02-05";7.631;0.482;0.45
"1997-02-06";0;0.477;0.426
"1997-02-07";0;0.592;0.426
"1997-02-08";0;0.663;0.426
"1997-02-09";0;0.708;0.424
"1997-02-10";3.381;0.649;0.428
"1997-02-11";8.896;0.552;0.439
"1997-02-12";10.074;0.897;0.495
"1997-02-13";5.903;0.656;0.474
"1997-02-14";6.722;0.5;0.482
"1997-02-15";0;0.477;0.468
"1997-02-16";3.915;0.475;0.463
"1997-02-17";0.577;0.753;0.468
"1997-02-18";5.676;0.77;0.477
"1997-02-19";6.244;0.67;0.46
"1997-02-20";0.078;0.842;0.473
"1997-02-21";0.657;0.922;0.466
"1997-02-22";0;0.949;0.46
"1997-02-23";0;0.892;0.455
"1997-02-24";8.512;1.025;0.467
"1997-02-25";4.313;1.114;0.457
"1997-02-26";0.984;0.957;0.456
"1997-02-27";0;0.857;0.443
"1997-02-28";0;1.035;0.44
"1997-03-01";0;1.105;0.442
"1997-03-02";2.07;1.103;0.44
"1997-03-03";4.605;0.987;0.444
"1997-03-04";1.149;1.235;0.466
"1997-03-05";0.705;1;0.462
"1997-03-06";2.008;1.064;0.463
"1997-03-07";0;1.201;0.454
"1997-03-08";0;1.125;0.446
"1997-03-09";0;1.155;0.437
"1997-03-10";0;1.15;0.436
"1997-03-11";0;1.182;0.429
"1997-03-12";0;1.181;0.432
"1997-03-13";0;1.182;0.437
"1997-03-14";0.161;1.184;0.447
"1997-03-15";0;1.223;0.442
"1997-03-16";0;1.314;0.429
"1997-03-17";0;1.333;0.443
"1997-03-18";1.055;1.187;0.434
"1997-03-19";2.777;1.167;0.45
"1997-03-20";0;1.004;0.446
"1997-03-21";1.031;1.143;0.447
"1997-03-22";0;0.877;0.449
"1997-03-23";0.893;1.147;0.452
"1997-03-24";0;1.225;0.453
"1997-03-25";0;1.395;0.458
"1997-03-26";1.204;1.533;0.46
"1997-03-27";0;1.731;0.46
"1997-03-28";0;1.42;0.458
"1997-03-29";0;1.238;0.457
"1997-03-30";0;1.32;0.46
"1997-03-31";0;1.426;0.461
"1997-04-01";0;1.558;0.468
"1997-04-02";0;1.588;0.472
"1997-04-03";0;1.474;0.474
"1997-04-04";0;1.327;0.474
"1997-04-05";0;1.556;0.477
"1997-04-06";0;1.689;0.475
"1997-04-07";0;1.334;0.477
"1997-04-08";0;1.531;0.474
"1997-04-09";0;1.897;0.471
"1997-04-10";0;1.966;0.468
"1997-04-11";0;1.551;0.472
"1997-04-12";0;1.121;0.474
"1997-04-13";0;1.258;0.469
"1997-04-14";0;1.639;0.463
"1997-04-15";0;1.535;0.462
"1997-04-16";0;1.285;0.459
"1997-04-17";0;1.658;0.456
"1997-04-18";0;1.592;0.451
"1997-04-19";0;1.48;0.451
"1997-04-20";0;1.308;0.448
"1997-04-21";0;1.312;0.434
"1997-04-22";0;1.49;0.426
"1997-04-23";0;1.578;0.416
"1997-04-24";0;1.889;0.412
"1997-04-25";8.793;1.892;0.413
"1997-04-26";7.817;2.198;0.45
"1997-04-27";0.793;2.111;0.441
"1997-04-28";2.272;2.366;0.421
"1997-04-29";0.553;2.345;0.417
"1997-04-30";0;2.332;0.413
"1997-05-01";0;2.588;0.408
"1997-05-02";0;2.969;0.4
"1997-05-03";0;3.124;0.41
"1997-05-04";2.758;2.847;0.411
"1997-05-05";8.379;2.646;0.436
"1997-05-06";4.523;1.808;0.442
"1997-05-07";0.311;1.428;0.436
"1997-05-08";8.546;1.758;0.433
"1997-05-09";5.192;2.132;0.46
"1997-05-10";7.887;2.313;0.439
"1997-05-11";4.559;2.586;0.457
"1997-05-12";2.327;2.505;0.461
"1997-05-13";1.33;2.814;0.455
"1997-05-14";5.726;2.811;0.459
"1997-05-15";0.254;2.927;0.454
"1997-05-16";6.835;3.727;0.525
"1997-05-17";1.065;3.941;0.472
"1997-05-18";0;3.383;0.474
"1997-05-19";1.607;3.32;0.477
"1997-05-20";10.76;2.716;0.498
"1997-05-21";5.23;2.818;0.514
"1997-05-22";0;2.577;0.489
"1997-05-23";0;2.543;0.486
"1997-05-24";0;2.435;0.482
"1997-05-25";0;2.727;0.479
"1997-05-26";0;2.971;0.478
"1997-05-27";0;2.852;0.482
"1997-05-28";0;2.678;0.47
"1997-05-29";0;3.141;0.455
"1997-05-30";0;3.461;0.45
"1997-05-31";0;3.413;0.432
"1997-06-01";1.695;2.93;0.426
"1997-06-02";0;3.42;0.423
"1997-06-03";0;3.67;0.423
"1997-06-04";0;3.679;0.419
"1997-06-05";2.783;3.93;0.413
"1997-06-06";0;4.312;0.414
"1997-06-07";6.54;4.299;0.425
"1997-06-08";13.373;3.744;0.457
"1997-06-09";0;3.784;0.424
"1997-06-10";0;4.364;0.406
"1997-06-11";16.66;4.105;0.464
"1997-06-12";6.775;3.481;0.463
"1997-06-13";2.099;3.548;0.437
"1997-06-14";3.427;3.3;0.436
"1997-06-15";0;3.351;0.411
"1997-06-16";0.156;3.586;0.401
"1997-06-17";0.66;3.451;0.395
"1997-06-18";0;3.354;0.389
"1997-06-19";13.559;3.14;0.44
"1997-06-20";4.243;3.137;0.408
"1997-06-21";3.072;3.307;0.385
"1997-06-22";5.11;2.996;0.392
"1997-06-23";0.595;3.276;0.388
"1997-06-24";1.669;3.119;0.392
"1997-06-25";10.674;2.828;0.393
"1997-06-26";9.439;3.202;0.453
"1997-06-27";6.201;3.266;0.496
"1997-06-28";0.655;3.156;0.413
"1997-06-29";2.647;3.173;0.418
"1997-06-30";0.962;3.1;0.406
"1997-07-01";0.694;3.094;0.409
"1997-07-02";8.836;2.996;0.403
"1997-07-03";2.033;2.987;0.397
"1997-07-04";5.453;2.99;0.407
"1997-07-05";0;3.284;0.4
"1997-07-06";0;3.53;0.387
"1997-07-07";0;3.865;0.383
"1997-07-08";0;3.975;0.378
"1997-07-09";0;3.695;0.377
"1997-07-10";0;3.762;0.375
"1997-07-11";0;3.959;0.375
"1997-07-12";0;3.797;0.374
"1997-07-13";0.002;4.003;0.372
"1997-07-14";0.574;3.608;0.372
