"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.624
"1997-01-02";0;0;0.622
"1997-01-03";0;0;0.621
"1997-01-04";0;0.027;0.615
"1997-01-05";0;0.034;0.615
"1997-01-06";0;0.07;0.618
"1997-01-07";0;0;0.614
"1997-01-08";0;0.005;0.607
"1997-01-09";0.426;0.118;0.619
"1997-01-10";0;0.061;0.613
"1997-01-11";0;0.174;0.612
"1997-01-12";0;0.287;0.616
"1997-01-13";0;0.292;0.622
"1997-01-14";0;0.215;0.613
"1997-01-15";0;0.275;0.606
"1997-01-16";0;0.327;0.605
"1997-01-17";0.006;0.371;0.61
"1997-01-18";0;0.356;0.609
"1997-01-19";1.37;0.416;0.613
"1997-01-20";0;0.334;0.612
"1997-01-21";0.126;0.28;0.612
"1997-01-22";0;0.489;0.611
"1997-01-23";0.197;0.415;0.611
"1997-01-24";0;0.454;0.611
"1997-01-25";0;0.466;0.612
"1997-01-26";0;0.302;0.601
"1997-01-27";0;0.299;0.601
"1997-01-28";0;0.374;0.596
"1997-01-29";0;0.278;0.581
"1997-01-30";0;0.236;0.588
"1997-01-31";0;0.232;0.588
"1997-02-01";0;0.223;0.592
"1997-02-02";1.166;0.3;0.589
"1997-02-03";0;0.361;0.592
"1997-02-04";6.332;0.496;0.599
"1997-02-05";7.108;0.519;0.642
"1997-02-06";0;0.571;0.604
"1997-02-07";0;0.695;0.599
"1997-02-08";0;0.699;0.6
"1997-02-09";0;0.721;0.592
"1997-02-10";5.869;0.686;0.604
"1997-02-11";11.227;0.607;0.618
"1997-02-12";7;0.864;0.674
"1997-02-13";6.299;0.657;0.679
"1997-02-14";7.689;0.563;0.661
"1997-02-15";0.001;0.552;0.644
"1997-02-16";2.835;0.508;0.624
"1997-02-17";4.75;0.782;0.621
"1997-02-18";7.389;0.791;0.656
"1997-02-19";2.21;0.751;0.643
"1997-02-20";0;0.876;0.622
"1997-02-21";0;0.932;0.616
"1997-02-22";0;0.965;0.613
"1997-02-23";0;0.959;0.61
"1997-02-24";8.602;1.032;0.623
"1997-02-25";7.221;1.091;0.645
"1997-02-26";1.796;0.936;0.636
"1997-02-27";0;0.917;0.621
"1997-02-28";0;1.076;0.612
"1997-03-01";0;1.094;0.609
"1997-03-02";1.453;1.093;0.604
"1997-03-03";2.74;1.01;0.603
"1997-03-04";0.005;1.235;0.607
"1997-03-05";0.286;1.017;0.602
"1997-03-06";2.247;1.108;0.599
"1997-03-07";0;1.228;0.594
"1997-03-08";0;1.168;0.595
"1997-03-09";0;1.147;0.589
"1997-03-10";0;1.19;0.59
"1997-03-11";0;1.371;0.583
"1997-03-12";0;1.206;0.585
"1997-03-13";0;1.14;0.599
"1997-03-14";0;1.18;0.602
"1997-03-15";0;1.207;0.601
"1997-03-16";0;1.245;0.596
"1997-03-17";0;1.22;0.594
"1997-03-18";0;1.236;0.597
"1997-03-19";0;1.248;0.588
"1997-03-20";0;1.103;0.589
"1997-03-21";0;1.186;0.595
"1997-03-22";0;1.013;0.585
"1997-03-23";0;1.247;0.587
"1997-03-24";0.885;1.305;0.592
"1997-03-25";0;1.361;0.59
"1997-03-26";0;1.541;0.592
"1997-03-27";0;1.636;0.581
