"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.299
"1997-01-02";0;0;0.293
"1997-01-03";0;0;0.291
"1997-01-04";0;0.014;0.289
"1997-01-05";0;0.05;0.289
"1997-01-06";0;0.021;0.287
"1997-01-07";0;0;0.292
"1997-01-08";0;0.061;0.29
"1997-01-09";0;0.167;0.296
"1997-01-10";0;0.041;0.292
"1997-01-11";0;0.126;0.288
"1997-01-12";0;0.165;0.295
"1997-01-13";0;0.142;0.294
"1997-01-14";0;0.132;0.291
"1997-01-15";0;0.163;0.287
"1997-01-16";0;0.226;0.284
"1997-01-17";1.351;0.342;0.284
"1997-01-18";0.002;0.336;0.293
"1997-01-19";2.099;0.386;0.3
"1997-01-20";0;0.314;0.297
"1997-01-21";0;0.344;0.301
"1997-01-22";0;0.537;0.298
"1997-01-23";0;0.41;0.294
"1997-01-24";0.718;0.473;0.303
"1997-01-25";0;0.42;0.305
"1997-01-26";0;0.263;0.301
"1997-01-27";0;0.255;0.297
"1997-01-28";0;0.257;0.294
"1997-01-29";0;0.239;0.289
"1997-01-30";0;0.244;0.285
"1997-01-31";0;0.208;0.284
"1997-02-01";0;0.213;0.282
"1997-02-02";0;0.214;0.282
"1997-02-03";0;0.318;0.282
"1997-02-04";4.491;0.475;0.286
"1997-02-05";3.599;0.523;0.315
"1997-02-06";0;0.445;0.305
"1997-02-07";0;0.487;0.293
"1997-02-08";0;0.608;0.29
"1997-02-09";0;0.583;0.287
"1997-02-10";1.714;0.695;0.291
"1997-02-11";2.878;0.604;0.295
"1997-02-12";1.771;0.927;0.302
"1997-02-13";5.223;0.713;0.325
"1997-02-14";9.345;0.563;0.319
"1997-02-15";0;0.543;0.383
"1997-02-16";2.187;0.502;0.334
"1997-02-17";0.306;0.786;0.315
"1997-02-18";10.587;0.808;0.397
"1997-02-19";2.632;0.691;0.381
"1997-02-20";0;0.901;0.337
"1997-02-21";0;0.97;0.34
"1997-02-22";0;0.991;0.309
"1997-02-23";0;0.917;0.307
"1997-02-24";10.459;1.102;0.351
"1997-02-25";8.614;1.177;0.421
"1997-02-26";3.307;0.987;0.457
"1997-02-27";0;0.882;0.411
"1997-02-28";0;1.074;0.339
"1997-03-01";0;1.097;0.326
"1997-03-02";1.387;1.131;0.316
"1997-03-03";0.621;1.061;0.319
"1997-03-04";1.608;1.327;0.318
"1997-03-05";0.762;1.042;0.313
"1997-03-06";2.117;1.169;0.327
"1997-03-07";0;1.178;0.312
"1997-03-08";0;1.09;0.305
"1997-03-09";0;1.159;0.303
"1997-03-10";0;1.146;0.302
"1997-03-11";0;1.264;0.302
"1997-03-12";0;1.34;0.293
"1997-03-13";0;1.31;0.301
"1997-03-14";0.132;1.159;0.3
"1997-03-15";0;1.203;0.296
"1997-03-16";0;1.465;0.301
"1997-03-17";0;1.45;0.303
"1997-03-18";0.015;1.234;0.299
"1997-03-19";1.312;1.274;0.295
"1997-03-20";0;1.054;0.291
"1997-03-21";0.218;1.176;0.288
"1997-03-22";0;0.998;0.284
"1997-03-23";0;1.157;0.29
"1997-03-24";1.031;1.334;0.294
"1997-03-25";0;1.442;0.294
"1997-03-26";0;1.553;0.293
"1997-03-27";0;1.911;0.292
"1997-03-28";0;1.562;0.286
"1997-03-29";0;1.262;0.284
"1997-03-30";0;1.385;0.289
"1997-03-31";0;1.441;0.287
"1997-04-01";0;1.731;0.283
"1997-04-02";0;1.821;0.291
"1997-04-03";0;1.562;0.284
"1997-04-04";0;1.432;0.291
"1997-04-05";0;1.478;0.282
"1997-04-06";0;1.855;0.29
"1997-04-07";0;1.433;0.286
"1997-04-08";0;1.636;0.282
"1997-04-09";0;2.043;0.284
"1997-04-10";0;2.06;0.285
"1997-04-11";0;1.801;0.277
"1997-04-12";0;1.205;0.281
"1997-04-13";0;1.407;0.277
"1997-04-14";0;1.714;0.284
"1997-04-15";0;1.739;0.286
"1997-04-16";0;1.464;0.277
"1997-04-17";0;1.672;0.286
"1997-04-18";0;1.803;0.281
"1997-04-19";0;1.545;0.281
"1997-04-20";0;1.365;0.278
"1997-04-21";0;1.48;0.274
"1997-04-22";0;1.582;0.28
"1997-04-23";0;1.609;0.278
"1997-04-24";0;2.003;0.28
"1997-04-25";5.803;2.094;0.291
"1997-04-26";5.449;2.346;0.301
"1997-04-27";0.445;2.261;0.302
"1997-04-28";2.441;2.536;0.299
"1997-04-29";1.227;2.427;0.301
"1997-04-30";0;2.369;0.285
"1997-05-01";0;2.609;0.281
"1997-05-02";0;3.038;0.283
"1997-05-03";0;3.405;0.276
"1997-05-04";0.564;3.237;0.276
"1997-05-05";8.75;2.86;0.306
"1997-05-06";27.483;2.014;0.424
"1997-05-07";0.98;1.42;0.479
"1997-05-08";11.623;1.818;0.338
"1997-05-09";3.638;2.247;0.396
"1997-05-10";0.473;2.503;0.38
"1997-05-11";3.604;2.591;0.317
"1997-05-12";0.256;2.606;0.305
"1997-05-13";11.449;3.052;0.304
"1997-05-14";4.227;2.819;0.4
"1997-05-15";0;3.336;0.363
"1997-05-16";1.205;4.073;0.312
"1997-05-17";0.319;3.947;0.306
"1997-05-18";1.64;3.374;0.3
"1997-05-19";0;3.3;0.293
"1997-05-20";8.946;2.909;0.302
"1997-05-21";5.823;2.891;0.335
"1997-05-22";0;2.878;0.317
"1997-05-23";0;2.875;0.295
"1997-05-24";0;2.804;0.292
"1997-05-25";0;3.02;0.28
"1997-05-26";0;3.246;0.277
"1997-05-27";0;3.127;0.274
"1997-05-28";0;2.843;0.269
"1997-05-29";0;3.298;0.264
"1997-05-30";0;3.647;0.262
"1997-05-31";0;3.443;0.259
"1997-06-01";0.011;3.007;0.254
"1997-06-02";2.448;3.459;0.254
"1997-06-03";0.094;3.647;0.267
"1997-06-04";0;3.964;0.261
"1997-06-05";0.475;4.044;0.256
"1997-06-06";0.057;4.387;0.263
"1997-06-07";6.427;4.386;0.284
"1997-06-08";0.712;4.056;0.275
"1997-06-09";0;3.981;0.254
"1997-06-10";0;4.537;0.254
"1997-06-11";17.142;4.414;0.322
"1997-06-12";0.223;3.823;0.31
"1997-06-13";6.254;3.695;0.282
"1997-06-14";3.948;3.526;0.287
"1997-06-15";0.893;3.39;0.279
"1997-06-16";2.039;3.712;0.285
"1997-06-17";18.946;3.293;0.356
"1997-06-18";0;3.48;0.342
"1997-06-19";6.472;3.278;0.301
"1997-06-20";2.191;3.185;0.298
"1997-06-21";7.235;3.226;0.295
"1997-06-22";5.025;3.13;0.303
"1997-06-23";11.7;3.129;0.339
"1997-06-24";0;3.137;0.346
"1997-06-25";5.648;3.073;0.342
"1997-06-26";11.336;3.215;0.396
"1997-06-27";3.711;3.124;0.4
"1997-06-28";1.531;3.453;0.373
"1997-06-29";1.097;3.36;0.336
"1997-06-30";5.99;3.186;0.381
"1997-07-01";2.6;3.26;0.334
"1997-07-02";8.043;3.161;0.344
"1997-07-03";2.322;3.112;0.367
"1997-07-04";9.777;3.215;0.347
