"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.353
"1997-01-02";0;0;0.349
"1997-01-03";0;0;0.346
"1997-01-04";0.021;0;0.344
"1997-01-05";0;0;0.342
"1997-01-06";0;0.025;0.34
"1997-01-07";0;0;0.339
"1997-01-08";1.602;0;0.338
"1997-01-09";3.848;0.121;0.337
"1997-01-10";0;0.101;0.336
"1997-01-11";0;0.16;0.335
"1997-01-12";0;0.261;0.334
"1997-01-13";0;0.238;0.333
"1997-01-14";0;0.148;0.332
"1997-01-15";0;0.236;NA
"1997-01-16";0;0.305;NA
"1997-01-17";0;0.374;NA
"1997-01-18";0.429;0.359;NA
"1997-01-19";0.379;0.414;NA
"1997-01-20";0;0.253;NA
"1997-01-21";0.809;0.279;NA
"1997-01-22";0.362;0.464;NA
"1997-01-23";5.002;0.404;NA
"1997-01-24";0.607;0.456;NA
"1997-01-25";0;0.451;NA
"1997-01-26";0;0.318;NA
"1997-01-27";0;0.261;NA
"1997-01-28";0;0.337;NA
"1997-01-29";0;0.204;NA
"1997-01-30";0;0.148;NA
"1997-01-31";0;0.163;NA
"1997-02-01";0;0.152;NA
"1997-02-02";0;0.311;NA
"1997-02-03";0;0.39;NA
"1997-02-04";3.736;0.437;NA
"1997-02-05";6.444;0.533;NA
"1997-02-06";0;0.497;NA
"1997-02-07";0;0.59;NA
"1997-02-08";0;0.646;NA
"1997-02-09";0;0.604;NA
"1997-02-10";5.794;0.662;NA
"1997-02-11";5.085;0.594;NA
"1997-02-12";4.154;0.867;NA
"1997-02-13";5.594;0.63;NA
"1997-02-14";18.126;0.658;0.813
"1997-02-15";4.142;0.499;0.853
"1997-02-16";1.773;0.467;0.578
"1997-02-17";2.056;0.762;0.565
"1997-02-18";9.852;0.798;0.565
"1997-02-19";1.893;0.704;0.578
"1997-02-20";0.395;0.843;0.576
"1997-02-21";0;0.883;0.558
"1997-02-22";0;0.938;0.542
"1997-02-23";0;0.85;0.534
"1997-02-24";11.2;0.999;0.69
"1997-02-25";12.819;1.067;1.004
"1997-02-26";3.633;0.907;0.841
"1997-02-27";0;0.811;0.723
"1997-02-28";0;1.003;0.657
"1997-03-01";0;1.082;0.644
"1997-03-02";3.327;1.08;0.624
"1997-03-03";0;1.03;0.598
"1997-03-04";0;1.218;0.571
"1997-03-05";0;0.988;0.546
"1997-03-06";0.942;1.164;0.53
"1997-03-07";0;1.123;0.522
"1997-03-08";0;1.061;0.513
"1997-03-09";0;1.105;0.505
"1997-03-10";0;1.137;0.497
"1997-03-11";0;1.196;0.489
"1997-03-12";0;1.178;0.485
"1997-03-13";0;1.164;0.484
"1997-03-14";0;1.193;0.482
"1997-03-15";0;1.278;0.481
"1997-03-16";0;1.396;0.48
"1997-03-17";0;1.361;0.479
"1997-03-18";0.169;1.207;0.478
"1997-03-19";1.086;1.171;0.477
"1997-03-20";0;1.037;0.476
"1997-03-21";0;1.072;0.475
"1997-03-22";0;0.94;0.472
"1997-03-23";0;1.178;0.468
"1997-03-24";1.862;1.245;0.465
"1997-03-25";0;1.452;0.461
"1997-03-26";0;1.543;0.457
"1997-03-27";0;1.773;0.454
"1997-03-28";0;1.415;0.45
"1997-03-29";0;1.118;0.447
"1997-03-30";0;1.227;0.443
"1997-03-31";0;1.273;0.44
"1997-04-01";0;1.529;0.436
"1997-04-02";0;1.67;0.433
"1997-04-03";0;1.487;0.429
"1997-04-04";0;1.396;0.426
"1997-04-05";0;1.479;0.422
"1997-04-06";0;1.746;0.419
"1997-04-07";0;1.508;0.415
"1997-04-08";0;1.608;0.412
"1997-04-09";0;1.957;0.408
"1997-04-10";0;2.105;0.405
"1997-04-11";0;1.795;0.401
"1997-04-12";0;1.222;0.398
"1997-04-13";0;1.346;0.394
"1997-04-14";0;1.646;0.391
"1997-04-15";0;1.613;0.393
"1997-04-16";0;1.437;0.384
"1997-04-17";0;1.645;0.385
"1997-04-18";0;1.699;0.389
"1997-04-19";0;1.435;0.383
"1997-04-20";0;1.317;0.383
"1997-04-21";0;1.257;0.383
"1997-04-22";0;1.424;0.383
"1997-04-23";0;1.548;0.379
"1997-04-24";0;2.084;0.376
"1997-04-25";4.385;1.886;0.396
"1997-04-26";11.821;2.045;0.41
"1997-04-27";0.662;2.228;0.414
"1997-04-28";1.963;2.426;0.407
"1997-04-29";0;2.31;0.391
"1997-04-30";0;2.358;0.386
"1997-05-01";0;2.556;0.383
"1997-05-02";0;2.947;0.387
"1997-05-03";0;3.09;0.385
"1997-05-04";0.038;2.875;0.379
"1997-05-05";9.567;2.65;0.393
"1997-05-06";6.952;1.683;0.397
"1997-05-07";1.283;1.258;0.392
"1997-05-08";10.886;1.65;0.388
"1997-05-09";2.255;2.076;0.399
"1997-05-10";4.365;2.343;0.39
"1997-05-11";0.455;2.435;0.386
"1997-05-12";4.229;2.38;0.389
"1997-05-13";0;2.605;0.382
"1997-05-14";0.029;2.805;0.383
"1997-05-15";5.619;2.782;0.386
"1997-05-16";0.09;3.582;0.377
"1997-05-17";5.8;3.341;0.37
"1997-05-18";0.809;2.952;0.363
"1997-05-19";4.199;3.011;0.361
"1997-05-20";12.863;2.639;0.382
"1997-05-21";14.523;2.738;0.45
"1997-05-22";2.39;2.68;0.431
"1997-05-23";0;2.777;0.378
"1997-05-24";0;2.509;0.364
"1997-05-25";0;2.762;0.355
"1997-05-26";0;2.99;0.349
"1997-05-27";0;3.047;0.341
"1997-05-28";0;2.684;0.337
"1997-05-29";0;3.231;0.333
"1997-05-30";0;3.647;0.327
"1997-05-31";0;3.458;0.322
"1997-06-01";0.79;2.825;0.317
"1997-06-02";1.225;2.961;0.324
"1997-06-03";0;3.357;0.323
"1997-06-04";0;3.554;0.321
"1997-06-05";2.84;3.713;0.314
"1997-06-06";1.425;4.118;0.323
"1997-06-07";18.486;3.942;0.361
"1997-06-08";7.178;3.409;0.35
"1997-06-09";0;3.617;0.339
"1997-06-10";0;4.146;0.33
"1997-06-11";7.492;4.11;0.347
"1997-06-12";4.438;3.569;0.344
"1997-06-13";10.2;3.529;0.353
"1997-06-14";3.499;3.19;0.349
"1997-06-15";0;3.133;0.336
"1997-06-16";10.607;3.298;0.39
"1997-06-17";2.973;3.123;0.389
"1997-06-18";0;3.29;0.351
"1997-06-19";0.899;3.102;0.346
"1997-06-20";3.519;2.898;0.351
"1997-06-21";3.096;3.034;0.354
"1997-06-22";3.041;2.947;0.351
"1997-06-23";2.084;3.171;0.351
"1997-06-24";0;3.082;0.345
"1997-06-25";6.956;2.895;0.354
"1997-06-26";13.592;2.988;0.461
"1997-06-27";14.198;2.813;0.523
"1997-06-28";4.68;2.994;0.45
"1997-06-29";12.448;2.91;0.45
"1997-06-30";17.074;2.931;0.735
"1997-07-01";4.2;3.026;0.691
"1997-07-02";2.73;2.859;0.559
"1997-07-03";2.529;2.945;0.505
"1997-07-04";1.455;2.989;0.48
"1997-07-05";0;3.225;0.458
"1997-07-06";0;3.476;0.433
"1997-07-07";0.04;3.757;0.422
"1997-07-08";0;4.035;0.413
"1997-07-09";0;3.869;0.401
"1997-07-10";0;3.818;0.379
"1997-07-11";0;3.756;0.391
"1997-07-12";0;3.754;0.388
"1997-07-13";0;3.999;0.385
"1997-07-14";0;3.484;0.385
"1997-07-15";0;3.417;0.381
"1997-07-16";0;3.495;0.392
"1997-07-17";0;3.353;0.384
"1997-07-18";0.197;3.325;0.387
"1997-07-19";0;3.404;0.393
"1997-07-20";0;3.457;0.397
"1997-07-21";0;3.542;0.4
"1997-07-22";0;3.697;0.391
"1997-07-23";0;3.857;0.392
"1997-07-24";0.817;3.632;0.411
