"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.16
"1997-01-02";0;0;0.153
"1997-01-03";0;0.106;0.189
"1997-01-04";0;0.213;0.199
"1997-01-05";0;0.166;0.202
"1997-01-06";0;0.126;0.195
"1997-01-07";0;0.107;0.188
"1997-01-08";0;0.012;0.183
"1997-01-09";0;0.169;0.186
"1997-01-10";0;0.269;0.181
"1997-01-11";0.103;0.313;0.21
"1997-01-12";0;0.319;0.231
"1997-01-13";0;0.351;0.226
"1997-01-14";0;0.282;0.21
"1997-01-15";0;0.348;0.187
"1997-01-16";0;0.405;0.175
"1997-01-17";2.193;0.508;0.196
"1997-01-18";3.165;0.487;0.224
"1997-01-19";1.785;0.531;0.272
"1997-01-20";0;0.411;0.262
"1997-01-21";3.734;0.377;0.217
"1997-01-22";2.754;0.537;0.28
"1997-01-23";0;0.412;0.329
"1997-01-24";0;0.431;0.271
"1997-01-25";0;0.598;0.24
"1997-01-26";0;0.441;0.228
"1997-01-27";0;0.361;0.217
"1997-01-28";0;0.456;0.206
"1997-01-29";0;0.303;0.195
"1997-01-30";0;0.309;0.189
"1997-01-31";0;0.22;0.188
"1997-02-01";0;0.28;0.187
"1997-02-02";0.791;0.443;0.186
"1997-02-03";0;0.447;0.187
"1997-02-04";1.638;0.657;0.191
"1997-02-05";2.044;0.712;0.219
"1997-02-06";0;0.694;0.208
"1997-02-07";0;0.8;0.201
"1997-02-08";0;0.782;0.19
"1997-02-09";0;0.678;0.173
"1997-02-10";8.062;0.804;0.224
"1997-02-11";1.883;0.728;0.385
"1997-02-12";5.602;0.958;0.324
"1997-02-13";7.286;0.713;0.551
"1997-02-14";10.893;0.902;0.786
"1997-02-15";0;0.676;1.032
"1997-02-16";2.506;0.679;0.616
"1997-02-17";0.579;0.871;0.584
"1997-02-18";6.803;0.872;0.642
"1997-02-19";1.411;0.87;0.685
"1997-02-20";0;0.9;0.589
"1997-02-21";0;1.019;0.522
"1997-02-22";0;1.014;0.487
"1997-02-23";1.201;1.057;0.478
"1997-02-24";9.176;1.078;0.57
"1997-02-25";16.583;1.147;1.398
"1997-02-26";4.458;0.97;2.148
"1997-02-27";0;0.912;1.294
"1997-02-28";0.243;1.124;1.013
"1997-03-01";0;1.161;0.921
"1997-03-02";4.204;1.229;0.875
"1997-03-03";0;1.225;0.887
"1997-03-04";1.545;1.225;0.842
"1997-03-05";0;1.162;0.787
"1997-03-06";0;1.329;0.726
"1997-03-07";0;1.193;0.676
"1997-03-08";0;1.178;0.627
"1997-03-09";0;1.221;0.599
"1997-03-10";0;1.373;0.559
"1997-03-11";0;1.407;0.523
"1997-03-12";0;1.308;0.497
"1997-03-13";0;1.088;0.475
"1997-03-14";0;1.401;0.464
"1997-03-15";0;1.491;0.452
"1997-03-16";0;1.396;0.433
"1997-03-17";0;1.247;0.417
"1997-03-18";1.7;1.464;0.423
"1997-03-19";0;1.25;0.406
"1997-03-20";0;1.125;0.382
"1997-03-21";0;1.162;0.357
"1997-03-22";0;1.278;0.345
"1997-03-23";0;1.382;0.384
"1997-03-24";3.389;1.46;0.384
"1997-03-25";0;1.489;0.405
"1997-03-26";0;1.639;0.368
"1997-03-27";0;1.904;0.332
"1997-03-28";0;1.475;0.296
"1997-03-29";0;1.19;0.265
"1997-03-30";0;1.317;0.247
"1997-03-31";0;1.458;0.242
"1997-04-01";0;1.507;0.23
"1997-04-02";0;1.632;0.232
"1997-04-03";0;1.676;0.228
"1997-04-04";0;1.548;0.216
"1997-04-05";0;1.58;0.211
"1997-04-06";0;1.835;0.218
"1997-04-07";0;1.716;0.206
"1997-04-08";0;1.915;0.19
"1997-04-09";0;2.225;0.196
"1997-04-10";0;2.124;0.174
"1997-04-11";0;1.929;0.171
"1997-04-12";0;1.543;0.173
"1997-04-13";0;1.444;0.164
"1997-04-14";0;1.657;0.168
"1997-04-15";0;1.762;0.158
"1997-04-16";0;1.613;0.153
"1997-04-17";0;1.781;0.156
"1997-04-18";0;1.798;0.14
"1997-04-19";0;1.524;0.136
"1997-04-20";0;1.51;0.136
"1997-04-21";0;1.35;0.123
"1997-04-22";0;1.482;0.127
"1997-04-23";0;1.813;0.122
"1997-04-24";0;2.038;0.114
"1997-04-25";3.101;2.249;0.122
"1997-04-26";8.996;2.252;0.152
"1997-04-27";0;2.403;0.202
"1997-04-28";0;2.67;0.159
"1997-04-29";0;2.482;0.124
"1997-04-30";0;2.401;0.113
"1997-05-01";0;2.748;0.106
"1997-05-02";0;3.294;0.101
"1997-05-03";0;3.218;0.095
"1997-05-04";2.891;2.955;0.101
"1997-05-05";12.431;2.609;0.141
"1997-05-06";4.736;1.788;0.217
"1997-05-07";0.741;1.533;0.201
"1997-05-08";3.051;1.997;0.137
"1997-05-09";2.806;2.254;0.133
"1997-05-10";11.036;2.303;0.179
"1997-05-11";1.617;2.385;0.286
"1997-05-12";0;2.406;0.158
"1997-05-13";0.469;2.441;0.114
"1997-05-14";0;2.608;0.109
"1997-05-15";0;3.042;0.099
"1997-05-16";7.708;3.011;0.127
"1997-05-17";4.071;3.198;0.181
"1997-05-18";1.952;3.217;0.177
"1997-05-19";1.945;3.227;0.138
"1997-05-20";6.125;2.784;0.126
"1997-05-21";5.946;2.85;0.15
"1997-05-22";0;2.957;0.21
"1997-05-23";0;3.125;0.228
"1997-05-24";0;2.85;0.193
"1997-05-25";0;3.033;0.174
"1997-05-26";0;3.23;0.155
"1997-05-27";0;3.369;0.145
"1997-05-28";0;3.182;0.117
"1997-05-29";0;3.486;0.101
"1997-05-30";0;3.951;0.103
"1997-05-31";0;3.94;0.08
"1997-06-01";0;3.124;0.072
"1997-06-02";0.308;2.873;0.068
"1997-06-03";0;2.914;0.071
"1997-06-04";0;3.454;0.07
"1997-06-05";9.292;3.436;0.086
"1997-06-06";4.145;3.802;0.107
"1997-06-07";0.594;3.741;0.111
"1997-06-08";2.436;3.628;0.091
"1997-06-09";0;3.578;0.072
"1997-06-10";1.937;3.864;0.07
"1997-06-11";3.8;3.632;0.079
"1997-06-12";2.803;3.594;0.086
"1997-06-13";8.328;3.398;0.079
"1997-06-14";0.674;3.186;0.097
"1997-06-15";0;3.334;0.092
"1997-06-16";4.203;3.225;0.077
"1997-06-17";0.548;3.461;0.08
"1997-06-18";0;3.313;0.075
"1997-06-19";3.514;3.016;0.065
"1997-06-20";2.98;3.044;0.069
"1997-06-21";5.18;3.02;0.075
"1997-06-22";1.364;3.108;0.079
"1997-06-23";2.226;3.243;0.072
"1997-06-24";0;3.19;0.06
"1997-06-25";7.739;3.203;0.066
"1997-06-26";19.387;2.901;0.112
"1997-06-27";22.305;2.804;0.924
"1997-06-28";0;3.06;0.642
"1997-06-29";0.107;2.831;0.287
"1997-06-30";8.856;3.104;0.237
"1997-07-01";6.611;3.06;0.268
"1997-07-02";3.135;2.794;0.463
"1997-07-03";1.406;2.864;0.238
"1997-07-04";2.526;3.008;0.138
"1997-07-05";0;3.373;0.136
"1997-07-06";0;3.431;0.098
"1997-07-07";0;3.663;0.082
"1997-07-08";0;3.926;0.072
"1997-07-09";0;3.972;0.068
"1997-07-10";0;3.773;0.063
"1997-07-11";0;3.591;0.061
"1997-07-12";0;3.694;0.063
"1997-07-13";0;3.772;0.058
"1997-07-14";0;3.513;0.051
"1997-07-15";0;3.765;0.045
"1997-07-16";0;3.626;0.046
"1997-07-17";0;3.565;0.047
"1997-07-18";0;3.314;0.045
"1997-07-19";0;3.47;0.035
"1997-07-20";0;3.564;0.032
"1997-07-21";0;3.572;0.031
"1997-07-22";0;3.704;0.031
"1997-07-23";0;3.689;0.027
"1997-07-24";2.109;3.422;0.024
"1997-07-25";4.044;3.556;0.028
"1997-07-26";0;3.856;0.037
"1997-07-27";0;3.818;0.032
"1997-07-28";0;3.49;0.026
"1997-07-29";0;3.93;0.023
