"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;1.04
"1997-01-02";0;0;0.995
"1997-01-03";3.083;0;0.927
"1997-01-04";1.928;0.017;0.884
"1997-01-05";0;0.013;0.859
"1997-01-06";0;0.008;0.815
"1997-01-07";0;0.001;0.754
"1997-01-08";0.255;0.012;0.721
"1997-01-09";0.091;0.048;0.693
"1997-01-10";0.004;0.024;0.678
"1997-01-11";0;0;0.628
"1997-01-12";0;0;0.588
"1997-01-13";0;0;0.593
"1997-01-14";0;0;0.58
"1997-01-15";0;0.018;0.58
"1997-01-16";0;0.162;0.58
"1997-01-17";0;0.321;0.58
"1997-01-18";0.244;0.333;0.58
"1997-01-19";16.718;0.347;0.58
"1997-01-20";0.01;0.329;0.751
"1997-01-21";0;0.334;1.584
"1997-01-22";2.485;0.398;2.156
"1997-01-23";2.676;0.552;2.4
"1997-01-24";0.306;0.52;1.792
"1997-01-25";0;0.362;1.703
"1997-01-26";0;0.317;1.703
"1997-01-27";0;0.248;1.541
"1997-01-28";0.01;0.214;1.419
"1997-01-29";0;0.219;1.302
"1997-01-30";0;0.173;1.199
"1997-01-31";0;0.162;1.112
"1997-02-01";0;0.164;1.029
"1997-02-02";0;0.129;0.955
"1997-02-03";0;0.19;0.909
"1997-02-04";0.236;0.273;0.839
"1997-02-05";10.782;0.434;0.902
"1997-02-06";0;0.319;0.927
"1997-02-07";0;0.358;0.922
"1997-02-08";0;0.441;1.115
"1997-02-09";0;0.471;1.01
"1997-02-10";2.923;0.655;0.928
"1997-02-11";3.347;0.627;0.887
"1997-02-12";7.975;0.814;0.921
"1997-02-13";11.906;0.654;1.059
"1997-02-14";11.095;0.566;1.373
"1997-02-15";5.192;0.506;1.845
"1997-02-16";0;0.37;2.119
"1997-02-17";0.213;0.561;2.307
"1997-02-18";14.735;0.715;2.702
"1997-02-19";0;0.584;3.038
"1997-02-20";2.087;0.785;2.852
"1997-02-21";0;0.813;2.651
"1997-02-22";0.002;0.91;2.879
"1997-02-23";0.71;0.929;2.632
"1997-02-24";7.206;1.003;2.1
"1997-02-25";57.342;1.101;2.273
"1997-02-26";12.551;0.944;3.343
"1997-02-27";0;0.801;4.052
"1997-02-28";0;0.882;5.202
"1997-03-01";0;1.156;9.267
"1997-03-02";0;1.156;7.962
"1997-03-03";2.126;1.124;6.487
"1997-03-04";0.035;1.319;5.456
"1997-03-05";2.138;1.119;4.802
"1997-03-06";0;1.042;3.921
"1997-03-07";0;0.94;3.3
"1997-03-08";0;0.895;2.759
"1997-03-09";0;1.038;2.353
"1997-03-10";0;1.071;2.07
"1997-03-11";0;1.181;1.845
"1997-03-12";0;1.261;1.69
"1997-03-13";0;1.175;1.562
"1997-03-14";2.313;0.901;1.471
"1997-03-15";0.886;1.244;1.374
"1997-03-16";0;1.37;1.315
"1997-03-17";0;1.291;1.254
"1997-03-18";1.783;1.265;1.181
"1997-03-19";7.997;1.023;1.154
"1997-03-20";0.047;0.926;1.145
"1997-03-21";0;1.001;1.087
"1997-03-22";0;0.84;1.05
"1997-03-23";1.749;0.974;1.003
"1997-03-24";0.462;1.194;0.96
"1997-03-25";0.681;1.172;0.915
"1997-03-26";0;1.223;0.861
"1997-03-27";0.466;1.609;0.829
"1997-03-28";4.107;1.439;0.815
"1997-03-29";0.004;1.003;0.785
"1997-03-30";0;1.203;0.75
"1997-03-31";0;1.288;0.723
"1997-04-01";0;1.604;0.689
"1997-04-02";0;1.666;0.649
"1997-04-03";0;1.56;0.64
"1997-04-04";0;1.253;0.616
"1997-04-05";0;1.319;0.587
"1997-04-06";0.081;1.634;0.58
"1997-04-07";0;1.208;0.58
"1997-04-08";0;1.396;0.58
"1997-04-09";0;1.742;0.58
"1997-04-10";0;1.9;0.58
"1997-04-11";0;1.627;0.58
"1997-04-12";0;1.041;0.58
"1997-04-13";0;1.177;0.58
"1997-04-14";0;1.468;0.58
"1997-04-15";0;1.478;0.58
"1997-04-16";0;1.242;0.58
"1997-04-17";0;1.39;0.58
"1997-04-18";0;1.575;0.58
"1997-04-19";0;1.5;0.58
"1997-04-20";0.001;1.312;0.58
"1997-04-21";0;1.233;0.58
"1997-04-22";0;1.262;0.58
"1997-04-23";0;1.463;0.58
"1997-04-24";0;1.744;0.58
"1997-04-25";3.185;2.15;0.58
"1997-04-26";10.271;2.289;0.58
"1997-04-27";6.613;2.182;0.58
"1997-04-28";3.175;2.17;0.58
"1997-04-29";4.674;2.115;0.58
"1997-04-30";0;2.177;0.58
"1997-05-01";0;2.309;0.58
"1997-05-02";0;2.737;0.58
"1997-05-03";0.071;3.102;0.58
"1997-05-04";0.292;3.347;0.58
"1997-05-05";17.987;2.734;0.58
