"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;NA
"1997-01-02";0;0;NA
"1997-01-03";0;0;NA
"1997-01-04";0;0;NA
"1997-01-05";0;0.008;NA
"1997-01-06";0;0;0.326
"1997-01-07";0;0;0.326
"1997-01-08";0;0;0.326
"1997-01-09";0;0.113;0.326
"1997-01-10";0;0;0.326
"1997-01-11";0;0.024;0.326
"1997-01-12";0;0.078;0.326
"1997-01-13";0;0.152;0.326
"1997-01-14";0;0.178;0.326
"1997-01-15";0;0.137;0.326
"1997-01-16";0;0.208;0.326
"1997-01-17";0.028;0.267;0.326
"1997-01-18";0.615;0.307;0.326
"1997-01-19";1.478;0.367;0.357
"1997-01-20";0;0.299;0.383
"1997-01-21";0;0.305;0.383
"1997-01-22";0;0.44;0.383
"1997-01-23";0;0.384;0.383
"1997-01-24";0.032;0.442;0.383
"1997-01-25";0;0.502;0.383
"1997-01-26";0;0.212;0.386
"1997-01-27";0;0.154;0.387
"1997-01-28";0;0.162;0.335
"1997-01-29";0;0.28;0.326
"1997-01-30";0;0.221;0.326
"1997-01-31";0;0.271;0.326
"1997-02-01";0;0.301;0.326
"1997-02-02";0;0.155;0.32
"1997-02-03";0;0.258;0.296
"1997-02-04";4.138;0.378;0.286
"1997-02-05";8.293;0.431;3.294
"1997-02-06";0;0.363;2.273
"1997-02-07";0;0.445;1.377
"1997-02-08";0.158;0.579;1.005
"1997-02-09";0;0.668;0.766
"1997-02-10";5.572;0.647;0.624
"1997-02-11";4.049;0.51;1.17
"1997-02-12";16.389;0.834;3.161
"1997-02-13";11.668;0.598;7.451
"1997-02-14";5.572;0.463;4.535
"1997-02-15";0;0.465;3.154
"1997-02-16";0;0.428;1.884
"1997-02-17";0;0.664;1.373
"1997-02-18";15.025;0.699;3.186
"1997-02-19";0.435;0.559;2.674
"1997-02-20";0;0.79;1.693
"1997-02-21";0;0.853;1.224
"1997-02-22";0;0.927;0.96
"1997-02-23";0;0.84;0.782
"1997-02-24";13.832;0.962;1.033
"1997-02-25";11.246;1.058;5.121
"1997-02-26";1.089;0.887;3.14
"1997-02-27";0;0.774;1.744
"1997-02-28";0;0.968;1.233
"1997-03-01";0;1.056;0.995
"1997-03-02";2.689;1.08;0.783
"1997-03-03";8.209;0.947;0.862
"1997-03-04";1.717;1.209;1.475
"1997-03-05";2.518;0.993;1.47
"1997-03-06";1.969;0.995;1.287
"1997-03-07";0;1.132;1.158
"1997-03-08";0;1.085;0.917
"1997-03-09";0;1.176;0.711
"1997-03-10";0;1.231;0.531
"1997-03-11";0;1.199;0.448
"1997-03-12";0;1.259;0.439
"1997-03-13";0;1.167;0.38
"1997-03-14";2.191;1.091;0.338
"1997-03-15";0.122;1.142;0.393
"1997-03-16";0;1.26;0.371
"1997-03-17";0;1.269;0.345
"1997-03-18";3.085;1.161;0.324
"1997-03-19";3.963;1.047;0.421
"1997-03-20";0;0.924;0.44
"1997-03-21";0.916;1.034;0.354
"1997-03-22";0;0.859;0.354
"1997-03-23";2.583;1.085;0.332
"1997-03-24";0.07;1.221;0.368
"1997-03-25";0.31;1.215;0.332
"1997-03-26";0;1.368;0.317
"1997-03-27";0;1.713;0.301
"1997-03-28";0.455;1.305;0.292
"1997-03-29";0;1.032;0.285
"1997-03-30";0;1.324;0.278
"1997-03-31";0;1.438;0.272
"1997-04-01";0;1.635;0.265
"1997-04-02";0;1.628;0.259
"1997-04-03";1.421;1.328;0.252
"1997-04-04";0;1.121;0.245
"1997-04-05";0;1.413;0.239
"1997-04-06";0;1.441;0.232
"1997-04-07";0;1.277;0.219
"1997-04-08";0;1.512;0.2
"1997-04-09";0;1.818;0.198
"1997-04-10";0;1.881;0.206
"1997-04-11";0;1.418;0.21
"1997-04-12";0;1.095;0.21
"1997-04-13";0;1.175;0.21
"1997-04-14";0;1.654;0.208
"1997-04-15";0;1.394;0.204
"1997-04-16";0;1.161;0.2
"1997-04-17";0;1.549;0.196
"1997-04-18";0;1.553;0.193
"1997-04-19";0;1.256;0.189
"1997-04-20";0;1.212;0.185
"1997-04-21";0;1.264;0.181
"1997-04-22";0;1.293;0.177
"1997-04-23";0;1.457;0.174
"1997-04-24";0;1.841;0.181
"1997-04-25";4.862;1.934;0.193
"1997-04-26";5.985;2.139;0.206
"1997-04-27";0.623;2.127;0.239
"1997-04-28";3.41;2.196;0.228
"1997-04-29";5.357;2.178;0.263
"1997-04-30";0;2.317;0.26
"1997-05-01";0;2.561;0.202
"1997-05-02";0;2.918;0.21
"1997-05-03";0;3.221;0.19
"1997-05-04";1.147;2.987;0.178
"1997-05-05";21.406;2.566;0.372
"1997-05-06";14.329;1.821;1.104
"1997-05-07";2.332;1.322;1.531
"1997-05-08";5.056;1.528;0.932
"1997-05-09";7.245;2.038;1.096
"1997-05-10";0.972;2.313;0.878
"1997-05-11";2.817;2.516;0.672
"1997-05-12";0.069;2.472;0.546
"1997-05-13";3.005;2.796;0.37
"1997-05-14";11.85;2.668;1.048
"1997-05-15";0;3.103;1.224
"1997-05-16";0;3.823;0.81
"1997-05-17";4.511;3.885;0.411
"1997-05-18";1.788;3.329;0.424
"1997-05-19";0;3.311;0.352
"1997-05-20";12.04;2.848;0.519
"1997-05-21";15.036;2.585;2.115
"1997-05-22";0;2.488;2.522
"1997-05-23";0;2.484;1.14
"1997-05-24";0;2.335;0.74
"1997-05-25";0;2.732;0.477
"1997-05-26";0;3.009;0.368
"1997-05-27";0;2.722;0.322
"1997-05-28";0;2.507;0.291
"1997-05-29";0;3.118;0.285
"1997-05-30";0;3.315;0.282
"1997-05-31";0;3.245;0.278
"1997-06-01";0;2.769;0.258
"1997-06-02";0;3.387;0.217
"1997-06-03";0;3.691;0.216
"1997-06-04";0;3.783;0.235
"1997-06-05";0;3.984;0.233
"1997-06-06";1.194;4.18;0.231
"1997-06-07";8.544;4.004;0.427
"1997-06-08";3.851;3.93;0.396
"1997-06-09";0;3.756;0.284
"1997-06-10";0;4.433;0.27
"1997-06-11";13.779;4.062;0.452
"1997-06-12";0.403;3.683;0.833
"1997-06-13";5.262;3.548;0.334
"1997-06-14";4.509;3.388;0.355
"1997-06-15";0;3.18;0.373
"1997-06-16";3.904;3.32;0.306
"1997-06-17";2.985;3.147;0.43
"1997-06-18";0;3.182;0.362
"1997-06-19";8.805;3.24;0.305
"1997-06-20";1.806;2.907;0.468
