"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.379
"1997-01-02";0;0;0.374
"1997-01-03";0;0;0.377
"1997-01-04";0;0;0.379
"1997-01-05";0;0.03;0.378
"1997-01-06";0;0.012;0.374
"1997-01-07";0;0;0.374
"1997-01-08";0;0;0.374
"1997-01-09";0.038;0.082;0.377
"1997-01-10";0;0;0.375
"1997-01-11";0;0.078;0.368
"1997-01-12";0;0.169;0.373
"1997-01-13";0;0.168;0.377
"1997-01-14";0;0.153;0.375
"1997-01-15";0;0.144;0.374
"1997-01-16";0;0.186;0.375
"1997-01-17";0;0.286;0.369
"1997-01-18";0;0.29;0.375
"1997-01-19";1.338;0.359;0.374
"1997-01-20";0.103;0.295;0.375
"1997-01-21";0;0.254;0.374
"1997-01-22";0;0.436;0.37
"1997-01-23";0;0.365;0.375
"1997-01-24";0.482;0.405;0.378
"1997-01-25";0;0.43;0.376
"1997-01-26";0;0.215;0.379
"1997-01-27";0;0.24;0.38
"1997-01-28";0;0.271;0.383
"1997-01-29";0;0.302;0.386
"1997-01-30";0;0.259;0.386
"1997-01-31";0;0.302;0.386
"1997-02-01";0;0.323;0.382
"1997-02-02";0;0.218;0.386
"1997-02-03";0;0.287;0.387
"1997-02-04";3.256;0.435;0.39
"1997-02-05";4.474;0.481;0.365
"1997-02-06";0;0.478;0.359
"1997-02-07";0;0.552;0.349
"1997-02-08";0.013;0.645;0.353
"1997-02-09";0;0.706;0.349
"1997-02-10";2.525;0.655;0.351
"1997-02-11";4.941;0.554;0.345
"1997-02-12";11.776;0.868;0.364
"1997-02-13";8.426;0.635;0.361
"1997-02-14";4.542;0.494;0.367
"1997-02-15";0;0.476;0.368
"1997-02-16";1.432;0.474;0.364
"1997-02-17";0.838;0.721;0.368
"1997-02-18";5.288;0.774;0.366
"1997-02-19";3.977;0.623;0.364
"1997-02-20";0.072;0.814;0.351
"1997-02-21";1.798;0.889;0.36
"1997-02-22";0;0.944;0.365
"1997-02-23";0;0.899;0.363
"1997-02-24";9.648;0.985;0.371
"1997-02-25";6.238;1.092;0.39
"1997-02-26";0.207;0.944;0.374
"1997-02-27";0;0.831;0.369
