"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.236
"1997-01-02";0;0;0.225
"1997-01-03";0;0;0.215
"1997-01-04";0;0.018;0.208
"1997-01-05";0;0.04;0.201
"1997-01-06";0.142;0;0.2
"1997-01-07";0;0;0.203
"1997-01-08";0.167;0.074;0.207
"1997-01-09";0.684;0.141;0.208
"1997-01-10";0;0.073;0.204
"1997-01-11";0;0.066;0.2
"1997-01-12";0.135;0.064;0.192
"1997-01-13";0.004;0.06;0.199
"1997-01-14";0.001;0.063;0.194
"1997-01-15";0;0.121;0.19
"1997-01-16";0.017;0.207;0.192
"1997-01-17";0.021;0.317;0.196
"1997-01-18";0.738;0.318;0.203
"1997-01-19";1.184;0.362;0.233
"1997-01-20";0;0.324;0.24
"1997-01-21";0;0.336;0.23
"1997-01-22";0.867;0.489;0.251
"1997-01-23";0;0.401;0.266
"1997-01-24";0;0.492;0.258
"1997-01-25";0;0.412;0.275
"1997-01-26";0;0.292;0.287
"1997-01-27";0;0.226;0.274
"1997-01-28";0;0.224;0.256
"1997-01-29";0;0.225;0.238
"1997-01-30";0;0.224;0.22
"1997-01-31";0;0.18;0.212
"1997-02-01";0;0.205;0.209
"1997-02-02";0;0.154;0.206
"1997-02-03";0.139;0.237;0.204
"1997-02-04";1.382;0.395;0.203
"1997-02-05";7.921;0.518;0.444
"1997-02-06";0;0.385;0.473
"1997-02-07";0;0.399;0.356
"1997-02-08";0;0.509;0.311
"1997-02-09";0;0.519;0.278
"1997-02-10";3.669;0.698;0.272
"1997-02-11";3.658;0.595;0.283
"1997-02-12";2.114;0.875;0.397
"1997-02-13";8.783;0.701;0.919
"1997-02-14";8.431;0.588;0.787
"1997-02-15";0.01;0.51;1.108
"1997-02-16";0.038;0.454;0.576
"1997-02-17";0.513;0.729;0.484
"1997-02-18";8.419;0.777;0.561
"1997-02-19";0.093;0.653;0.738
"1997-02-20";0.198;0.867;0.533
"1997-02-21";0;0.892;0.439
"1997-02-22";0;0.906;0.399
"1997-02-23";0.859;0.914;0.382
"1997-02-24";12.923;1.08;0.4
"1997-02-25";34.536;1.112;4.206
"1997-02-26";6.395;0.975;7.503
"1997-02-27";0;0.861;3.123
"1997-02-28";0;1.06;1.271
"1997-03-01";0;1.1;0.821
"1997-03-02";0.268;1.07;0.687
"1997-03-03";1.968;1.053;0.616
"1997-03-04";1.775;1.336;0.56
"1997-03-05";3.517;1.036;0.593
"1997-03-06";2.411;1.089;0.593
"1997-03-07";0;1.145;0.581
"1997-03-08";0;1.059;0.526
"1997-03-09";0;1.086;0.483
"1997-03-10";0;1.15;0.434
"1997-03-11";0;1.311;0.368
"1997-03-12";0;1.339;0.332
"1997-03-13";0;1.253;0.311
"1997-03-14";0.723;1.119;0.295
"1997-03-15";0;1.152;0.286
"1997-03-16";0;1.372;0.276
"1997-03-17";0;1.385;0.288
"1997-03-18";0.988;1.18;0.275
"1997-03-19";2.032;1.148;0.263
"1997-03-20";0;1.017;0.263
"1997-03-21";0.085;1.08;0.258
"1997-03-22";0;0.931;0.243
"1997-03-23";0;1.133;0.245
"1997-03-24";0;1.27;0.248
"1997-03-25";0;1.329;0.25
"1997-03-26";0;1.381;0.244
"1997-03-27";0;1.77;0.237
"1997-03-28";0;1.52;0.231
"1997-03-29";0;1.11;0.224
"1997-03-30";0;1.207;0.222
"1997-03-31";0;1.356;0.23
"1997-04-01";0;1.688;0.222
"1997-04-02";0;1.71;0.232
"1997-04-03";0;1.484;0.224
"1997-04-04";0;1.295;0.223
"1997-04-05";0;1.363;0.227
"1997-04-06";0;1.721;0.233
"1997-04-07";0;1.372;0.214
"1997-04-08";0;1.548;0.201
"1997-04-09";0;1.917;0.2
"1997-04-10";0;1.989;0.205
"1997-04-11";0;1.733;0.209
"1997-04-12";0;1.15;0.203
"1997-04-13";0;1.302;0.209
"1997-04-14";0;1.659;0.211
"1997-04-15";0;1.629;0.216
"1997-04-16";0;1.338;0.209
"1997-04-17";0;1.55;0.262
"1997-04-18";0;1.686;0.261
"1997-04-19";0;1.506;0.259
"1997-04-20";0;1.279;0.274
"1997-04-21";0;1.359;0.28
"1997-04-22";0;1.455;0.238
"1997-04-23";0;1.479;0.248
"1997-04-24";0;1.838;0.26
"1997-04-25";2.957;2.001;0.249
"1997-04-26";12.805;2.249;0.275
"1997-04-27";0.901;2.172;0.309
"1997-04-28";1.729;2.362;0.282
"1997-04-29";2.608;2.271;0.279
"1997-04-30";0;2.157;0.268
"1997-05-01";0;2.464;0.266
"1997-05-02";0;2.841;0.264
"1997-05-03";0.004;3.249;0.262
"1997-05-04";0;3.153;0.26
"1997-05-05";18.741;2.797;0.303
"1997-05-06";24.117;2.031;0.505
"1997-05-07";6.286;1.281;0.615
"1997-05-08";3.929;1.596;0.514
"1997-05-09";3.119;2.187;0.462
"1997-05-10";3.793;2.401;0.398
"1997-05-11";4.124;2.555;0.385
"1997-05-12";0;2.518;0.388
"1997-05-13";7.751;2.891;0.333
"1997-05-14";1.155;2.816;0.388
"1997-05-15";0.651;3.307;0.367
"1997-05-16";0;3.795;0.302
"1997-05-17";5.509;3.656;0.267
"1997-05-18";2.779;3.236;0.406
"1997-05-19";0;3.259;0.352
"1997-05-20";4.97;3.061;0.296
"1997-05-21";8.975;2.708;0.296
"1997-05-22";1.229;2.792;0.4
"1997-05-23";0;2.825;0.336
"1997-05-24";0;2.846;0.282
"1997-05-25";0;2.936;0.242
"1997-05-26";0;3.119;0.228
"1997-05-27";0;3.076;0.214
"1997-05-28";0;2.735;0.204
"1997-05-29";0;3.214;0.195
"1997-05-30";0;3.53;0.187
"1997-05-31";0;3.307;0.185
"1997-06-01";0;2.852;0.187
"1997-06-02";3.494;3.341;0.188
