"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;NA
"1997-01-02";0;0;NA
"1997-01-03";0;0;NA
"1997-01-04";0.092;0;NA
"1997-01-05";0;0.023;NA
"1997-01-06";0;0.064;NA
"1997-01-07";0;0;NA
"1997-01-08";1.033;0.017;NA
"1997-01-09";3.739;0.132;NA
"1997-01-10";0.001;0.114;NA
"1997-01-11";0;0.181;NA
"1997-01-12";0;0.26;NA
"1997-01-13";0;0.218;NA
"1997-01-14";0;0.179;NA
"1997-01-15";0;0.234;NA
"1997-01-16";0;0.295;NA
"1997-01-17";0.07;0.359;NA
"1997-01-18";0.34;0.368;NA
"1997-01-19";0.596;0.409;NA
"1997-01-20";0;0.276;NA
"1997-01-21";0.285;0.317;NA
"1997-01-22";0.11;0.487;NA
"1997-01-23";4.321;0.407;NA
"1997-01-24";1.265;0.461;NA
"1997-01-25";0;0.444;NA
"1997-01-26";0;0.303;NA
"1997-01-27";0;0.279;NA
"1997-01-28";0;0.353;NA
"1997-01-29";0;0.23;NA
"1997-01-30";0;0.178;NA
"1997-01-31";0;0.184;NA
"1997-02-01";0;0.187;NA
"1997-02-02";0;0.283;NA
"1997-02-03";0;0.379;NA
"1997-02-04";3.063;0.461;NA
"1997-02-05";4.997;0.547;NA
"1997-02-06";0;0.513;NA
"1997-02-07";0;0.605;NA
"1997-02-08";0;0.68;NA
"1997-02-09";0;0.65;NA
"1997-02-10";3.986;0.709;NA
"1997-02-11";5.757;0.612;NA
"1997-02-12";4.142;0.906;NA
"1997-02-13";5.285;0.673;NA
"1997-02-14";16.929;0.675;NA
"1997-02-15";1.672;0.535;NA
"1997-02-16";2.374;0.496;NA
"1997-02-17";2.648;0.782;NA
"1997-02-18";8.165;0.82;NA
"1997-02-19";2.37;0.74;NA
"1997-02-20";0.401;0.894;NA
"1997-02-21";0;0.932;NA
"1997-02-22";0;0.986;NA
"1997-02-23";0;0.922;NA
"1997-02-24";11.093;1.058;NA
"1997-02-25";10.095;1.13;NA
"1997-02-26";3.726;0.961;NA
"1997-02-27";0;0.852;NA
"1997-02-28";0.003;1.045;NA
"1997-03-01";0;1.11;NA
"1997-03-02";2.728;1.123;NA
"1997-03-03";0.026;1.048;NA
"1997-03-04";0.291;1.28;NA
"1997-03-05";0.05;1.037;NA
"1997-03-06";0.755;1.189;NA
"1997-03-07";0;1.179;NA
"1997-03-08";0;1.135;NA
"1997-03-09";0;1.13;NA
"1997-03-10";0;1.159;NA
"1997-03-11";0;1.27;NA
"1997-03-12";0;1.227;NA
"1997-03-13";0;1.195;NA
"1997-03-14";0;1.216;NA
"1997-03-15";0;1.267;NA
"1997-03-16";0;1.412;NA
"1997-03-17";0;1.373;NA
"1997-03-18";0.21;1.254;NA
"1997-03-19";0.371;1.218;NA
"1997-03-20";0;1.114;NA
"1997-03-21";0;1.15;NA
"1997-03-22";0;1.01;NA
"1997-03-23";0;1.219;NA
"1997-03-24";1.604;1.303;NA
"1997-03-25";0;1.453;NA
"1997-03-26";0;1.592;NA
"1997-03-27";0;1.823;NA
"1997-03-28";0;1.456;NA
"1997-03-29";0;1.181;NA
"1997-03-30";0;1.291;NA
"1997-03-31";0;1.361;NA
"1997-04-01";0;1.621;NA
"1997-04-02";0;1.704;NA
"1997-04-03";0;1.514;NA
"1997-04-04";0;1.431;NA
"1997-04-05";0;1.556;NA
"1997-04-06";0;1.8;NA
"1997-04-07";0;1.536;NA
"1997-04-08";0;1.671;NA
"1997-04-09";0;1.93;NA
"1997-04-10";0;2.135;NA
"1997-04-11";0;1.853;NA
"1997-04-12";0;1.274;NA
"1997-04-13";0;1.385;NA
"1997-04-14";0;1.699;NA
"1997-04-15";0;1.666;NA
"1997-04-16";0;1.468;NA
"1997-04-17";0;1.694;NA
"1997-04-18";0;1.747;NA
"1997-04-19";0;1.483;NA
"1997-04-20";0;1.349;NA
"1997-04-21";0;1.341;NA
"1997-04-22";0;1.522;NA
"1997-04-23";0;1.58;NA
"1997-04-24";0;2.041;NA
"1997-04-25";4.836;1.915;NA
"1997-04-26";10.664;2.127;NA
"1997-04-27";0.499;2.306;NA
"1997-04-28";1.296;2.5;NA
"1997-04-29";0.232;2.368;NA
"1997-04-30";0;2.456;NA
"1997-05-01";0;2.59;NA
"1997-05-02";0;2.97;NA
"1997-05-03";0;3.095;NA
"1997-05-04";0.044;2.969;NA
"1997-05-05";12.368;2.762;NA
"1997-05-06";6.434;1.801;NA
"1997-05-07";1.408;1.318;NA
"1997-05-08";8.167;1.697;NA
"1997-05-09";3.62;2.162;NA
"1997-05-10";5.002;2.441;NA
"1997-05-11";1.13;2.529;NA
"1997-05-12";2.861;2.417;NA
"1997-05-13";0.014;2.619;NA
"1997-05-14";0.534;2.851;NA
"1997-05-15";4.021;2.923;NA
"1997-05-16";1.027;3.653;NA
"1997-05-17";2.937;3.454;NA
"1997-05-18";1.089;3.05;NA
"1997-05-19";3.565;3.036;NA
"1997-05-20";12.781;2.723;NA
"1997-05-21";13.515;2.787;NA
"1997-05-22";3.87;2.798;NA
"1997-05-23";0;2.807;NA
"1997-05-24";0;2.607;NA
"1997-05-25";0;2.834;NA
"1997-05-26";0;3.054;NA
"1997-05-27";0;3.063;NA
"1997-05-28";0;2.742;NA
"1997-05-29";0;3.283;NA
"1997-05-30";0;3.678;NA
"1997-05-31";0;3.519;NA
"1997-06-01";1.144;2.925;NA
"1997-06-02";1.39;3.102;NA
"1997-06-03";0.015;3.468;NA
"1997-06-04";0;3.639;NA
"1997-06-05";0.91;3.875;NA
"1997-06-06";0.46;4.26;NA
"1997-06-07";18.657;4.139;NA
"1997-06-08";5.221;3.49;NA
"1997-06-09";0.07;3.701;NA
"1997-06-10";0.271;4.272;NA
"1997-06-11";9.237;4.175;NA
"1997-06-12";5.445;3.64;NA
"1997-06-13";8.04;3.557;NA
"1997-06-14";2.931;3.265;NA
"1997-06-15";0;3.187;NA
"1997-06-16";12.192;3.42;NA
"1997-06-17";3.832;3.137;NA
"1997-06-18";0.013;3.339;NA
"1997-06-19";1.914;3.214;NA
"1997-06-20";4.671;3.034;NA
"1997-06-21";2.793;3.129;NA
"1997-06-22";2.963;3.005;NA
"1997-06-23";1.213;3.256;NA
"1997-06-24";0;3.148;NA
"1997-06-25";7.501;2.999;NA
"1997-06-26";17.584;3.044;NA
"1997-06-27";16.592;2.911;NA
