"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0.041;0.659
"1997-01-02";0;0.058;0.651
"1997-01-03";0;0.215;0.642
"1997-01-04";0.061;0.239;0.633
"1997-01-05";3.711;0.223;0.645
"1997-01-06";0;0.156;0.662
"1997-01-07";0;0.157;0.654
"1997-01-08";0;0.061;0.646
"1997-01-09";1.698;0.187;0.638
"1997-01-10";3.268;0.276;0.629
"1997-01-11";0;0.507;0.684
"1997-01-12";0;0.502;0.712
"1997-01-13";0;0.506;0.68
"1997-01-14";0;0.388;0.606
"1997-01-15";0;0.43;0.581
"1997-01-16";0;0.522;0.581
"1997-01-17";7.876;0.596;0.715
"1997-01-18";6.027;0.554;0.722
"1997-01-19";2.604;0.557;0.809
"1997-01-20";0;0.434;0.763
"1997-01-21";3.004;0.414;0.675
"1997-01-22";2.315;0.492;0.655
"1997-01-23";0;0.453;0.643
"1997-01-24";0;0.48;0.63
"1997-01-25";0;0.563;0.582
"1997-01-26";0;0.511;0.581
"1997-01-27";0;0.446;0.581
"1997-01-28";0;0.505;0.602
"1997-01-29";0;0.386;0.616
"1997-01-30";0;0.399;0.607
"1997-01-31";0;0.384;0.598
"1997-02-01";0;0.515;0.589
"1997-02-02";5.391;0.564;0.633
"1997-02-03";0;0.492;0.676
"1997-02-04";12.468;0.704;0.694
"1997-02-05";2.55;0.752;1.333
"1997-02-06";0.117;0.801;0.958
"1997-02-07";0;0.861;0.849
"1997-02-08";0;0.786;0.796
"1997-02-09";0;0.776;0.762
"1997-02-10";9.62;0.846;1.077
"1997-02-11";10.663;0.79;1.389
"1997-02-12";3.519;0.947;1.529
"1997-02-13";13.504;0.727;1.301
"1997-02-14";11.44;0.9;2.066
"1997-02-15";0;0.719;1.835
"1997-02-16";3.548;0.873;1.399
"1997-02-17";8.438;0.912;1.332
"1997-02-18";2.849;0.896;1.873
"1997-02-19";0.986;0.947;1.468
"1997-02-20";0;0.945;1.305
"1997-02-21";0;1.041;1.217
"1997-02-22";0;1.035;1.215
"1997-02-23";3.037;1.094;1.219
"1997-02-24";4.418;1.102;1.326
"1997-02-25";4.878;1.176;1.428
"1997-02-26";1.884;1.022;1.327
"1997-02-27";0;1.013;1.214
"1997-02-28";0.49;1.14;1.176
"1997-03-01";0;1.148;1.16
"1997-03-02";0.848;1.227;1.16
"1997-03-03";1.845;1.219;1.16
"1997-03-04";10.367;1.174;1.645
"1997-03-05";0;1.178;1.532
"1997-03-06";0;1.236;1.263
"1997-03-07";0;1.316;1.161
"1997-03-08";0;1.247;1.117
"1997-03-09";0;1.352;1.08
"1997-03-10";0;1.512;1.042
"1997-03-11";0;1.6;1.011
"1997-03-12";0;1.339;1.003
"1997-03-13";0;1.217;0.996
"1997-03-14";0;1.415;0.988
"1997-03-15";0;1.508;0.981
"1997-03-16";0;1.347;0.973
"1997-03-17";0;1.247;0.967
"1997-03-18";0.96;1.455;0.953
"1997-03-19";0;1.342;0.927
"1997-03-20";0;1.184;0.905
"1997-03-21";0;1.227;0.894
"1997-03-22";0;1.381;0.882
"1997-03-23";1.979;1.517;0.869
"1997-03-24";2.361;1.51;0.915
"1997-03-25";0;1.504;0.908
"1997-03-26";6.222;1.684;0.911
"1997-03-27";0.05;1.777;0.979
"1997-03-28";0;1.445;0.918
"1997-03-29";0;1.26;0.865
"1997-03-30";0;1.399;0.861
"1997-03-31";0;1.567;0.861
"1997-04-01";0;1.501;0.836
"1997-04-02";0;1.566;0.799
"1997-04-03";0;1.667;0.761
"1997-04-04";0;1.594;0.724
"1997-04-05";0;1.697;0.703
"1997-04-06";0;1.908;0.691
"1997-04-07";0;1.785;0.679
"1997-04-08";0;2.014;0.666
"1997-04-09";0;2.427;0.647
"1997-04-10";0;2.114;0.626
"1997-04-11";0;1.817;0.605
"1997-04-12";0;1.643;0.587
"1997-04-13";0;1.593;0.594
"1997-04-14";0;1.746;0.609
"1997-04-15";0;1.895;0.621
"1997-04-16";0;1.735;0.608
"1997-04-17";0;1.808;0.588
"1997-04-18";0;1.807;0.569
"1997-04-19";0;1.699;0.55
"1997-04-20";0;1.677;0.53
"1997-04-21";0;1.422;0.511
"1997-04-22";0;1.573;0.496
"1997-04-23";0;1.88;0.495
"1997-04-24";0;2.06;0.495
"1997-04-25";13.077;2.344;0.607
"1997-04-26";7.85;2.414;0.727
"1997-04-27";0.408;2.453;0.721
"1997-04-28";0;2.568;0.667
"1997-04-29";0;2.464;0.622
"1997-04-30";0;2.494;0.563
"1997-05-01";0;2.962;0.531
"1997-05-02";0;3.446;0.518
"1997-05-03";0.034;2.928;0.505
"1997-05-04";16.499;2.909;0.564
"1997-05-05";3.781;2.707;0.769
"1997-05-06";1.066;1.951;0.628
"1997-05-07";1.106;1.612;0.539
"1997-05-08";7.191;2.185;0.522
"1997-05-09";3.786;2.283;0.602
"1997-05-10";3.498;2.489;0.582
"1997-05-11";1.398;2.397;0.586
"1997-05-12";0.823;2.459;0.539
"1997-05-13";0.744;2.585;0.512
"1997-05-14";0;2.456;0.49
"1997-05-15";0;2.931;0.468
"1997-05-16";1.588;3.151;0.452
"1997-05-17";0.892;2.885;0.451
"1997-05-18";0;3.042;0.451
"1997-05-19";6.286;3.082;0.468
"1997-05-20";15.636;2.718;0.521
"1997-05-21";0;2.869;0.608
"1997-05-22";0.595;2.931;0.527
"1997-05-23";0;3.216;0.455
"1997-05-24";0;2.841;0.432
"1997-05-25";0;2.931;0.414
"1997-05-26";0;3.158;0.398
"1997-05-27";0;3.233;0.382
"1997-05-28";0;3.087;0.367
"1997-05-29";0;3.301;0.358
"1997-05-30";0;3.792;0.348
"1997-05-31";0;3.556;0.339
"1997-06-01";0;3.187;0.331
"1997-06-02";0.496;2.875;0.333
"1997-06-03";0;2.948;0.362
"1997-06-04";0;3.317;0.347
"1997-06-05";34.52;3.117;0.625
"1997-06-06";3.343;3.499;0.875
"1997-06-07";1.194;3.718;0.566
"1997-06-08";1.931;3.533;0.458
"1997-06-09";1.441;3.506;0.43
"1997-06-10";3.679;3.793;0.411
"1997-06-11";7.896;3.582;0.433
"1997-06-12";2.215;3.529;0.461
"1997-06-13";1.836;3.314;0.41
"1997-06-14";0.533;3.308;0.408
"1997-06-15";0;3.192;0.408
"1997-06-16";2.525;3.184;0.401
"1997-06-17";0;3.424;0.369
"1997-06-18";0.993;3.288;0.347
"1997-06-19";4.746;3.133;0.343
"1997-06-20";5.06;3.196;0.369
"1997-06-21";6.362;3.047;0.369
"1997-06-22";0.725;3.173;0.368
"1997-06-23";0.171;3.309;0.356
"1997-06-24";0;3.261;0.341
"1997-06-25";15.99;3.19;0.482
"1997-06-26";17.543;2.897;0.477
"1997-06-27";12.024;2.707;0.939
"1997-06-28";0.52;2.985;0.841
"1997-06-29";0;3.092;0.666
"1997-06-30";0;3.129;0.567
"1997-07-01";0.839;3.038;0.485
"1997-07-02";4.966;2.665;0.461
"1997-07-03";2.862;2.877;0.455
"1997-07-04";0.094;3.04;0.437
"1997-07-05";0;3.345;0.407
"1997-07-06";0;3.415;0.379
"1997-07-07";0;3.563;0.369
"1997-07-08";0;3.833;0.353
"1997-07-09";0;3.849;0.323
"1997-07-10";0;3.871;0.302
"1997-07-11";0;3.593;0.314
"1997-07-12";0.896;3.646;0.295
"1997-07-13";0.011;3.657;0.308
"1997-07-14";0;3.336;0.32
"1997-07-15";0;3.58;0.345
"1997-07-16";0;3.515;0.317
"1997-07-17";0.003;3.415;0.298
"1997-07-18";0;3.267;0.28
"1997-07-19";0;3.437;0.261
"1997-07-20";0;3.543;0.243
"1997-07-21";0;3.545;0.224
"1997-07-22";0;3.637;0.206
"1997-07-23";0;3.512;0.187
"1997-07-24";4.476;3.333;0.194
"1997-07-25";8.622;3.333;0.291
"1997-07-26";0.131;3.6;0.289
"1997-07-27";0;3.538;0.254
"1997-07-28";0;3.509;0.251
"1997-07-29";0;3.604;0.251
"1997-07-30";1.992;3.427;0.251
"1997-07-31";0;3.21;0.24
"1997-08-01";0;3.266;0.216
"1997-08-02";0;3.619;0.211
"1997-08-03";0;3.694;0.213
"1997-08-04";0.884;3.441;0.229
"1997-08-05";0;3.52;0.246
"1997-08-06";0;3.453;0.233
"1997-08-07";29.415;3.493;0.402
"1997-08-08";0;3.527;0.675
"1997-08-09";0;3.703;0.396
"1997-08-10";1.561;3.715;0.332
"1997-08-11";0;3.699;0.32
"1997-08-12";5.289;3.68;0.292
"1997-08-13";0;3.406;0.294
"1997-08-14";0;3.247;0.248
"1997-08-15";0;3.396;0.227
"1997-08-16";0;3.388;0.216
"1997-08-17";0;3.462;0.229
"1997-08-18";0;3.474;0.243
"1997-08-19";0;3.548;0.242
"1997-08-20";0;3.537;0.225
"1997-08-21";0;3.299;0.207
"1997-08-22";0;3.335;0.19
"1997-08-23";0;3.361;0.178
"1997-08-24";5.151;3.315;0.198
"1997-08-25";4.852;2.928;0.282
"1997-08-26";2.737;2.685;0.268
"1997-08-27";14.342;2.836;0.332
"1997-08-28";10.563;2.41;0.361
"1997-08-29";8.016;2.57;0.384
"1997-08-30";2.171;2.918;0.451
"1997-08-31";0;2.754;0.399
"1997-09-01";0;2.47;0.368
"1997-09-02";0;2.445;0.341
"1997-09-03";2.859;2.73;0.362
"1997-09-04";0.012;2.553;0.357
"1997-09-05";0;2.264;0.301
"1997-09-06";0;2.195;0.258
"1997-09-07";0;2.262;0.27
"1997-09-08";0;2.296;0.277
"1997-09-09";0;2.347;0.251
"1997-09-10";0;2.249;0.236
"1997-09-11";0;2.237;0.202
"1997-09-12";2.889;2.195;0.194
"1997-09-13";0.127;1.836;0.193
"1997-09-14";0;1.828;0.179
"1997-09-15";0;1.845;0.205
"1997-09-16";0;2.054;0.21
"1997-09-17";0;2.219;0.196
"1997-09-18";0;2.642;0.178
"1997-09-19";0;2.424;0.164
"1997-09-20";0;2.491;0.152
"1997-09-21";0.454;2.178;0.163
"1997-09-22";0;2.193;0.179
"1997-09-23";0;2.052;0.21
"1997-09-24";0;2.033;0.2
"1997-09-25";0;1.954;0.188
"1997-09-26";0;1.932;0.177
"1997-09-27";0;1.907;0.172
"1997-09-28";0;1.908;0.172
"1997-09-29";0;1.851;0.172
"1997-09-30";0;1.832;0.172
"1997-10-01";0;1.86;0.172
"1997-10-02";0;1.764;0.172
"1997-10-03";0;1.726;0.172
"1997-10-04";0;1.619;0.172
"1997-10-05";0;1.652;0.172
"1997-10-06";2.838;1.612;0.173
"1997-10-07";15.808;1.514;0.209
"1997-10-08";40.122;1.765;0.502
"1997-10-09";1.154;1.79;1.09
"1997-10-10";7.665;1.558;0.742
"1997-10-11";2.191;1.461;0.547
"1997-10-12";0.369;1.319;0.45
"1997-10-13";0;1.236;0.418
"1997-10-14";0;1.097;0.391
"1997-10-15";4.716;1.36;0.383
"1997-10-16";0.546;1.45;0.375
"1997-10-17";0;1.531;0.369
"1997-10-18";0;1.569;0.344
"1997-10-19";0.745;1.549;0.34
"1997-10-20";0.24;1.466;0.369
"1997-10-21";7.447;1.331;0.429
"1997-10-22";3.641;1.274;0.382
"1997-10-23";0.646;1.231;0.417
"1997-10-24";0;0.913;0.395
"1997-10-25";0;0.78;0.341
"1997-10-26";0;0.855;0.329
"1997-10-27";0;0.877;0.329
"1997-10-28";0;0.707;0.323
"1997-10-29";0;0.528;0.303
"1997-10-30";0;0.562;0.283
"1997-10-31";0;0.696;0.263
"1997-11-01";0;0.714;0.251
"1997-11-02";0;0.62;0.251
"1997-11-03";0;0.721;0.251
"1997-11-04";11.508;0.983;0.251
"1997-11-05";2.813;0.925;0.287
"1997-11-06";2.022;0.835;0.29
"1997-11-07";19.479;0.764;0.423
"1997-11-08";20.426;0.743;1.319
"1997-11-09";11.243;0.711;1.357
"1997-11-10";3.573;0.646;1.015
"1997-11-11";2.067;0.622;0.849
"1997-11-12";4.034;0.628;0.736
"1997-11-13";0.025;0.604;0.705
"1997-11-14";6.53;0.739;0.606
