"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;1.175
"1997-01-02";1.253;0;1.102
"1997-01-03";0.178;0.027;0.981
"1997-01-04";5.862;0.086;0.951
"1997-01-05";0.126;0.032;0.946
"1997-01-06";0;0.096;0.945
"1997-01-07";0;0;0.91
"1997-01-08";8.64;0.143;0.878
"1997-01-09";0.67;0.28;0.913
"1997-01-10";0;0.215;1.471
"1997-01-11";0;0.153;1.349
"1997-01-12";0;0.089;1.152
"1997-01-13";0;0.102;0.997
"1997-01-14";0;0.202;0.885
"1997-01-15";0;0.309;0.862
"1997-01-16";0;0.401;0.778
"1997-01-17";0.023;0.447;0.779
"1997-01-18";3.152;0.429;0.951
"1997-01-19";12.39;0.442;2.01
"1997-01-20";0.018;0.355;2.217
"1997-01-21";4.042;0.51;2.048
"1997-01-22";0.566;0.69;1.954
"1997-01-23";5.703;0.713;2.138
"1997-01-24";0;0.644;1.951
"1997-01-25";0;0.564;1.623
"1997-01-26";0;0.435;1.479
"1997-01-27";0;0.354;1.371
"1997-01-28";0;0.245;1.244
"1997-01-29";0;0.218;1.134
"1997-01-30";0;0.165;1.062
"1997-01-31";0;0.16;1.008
"1997-02-01";0;0.153;0.952
"1997-02-02";0;0.195;0.897
"1997-02-03";0;0.321;0.861
"1997-02-04";0;0.401;0.831
"1997-02-05";10.153;0.564;0.931
"1997-02-06";0;0.398;1.287
"1997-02-07";0;0.533;0.968
"1997-02-08";0;0.557;0.877
"1997-02-09";0;0.532;0.832
"1997-02-10";0.567;0.777;0.79
"1997-02-11";4.992;0.765;0.792
"1997-02-12";0.983;0.936;0.877
"1997-02-13";6.634;0.785;1.013
"1997-02-14";23.806;0.754;2.186
"1997-02-15";5.136;0.605;5.379
"1997-02-16";0;0.449;3.359
"1997-02-17";0.666;0.755;2.469
"1997-02-18";10.54;0.83;2.25
"1997-02-19";0;0.689;2.959
"1997-02-20";1.147;0.922;2.298
"1997-02-21";0;0.919;1.914
"1997-02-22";0;0.928;1.711
"1997-02-23";3.162;0.994;1.554
"1997-02-24";5.721;1.119;1.729
"1997-02-25";9.473;1.303;2.136
"1997-02-26";12.764;1.043;2.923
"1997-02-27";0;0.86;2.849
"1997-02-28";0;1.039;2.271
"1997-03-01";0;1.224;1.985
"1997-03-02";0;1.153;1.776
"1997-03-03";0;1.307;1.586
"1997-03-04";0.085;1.615;1.44
"1997-03-05";0;1.123;1.309
"1997-03-06";3.559;1.107;1.247
"1997-03-07";0;1.139;1.215
"1997-03-08";0;1.088;1.064
"1997-03-09";0;1.115;0.963
"1997-03-10";0;1.24;0.892
"1997-03-11";0;1.393;0.828
"1997-03-12";0;1.391;0.777
"1997-03-13";0;1.052;0.733
"1997-03-14";2.101;0.947;0.708
"1997-03-15";0;1.19;0.74
"1997-03-16";0;1.402;0.716
"1997-03-17";0;1.4;0.667
"1997-03-18";2.538;1.274;0.639
"1997-03-19";4.786;1.09;0.68
"1997-03-20";0;1.022;0.806
"1997-03-21";0;1.042;0.68
"1997-03-22";0;1.024;0.633
"1997-03-23";0.016;1.151;0.568
"1997-03-24";0.03;1.332;0.563
"1997-03-25";0;1.305;0.525
"1997-03-26";0;1.327;0.509
"1997-03-27";0;1.703;0.496
"1997-03-28";0;1.666;0.482
"1997-03-29";0;1.078;0.451
"1997-03-30";0;1.286;0.43
"1997-03-31";0;1.522;0.423
"1997-04-01";0;1.844;0.414
