"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;NA
"1997-01-02";0;0;NA
"1997-01-03";0;0;NA
"1997-01-04";1.297;0.071;0.394
"1997-01-05";0;0.084;0.401
"1997-01-06";0;0.124;0.408
"1997-01-07";0;0.025;0.401
"1997-01-08";0;0.07;0.397
"1997-01-09";1.564;0.228;0.408
"1997-01-10";1.663;0.242;0.434
"1997-01-11";0;0.244;0.434
"1997-01-12";0;0.223;0.436
"1997-01-13";0;0.2;0.424
"1997-01-14";0;0.207;0.406
"1997-01-15";0;0.288;0.401
"1997-01-16";0;0.36;0.4
"1997-01-17";0.002;0.47;0.409
"1997-01-18";1.437;0.443;0.422
"1997-01-19";1.349;0.516;0.441
"1997-01-20";0;0.376;0.425
"1997-01-21";0.573;0.415;0.415
"1997-01-22";2.149;0.621;0.427
"1997-01-23";1.331;0.45;0.424
"1997-01-24";0;0.586;0.416
"1997-01-25";0;0.574;0.417
"1997-01-26";0;0.391;0.414
"1997-01-27";0;0.337;0.41
"1997-01-28";0;0.393;0.588
"1997-01-29";0;0.26;0.362
"1997-01-30";0;0.253;0.359
"1997-01-31";0;0.227;0.359
"1997-02-01";0;0.206;0.359
"1997-02-02";0;0.322;0.359
"1997-02-03";0;0.411;0.359
"1997-02-04";1.216;0.54;0.36
"1997-02-05";3.471;0.699;0.393
"1997-02-06";0;0.531;0.374
"1997-02-07";0;0.5;0.385
"1997-02-08";0;0.578;0.365
"1997-02-09";0;0.666;0.377
"1997-02-10";2.901;0.837;0.373
"1997-02-11";1.715;0.738;0.395
"1997-02-12";2.92;0.962;0.386
"1997-02-13";3.163;0.807;0.456
"1997-02-14";17.618;0.882;0.653
"1997-02-15";1.735;0.706;0.751
"1997-02-16";4.105;0.543;0.485
"1997-02-17";0.732;0.934;0.451
"1997-02-18";3.905;0.987;0.536
"1997-02-19";1.293;0.875;0.479
"1997-02-20";0;1.018;0.437
"1997-02-21";0;1.042;0.415
"1997-02-22";0;1.017;0.407
"1997-02-23";0.437;1.068;0.403
"1997-02-24";11.014;1.206;0.46
"1997-02-25";36.639;1.265;1.679
"1997-02-26";7.674;1.074;4.981
"1997-02-27";0;0.958;1.189
"1997-02-28";0;1.113;0.728
"1997-03-01";0;1.206;0.656
"1997-03-02";0;1.295;0.606
"1997-03-03";0;1.388;0.576
"1997-03-04";0.612;1.398;0.574
"1997-03-05";0;1.175;0.551
"1997-03-06";0.92;1.406;0.529
"1997-03-07";0;1.278;0.509
"1997-03-08";0;1.269;0.488
"1997-03-09";0;1.273;0.467
"1997-03-10";0;1.396;0.446
"1997-03-11";0;1.438;0.425
"1997-03-12";0;1.365;0.415
"1997-03-13";0;1.042;0.421
"1997-03-14";0;1.333;0.441
"1997-03-15";0;1.353;0.413
"1997-03-16";0;1.521;0.426
"1997-03-17";0;1.444;0.415
"1997-03-18";2.204;1.282;0.408
"1997-03-19";0;1.292;0.412
"1997-03-20";0;1.223;0.418
"1997-03-21";0;1.234;0.412
"1997-03-22";0;1.186;0.418
"1997-03-23";0;1.242;0.425
"1997-03-24";0.629;1.339;0.431
"1997-03-25";0;1.589;0.435
"1997-03-26";0;1.691;0.418
"1997-03-27";0;1.941;0.402
"1997-03-28";0;1.661;0.416
"1997-03-29";0;1.285;0.398
"1997-03-30";0;1.488;0.391
"1997-03-31";0;1.685;0.392
"1997-04-01";0;1.908;0.396
"1997-04-02";0;2;0.386
"1997-04-03";0;1.66;0.375
"1997-04-04";0;1.623;0.373
"1997-04-05";0;1.477;0.394
"1997-04-06";0;1.933;0.406
"1997-04-07";0;1.768;0.402
"1997-04-08";0;1.808;0.331
"1997-04-09";0;2.072;0.343
"1997-04-10";0;2.221;0.341
"1997-04-11";0;2.087;0.339
"1997-04-12";0;1.575;0.318
"1997-04-13";0;1.584;0.327
"1997-04-14";0;1.915;0.313
"1997-04-15";0;1.941;0.317
"1997-04-16";0;1.769;0.306
"1997-04-17";0;1.824;0.303
"1997-04-18";0;1.992;0.298
"1997-04-19";0;1.777;0.308
"1997-04-20";0;1.603;0.298
"1997-04-21";0;1.715;0.306
"1997-04-22";0;1.794;0.312
"1997-04-23";0;1.79;0.306
"1997-04-24";0;1.941;0.302
"1997-04-25";1.692;2.012;0.309
"1997-04-26";6.553;2.363;0.334
"1997-04-27";0.061;2.473;0.342
"1997-04-28";1.629;2.778;0.341
"1997-04-29";0;2.527;0.323
"1997-04-30";0;2.604;0.313
"1997-05-01";0;2.797;0.31
"1997-05-02";0;3.16;0.29
"1997-05-03";0;3.157;0.281
"1997-05-04";3.5;3.277;0.291
"1997-05-05";7.02;2.941;0.333
"1997-05-06";20.007;2.015;0.529
"1997-05-07";4.532;1.529;0.415
"1997-05-08";3.932;1.876;0.378
"1997-05-09";2.359;2.415;0.388
"1997-05-10";2.656;2.616;0.367
"1997-05-11";4.442;2.679;0.384
"1997-05-12";0;2.699;0.357
"1997-05-13";1.575;2.805;0.363
"1997-05-14";0.181;3.083;0.345
"1997-05-15";6.837;3.368;0.394
"1997-05-16";0.26;3.786;0.346
"1997-05-17";18.27;3.503;0.443
"1997-05-18";0;3.32;0.52
"1997-05-19";7.824;3.383;0.473
"1997-05-20";14.797;2.806;0.615
"1997-05-21";1.876;3.021;0.477
"1997-05-22";3.112;3.092;0.428
"1997-05-23";0;3.144;0.388
"1997-05-24";0;3.185;0.363
"1997-05-25";0;3.348;0.337
"1997-05-26";0;3.504;0.332
"1997-05-27";0;3.645;0.327
"1997-05-28";0;3.144;0.317
"1997-05-29";0;3.587;0.319
"1997-05-30";0;4.029;0.308
"1997-05-31";0;3.786;0.305
"1997-06-01";0;3.241;0.298
"1997-06-02";0;3.2;0.31
"1997-06-03";0;3.495;0.307
"1997-06-04";0;3.903;0.307
"1997-06-05";0.581;3.96;0.298
"1997-06-06";0.298;4.534;0.304
"1997-06-07";11.784;4.432;0.356
"1997-06-08";0.057;3.748;0.328
"1997-06-09";0;3.878;0.312
"1997-06-10";0;4.379;0.315
"1997-06-11";11.173;4.139;0.402
"1997-06-12";0.234;3.933;0.352
"1997-06-13";8.246;3.672;0.383
"1997-06-14";2.348;3.527;0.412
"1997-06-15";0;3.757;0.351
"1997-06-16";2.581;3.749;0.325
"1997-06-17";2.136;3.489;0.335
"1997-06-18";0;3.725;0.336
"1997-06-19";2.012;3.421;0.322
