"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.466
"1997-01-02";0;0;0.454
"1997-01-03";1.351;0.017;0.429
"1997-01-04";1.32;0.157;0.375
"1997-01-05";0;0.214;0.306
"1997-01-06";0;0.201;0.306
"1997-01-07";0;0.067;0.306
"1997-01-08";4.893;0.115;0.306
"1997-01-09";0;0.229;0.326
"1997-01-10";0;0.291;0.354
"1997-01-11";0.607;0.333;0.359
"1997-01-12";0;0.446;0.447
"1997-01-13";0;0.4;0.487
"1997-01-14";0;0.423;0.408
"1997-01-15";0;0.507;0.412
"1997-01-16";0;0.542;0.435
"1997-01-17";6.875;0.601;0.627
"1997-01-18";0.404;0.509;0.802
"1997-01-19";0.134;0.595;0.685
"1997-01-20";0;0.517;0.629
"1997-01-21";4.631;0.506;0.571
"1997-01-22";0.393;0.683;0.696
"1997-01-23";1.997;0.518;0.723
"1997-01-24";0;0.706;0.722
"1997-01-25";0;0.735;0.687
"1997-01-26";0;0.514;0.669
"1997-01-27";0;0.36;0.581
"1997-01-28";0;0.427;0.493
"1997-01-29";0;0.364;0.478
"1997-01-30";0;0.334;0.435
"1997-01-31";0.605;0.265;0.418
"1997-02-01";0;0.357;0.406
"1997-02-02";6.098;0.509;0.405
"1997-02-03";0;0.516;0.645
"1997-02-04";0.004;0.555;0.636
"1997-02-05";2.764;0.805;0.557
"1997-02-06";0;0.576;0.551
"1997-02-07";0;0.676;0.481
"1997-02-08";0;0.657;0.449
"1997-02-09";0;0.691;0.429
"1997-02-10";7.657;0.881;0.467
"1997-02-11";1.664;0.876;0.894
"1997-02-12";3.703;1.051;0.874
"1997-02-13";7.001;0.893;0.917
"1997-02-14";14.994;1.069;3.559
"1997-02-15";0;0.791;3.533
"1997-02-16";1.931;0.69;1.636
"1997-02-17";0.539;0.988;1.318
"1997-02-18";7.444;1.016;1.348
"1997-02-19";0;0.953;1.592
"1997-02-20";0;1.061;1.239
"1997-02-21";0;1.085;1.052
"1997-02-22";0;0.987;0.909
"1997-02-23";1.76;1.145;0.802
"1997-02-24";14.457;1.274;1.249
"1997-02-25";5.797;1.358;3.475
"1997-02-26";5.17;1.139;4.051
"1997-02-27";0;1.052;2.867
"1997-02-28";0;1.164;1.605
"1997-03-01";0;1.299;1.307
"1997-03-02";0;1.301;1.098
"1997-03-03";0;1.413;0.969
"1997-03-04";0;1.339;0.861
"1997-03-05";0;1.259;0.779
"1997-03-06";0;1.441;0.718
"1997-03-07";0;1.288;0.679
"1997-03-08";0;1.338;0.629
"1997-03-09";0;1.4;0.555
"1997-03-10";0;1.597;0.502
"1997-03-11";0;1.636;0.463
"1997-03-12";0;1.473;0.432
"1997-03-13";0;1.349;0.426
"1997-03-14";0;1.456;0.414
"1997-03-15";0;1.631;0.402
"1997-03-16";0;1.46;0.392
"1997-03-17";0;1.474;0.384
"1997-03-18";0;1.47;0.36
"1997-03-19";0;1.357;0.317
"1997-03-20";0;1.236;0.306
"1997-03-21";0;1.306;0.296
"1997-03-22";0;1.353;0.263
"1997-03-23";0;1.411;0.262
"1997-03-24";2.866;1.588;0.262
"1997-03-25";0;1.65;0.262
"1997-03-26";0;1.717;0.267
"1997-03-27";0;1.932;0.33
