"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0.081;NA
"1997-01-02";3.732;0.138;0.383
"1997-01-03";4.22;0.342;0.405
"1997-01-04";6.901;0.192;0.432
"1997-01-05";0;0.249;0.418
"1997-01-06";0;0.297;0.429
"1997-01-07";0;0.211;0.437
"1997-01-08";1.183;0.298;0.44
"1997-01-09";0;0.45;0.439
"1997-01-10";0;0.292;0.42
"1997-01-11";0;0.292;0.402
"1997-01-12";0;0.379;0.389
"1997-01-13";0;0.471;0.38
"1997-01-14";0;0.517;0.379
"1997-01-15";0;0.581;0.368
"1997-01-16";0;0.605;0.358
"1997-01-17";7.699;0.668;0.367
"1997-01-18";0.864;0.652;0.389
"1997-01-19";3.501;0.72;0.398
"1997-01-20";0.333;0.692;0.397
"1997-01-21";0;0.895;0.385
"1997-01-22";0;0.942;0.372
"1997-01-23";0;0.915;0.366
"1997-01-24";1.389;0.902;0.361
"1997-01-25";0.541;0.83;0.355
"1997-01-26";0;0.711;0.356
"1997-01-27";0;0.491;0.348
"1997-01-28";0;0.349;0.34
"1997-01-29";0;0.494;0.333
"1997-01-30";0;0.651;0.329
"1997-01-31";0;0.676;0.326
"1997-02-01";0;0.663;0.324
"1997-02-02";1.005;0.745;0.321
"1997-02-03";0.438;0.646;0.32
"1997-02-04";0;0.474;0.316
"1997-02-05";3.434;0.72;0.321
"1997-02-06";0;0.603;0.325
"1997-02-07";0;0.77;0.298
"1997-02-08";0;0.769;0.294
"1997-02-09";0;0.859;0.291
"1997-02-10";0.093;0.952;0.287
"1997-02-11";9.724;1.005;0.342
"1997-02-12";0.05;1.121;0.36
"1997-02-13";2.099;1.021;0.365
"1997-02-14";22.664;1.07;0.608
"1997-02-15";6.686;0.862;1.205
"1997-02-16";0;0.71;1.005
"1997-02-17";0;1.01;0.821
"1997-02-18";0.898;1.027;0.713
"1997-02-19";0;1.003;0.644
"1997-02-20";0;1.176;0.589
"1997-02-21";0;1.159;0.557
"1997-02-22";0;1.154;0.527
"1997-02-23";0;1.218;0.503
"1997-02-24";1.234;1.342;0.49
"1997-02-25";1.948;1.538;0.478
"1997-02-26";2.968;1.33;0.454
"1997-02-27";0;1.018;0.44
"1997-02-28";0;1.396;0.411
"1997-03-01";0;1.451;0.412
"1997-03-02";0;1.467;0.398
"1997-03-03";0;1.549;0.388
