"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0.626;0.148;1.643
"1997-01-02";0;0.193;1.596
"1997-01-03";34.724;0.213;2.741
"1997-01-04";28.947;0.26;8.337
"1997-01-05";0.077;0.328;4.227
"1997-01-06";0;0.275;3.044
"1997-01-07";0;0.252;2.66
"1997-01-08";0;0.334;2.381
"1997-01-09";4.983;0.456;2.716
"1997-01-10";8.239;0.419;5.763
"1997-01-11";0;0.473;3.36
"1997-01-12";0;0.553;2.904
"1997-01-13";0;0.579;2.616
"1997-01-14";0;0.647;2.357
"1997-01-15";0;0.639;2.18
"1997-01-16";0;0.62;2.075
"1997-01-17";18.334;0.567;2.837
"1997-01-18";0.192;0.554;3.265
"1997-01-19";0.472;0.713;2.558
"1997-01-20";3.867;0.64;2.34
"1997-01-21";2.439;0.755;2.198
"1997-01-22";0.111;0.815;2.069
"1997-01-23";0.148;0.734;1.99
"1997-01-24";10.148;0.778;2.175
"1997-01-25";0;0.78;2.378
"1997-01-26";0;0.755;2.091
"1997-01-27";1.518;0.658;1.975
"1997-01-28";0;0.402;1.926
"1997-01-29";0;0.507;1.854
"1997-01-30";0;0.771;1.793
"1997-01-31";0;0.974;1.725
"1997-02-01";5.287;0.886;1.83
"1997-02-02";4.072;0.865;1.722
"1997-02-03";2.809;0.72;1.891
"1997-02-04";0;0.706;1.831
"1997-02-05";0;0.751;1.716
"1997-02-06";0;0.75;1.664
"1997-02-07";0;0.933;1.561
"1997-02-08";0;0.918;1.55
"1997-02-09";0;0.909;1.522
"1997-02-10";0;1.008;1.479
"1997-02-11";4.102;1.072;1.462
"1997-02-12";0;1.166;1.495
"1997-02-13";0.47;1.027;1.478
"1997-02-14";19.064;1.238;1.483
"1997-02-15";19.092;0.842;6.152
"1997-02-16";0;0.8;2.938
"1997-02-17";0;0.996;2.337
"1997-02-18";0;1.075;2.052
"1997-02-19";0;0.986;1.894
"1997-02-20";0;1.129;1.726
"1997-02-21";0;1.104;1.57
"1997-02-22";0;1.204;1.551
"1997-02-23";0;1.309;1.499
"1997-02-24";0;1.393;1.455
"1997-02-25";0;1.635;1.431
"1997-02-26";0.527;1.234;1.299
"1997-02-27";0;1.092;1.239
"1997-02-28";0;1.653;1.218
"1997-03-01";0;1.559;1.218
"1997-03-02";0;1.653;1.196
"1997-03-03";0;1.614;1.178
"1997-03-04";0;1.935;1.181
"1997-03-05";0;1.411;1.17
"1997-03-06";0;1.57;1.177
"1997-03-07";0;1.413;1.168
"1997-03-08";0;1.427;1.091
"1997-03-09";0;1.724;1.021
"1997-03-10";0;1.738;1.013
"1997-03-11";0;1.868;0.99
"1997-03-12";0;1.632;0.99
"1997-03-13";0;1.765;0.99
"1997-03-14";0;1.43;0.973
"1997-03-15";2.896;1.611;0.966
"1997-03-16";0;1.749;0.973
"1997-03-17";0;1.864;0.949
"1997-03-18";0;1.814;0.928
"1997-03-19";0;1.547;0.931
"1997-03-20";0;1.368;0.934
"1997-03-21";0;1.354;0.937
"1997-03-22";0;1.547;0.94
"1997-03-23";0;1.668;0.943
"1997-03-24";7.951;1.51;0.946
"1997-03-25";0.25;1.528;1.017
"1997-03-26";0;1.687;0.964
"1997-03-27";0;1.922;0.93
"1997-03-28";4.127;1.843;0.897
"1997-03-29";0;1.513;0.864
"1997-03-30";0;1.466;0.838
"1997-03-31";0;1.766;0.819
"1997-04-01";0;2.038;0.801
"1997-04-02";0;2.045;0.797
"1997-04-03";0;2.218;0.795
"1997-04-04";0;1.936;0.793
"1997-04-05";0;1.827;0.791
"1997-04-06";0;2.067;0.789
"1997-04-07";0;2.233;0.769
"1997-04-08";0;2.494;0.738
"1997-04-09";0;2.244;0.704
"1997-04-10";0;2.34;0.668
"1997-04-11";0;2.584;0.633
"1997-04-12";0;2.272;0.599
"1997-04-13";0;2.115;0.588
"1997-04-14";0;2.306;0.595
"1997-04-15";0;2.545;0.6
"1997-04-16";0;2.516;0.588
"1997-04-17";0;2.194;0.602
"1997-04-18";2.122;2.045;0.642
"1997-04-19";5.133;2.013;0.667
"1997-04-20";0.325;2.212;0.683
"1997-04-21";0;1.737;0.659
"1997-04-22";0;1.797;0.63
"1997-04-23";0;2.016;0.603
"1997-04-24";0;2.565;0.583
"1997-04-25";0.059;2.884;0.563
"1997-04-26";3.636;2.881;0.545
"1997-04-27";10.878;2.483;0.665
"1997-04-28";5.857;2.664;0.711
"1997-04-29";6.325;2.712;0.803
"1997-04-30";0;2.535;0.696
"1997-05-01";0;2.719;0.652
"1997-05-02";0;3.535;0.654
"1997-05-03";5.619;3.403;0.656
"1997-05-04";1.271;3.671;0.658
"1997-05-05";4.828;3.291;0.66
"1997-05-06";15.885;1.93;0.796
"1997-05-07";14.645;1.687;0.876
"1997-05-08";1.024;1.777;0.917
"1997-05-09";0.703;2.48;0.736
"1997-05-10";0;2.955;0.675
"1997-05-11";6.539;2.815;0.641
"1997-05-12";0.97;2.43;0.623
"1997-05-13";21.049;2.817;0.918
"1997-05-14";1.591;2.842;0.853
"1997-05-15";3.147;3.17;0.769
"1997-05-16";5.584;3.251;0.767
"1997-05-17";6.028;3.019;0.762
"1997-05-18";0;3.148;0.702
"1997-05-19";0;3.504;0.644
"1997-05-20";0.233;3.213;0.594
"1997-05-21";0.891;2.926;0.575
"1997-05-22";0;3.019;0.56
"1997-05-23";0;3.667;0.544
"1997-05-24";0;3.92;0.528
"1997-05-25";0;3.782;0.512
"1997-05-26";0;4.212;0.496
"1997-05-27";0;4.349;0.498
"1997-05-28";2.957;4.348;0.536
"1997-05-29";0.151;4.289;0.536
"1997-05-30";0.302;4.312;0.536
"1997-05-31";20.063;4.012;0.577
"1997-06-01";13.937;3.076;0.823
"1997-06-02";3.911;3.235;0.76
"1997-06-03";0;3.602;0.625
"1997-06-04";4.412;3.476;0.578
"1997-06-05";0.75;3.659;0.631
"1997-06-06";0;4.428;0.602
"1997-06-07";0;4.453;0.536
"1997-06-08";0;4.135;0.536
"1997-06-09";0;4.277;0.536
"1997-06-10";0;4.421;0.536
"1997-06-11";0;4.419;0.536
"1997-06-12";0;4.267;0.536
"1997-06-13";0;4.268;0.536
"1997-06-14";7.825;3.604;0.616
"1997-06-15";3.285;3.91;0.61
"1997-06-16";8.522;3.479;0.646
"1997-06-17";0;3.368;0.631
"1997-06-18";2.245;3.326;0.631
"1997-06-19";0.325;3.371;0.532
"1997-06-20";0;3.542;0.406
"1997-06-21";7.982;3.304;0.342
"1997-06-22";3.773;3.017;0.478
"1997-06-23";0;3.115;0.414
"1997-06-24";0;3.217;0.395
"1997-06-25";0;3.484;0.428
"1997-06-26";5.823;3.353;0.448
"1997-06-27";0.067;2.858;0.467
"1997-06-28";24.384;2.727;0.507
"1997-06-29";36.146;2.541;2.76
"1997-06-30";3.386;2.968;0.844
"1997-07-01";0.518;3.371;0.514
"1997-07-02";7.409;3.001;0.441
"1997-07-03";2.076;2.944;0.481
"1997-07-04";5.086;2.947;0.441
