"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0.012;0.3
"1997-01-02";0;0.096;0.297
"1997-01-03";8.17;0.171;0.306
"1997-01-04";0;0.195;0.327
"1997-01-05";0;0.284;0.331
"1997-01-06";0;0.272;0.403
"1997-01-07";0;0.219;0.395
"1997-01-08";2.667;0.363;0.437
"1997-01-09";0;0.435;0.431
"1997-01-10";0;0.371;0.358
"1997-01-11";0;0.448;0.327
"1997-01-12";0;0.466;0.314
"1997-01-13";0;0.378;0.305
"1997-01-14";0;0.455;0.286
"1997-01-15";0;0.477;0.266
"1997-01-16";0;0.598;0.259
"1997-01-17";4.081;0.67;0.271
"1997-01-18";0;0.534;0.293
"1997-01-19";6.215;0.691;0.344
"1997-01-20";0;0.654;0.355
"1997-01-21";12.379;0.737;0.333
"1997-01-22";1.094;0.785;0.515
"1997-01-23";8.333;0.776;0.639
"1997-01-24";0;0.805;0.642
"1997-01-25";1.64;0.827;0.559
"1997-01-26";0;0.605;0.521
"1997-01-27";0;0.521;0.456
"1997-01-28";0;0.414;0.395
"1997-01-29";0;0.445;0.342
"1997-01-30";0;0.585;0.331
"1997-01-31";0;0.643;0.321
"1997-02-01";0;0.71;0.31
"1997-02-02";4.268;0.671;0.299
"1997-02-03";0;0.634;0.281
"1997-02-04";0;0.54;0.26
"1997-02-05";1.491;0.861;0.253
"1997-02-06";0;0.584;0.227
"1997-02-07";0;0.659;0.209
"1997-02-08";0;0.718;0.192
"1997-02-09";0;0.738;0.187
"1997-02-10";8.217;0.933;0.191
"1997-02-11";4.412;1.09;0.378
"1997-02-12";4.742;1.174;0.415
"1997-02-13";4.304;1.123;0.438
"1997-02-14";13.341;1.18;0.663
"1997-02-15";0.162;0.921;0.668
"1997-02-16";0;0.732;0.529
"1997-02-17";0.793;1.078;0.43
"1997-02-18";0.779;1.214;0.387
"1997-02-19";0;1.009;0.346
"1997-02-20";0;1.326;0.31
"1997-02-21";0;1.236;0.289
"1997-02-22";0;1.055;0.281
"1997-02-23";0;1.191;0.26
"1997-02-24";13.27;1.373;0.312
"1997-02-25";0.391;1.559;0.492
"1997-02-26";3.876;1.437;0.436
"1997-02-27";0;1.146;0.365
"1997-02-28";0;1.351;0.31
"1997-03-01";0;1.296;0.279
"1997-03-02";0;1.241;0.258
"1997-03-03";0;1.451;0.238
"1997-03-04";0;1.487;0.225
"1997-03-05";0;1.459;0.216
"1997-03-06";0;1.471;0.207
"1997-03-07";0;1.381;0.199
"1997-03-08";0;1.369;0.189
"1997-03-09";0;1.545;0.171
"1997-03-10";0;1.575;0.158
"1997-03-11";0;1.63;0.145
"1997-03-12";0;1.576;0.143
"1997-03-13";0;1.421;0.142
"1997-03-14";1.083;1.612;0.139
"1997-03-15";1.839;1.749;0.131
"1997-03-16";0;1.772;0.13
"1997-03-17";0;1.609;0.13
"1997-03-18";0;1.622;0.126
"1997-03-19";0.09;1.631;0.124
"1997-03-20";0;1.399;0.112
"1997-03-21";0;1.512;0.109
"1997-03-22";0;1.672;0.109
"1997-03-23";0;1.451;0.109
"1997-03-24";4.004;1.864;0.106
"1997-03-25";0;1.626;0.103
"1997-03-26";0;1.579;0.1
"1997-03-27";0;1.824;0.096
"1997-03-28";0;1.878;0.093
"1997-03-29";0;1.615;0.087
"1997-03-30";0;1.801;0.087
"1997-03-31";0;1.905;0.081
"1997-04-01";0;1.839;0.082
"1997-04-02";0;2.034;0.08
"1997-04-03";0;1.979;0.076
"1997-04-04";0;1.915;0.07
"1997-04-05";0;1.755;0.069
"1997-04-06";0;2.177;0.068
"1997-04-07";0;2.481;0.062
"1997-04-08";0;2.697;0.061
"1997-04-09";0;2.611;0.061
"1997-04-10";0;2.55;0.055
"1997-04-11";0;2.531;0.049
"1997-04-12";0;2.374;0.052
"1997-04-13";0;2.191;0.048
"1997-04-14";0;2.403;0.046
"1997-04-15";0;2.681;0.043
"1997-04-16";0;2.498;0.04
"1997-04-17";0;2.407;0.038
"1997-04-18";0;2.497;0.037
"1997-04-19";0;2.467;0.035
"1997-04-20";0;2.344;0.033
"1997-04-21";0;2.192;0.03
"1997-04-22";0;2.139;0.029
"1997-04-23";0;2.161;0.026
"1997-04-24";0;2.382;0.023
"1997-04-25";0;2.54;0.021
"1997-04-26";2.815;2.684;0.024
"1997-04-27";2.886;2.683;0.023
"1997-04-28";5.096;2.795;0.024
"1997-04-29";0;2.732;0.022
"1997-04-30";0;2.793;0.019
"1997-05-01";0;3.362;0.016
"1997-05-02";0;3.866;0.016
"1997-05-03";0;3.411;0.014
"1997-05-04";5.433;3.392;0.016
"1997-05-05";16.164;3.101;0.03
"1997-05-06";10.848;2.367;0.052
"1997-05-07";5.385;2.12;0.095
"1997-05-08";2.768;2.285;0.135
"1997-05-09";3.286;2.821;0.136
"1997-05-10";0;2.906;0.131
"1997-05-11";7.253;2.648;0.128
"1997-05-12";0;2.864;0.132
"1997-05-13";13.428;2.857;0.152
"1997-05-14";0.559;3.141;0.234
"1997-05-15";0.342;3.63;0.228
"1997-05-16";6.964;3.761;0.212
"1997-05-17";1.067;3.296;0.291
"1997-05-18";0.098;3.563;0.251
"1997-05-19";9.346;3.878;0.251
"1997-05-20";0.002;3.364;0.22
"1997-05-21";0.061;3.33;0.193
"1997-05-22";0;3.282;0.173
"1997-05-23";0;3.91;0.152
"1997-05-24";6.335;4.089;0.154
"1997-05-25";0;4.191;0.128
"1997-05-26";0;4.529;0.108
"1997-05-27";0;4.601;0.101
"1997-05-28";1.677;4.493;0.095
"1997-05-29";0;4.423;0.081
"1997-05-30";0;4.818;0.077
"1997-05-31";0.006;4.484;0.068
"1997-06-01";5.349;3.48;0.062
"1997-06-02";0;3.314;0.056
"1997-06-03";0;3.748;0.05
"1997-06-04";1.006;3.757;0.035
"1997-06-05";0.696;3.988;0.025
"1997-06-06";0;4.856;0.02
"1997-06-07";0.886;4.433;0.019
"1997-06-08";0;3.966;0.017
"1997-06-09";0;4.455;0.016
"1997-06-10";9.057;4.639;0.02
"1997-06-11";0.024;4.327;0.018
"1997-06-12";0;4.045;0.015
"1997-06-13";0.46;4.058;0.013
"1997-06-14";0;4.012;0.011
"1997-06-15";0;3.775;0.011
"1997-06-16";2.661;3.653;0.011
"1997-06-17";2.275;3.693;0.011
"1997-06-18";0;3.802;0.009
"1997-06-19";4.311;3.714;0.009
"1997-06-20";6.73;3.8;0.013
"1997-06-21";4.827;3.618;0.014
"1997-06-22";5.973;3.583;0.012
"1997-06-23";6.334;3.63;0.009
"1997-06-24";0;3.719;0.01
"1997-06-25";4.092;3.341;0.01
"1997-06-26";5.686;3.541;0.013
"1997-06-27";12.652;3.187;0.015
"1997-06-28";1.264;3.443;0.011
"1997-06-29";32.852;3.297;0.028
"1997-06-30";11.357;3.514;0.03
"1997-07-01";5.74;3.686;0.039
"1997-07-02";10.605;3.431;0.065
"1997-07-03";0.414;3.448;0.069
"1997-07-04";10.27;3.479;0.071
"1997-07-05";1.042;3.595;0.07
"1997-07-06";0;3.626;0.06
"1997-07-07";0;4.205;0.051
"1997-07-08";0;4.472;0.04
"1997-07-09";0;4.362;0.033
"1997-07-10";0.568;4.18;0.029
"1997-07-11";0;4.075;0.027
"1997-07-12";0;3.899;0.024
"1997-07-13";0.713;4.262;0.023
"1997-07-14";0.205;4.458;0.02
"1997-07-15";0;4.342;0.017
"1997-07-16";0;4.414;0.016
"1997-07-17";0;4.14;0.015
"1997-07-18";0;3.878;0.013
"1997-07-19";0;3.788;0.011
"1997-07-20";0;4.017;0.009
"1997-07-21";0;4.229;0.009
"1997-07-22";0;4.212;0.009
"1997-07-23";0;4.531;0.007
"1997-07-24";0.748;4.219;0.005
"1997-07-25";1.407;3.931;0.005
"1997-07-26";0.929;4.034;0.009
"1997-07-27";0;4.095;0.007
"1997-07-28";0;4.256;0.005
"1997-07-29";0;4.294;0.006
"1997-07-30";0;4.155;0.006
"1997-07-31";0;3.931;0.004
"1997-08-01";0;3.69;0.004
"1997-08-02";0;3.802;0.004
"1997-08-03";0;4.326;0.004
"1997-08-04";4.505;4.206;0.007
"1997-08-05";22.781;3.751;0.018
"1997-08-06";1.191;3.674;0.017
"1997-08-07";7;3.741;0.021
"1997-08-08";0;4.297;0.017
"1997-08-09";0;4.851;0.015
"1997-08-10";0;4.516;0.012
"1997-08-11";2.589;3.989;0.013
"1997-08-12";0;3.99;0.013
"1997-08-13";0;4.236;0.008
"1997-08-14";0;4.316;0.008
"1997-08-15";0;4.227;0.009
"1997-08-16";0;3.97;0.009
"1997-08-17";0;3.768;0.009
"1997-08-18";0;3.784;0.009
"1997-08-19";0;3.984;0.007
"1997-08-20";0.073;4.04;0.006
"1997-08-21";1.727;4.019;0.007
"1997-08-22";0;3.918;0.007
"1997-08-23";0;4.101;0.007
"1997-08-24";0;4.05;0.007
"1997-08-25";4.935;3.575;0.007
"1997-08-26";0;3.415;0.007
"1997-08-27";27.069;3.278;0.009
"1997-08-28";17.964;2.83;0.023
"1997-08-29";11.52;2.975;0.021
"1997-08-30";0;3.316;0.019
"1997-08-31";0;3.208;0.022
"1997-09-01";12.034;2.827;0.024
"1997-09-02";0;2.669;0.021
"1997-09-03";0;2.696;0.018
"1997-09-04";0;2.908;0.015
"1997-09-05";0;2.98;0.016
"1997-09-06";0;3.024;0.018
"1997-09-07";0;2.77;0.02
"1997-09-08";0;2.742;0.02
"1997-09-09";0;2.761;0.019
"1997-09-10";0;2.834;0.017
"1997-09-11";0;2.729;0.018
"1997-09-12";0.7;2.638;0.019
"1997-09-13";1.623;2.461;0.02
"1997-09-14";0;2.086;0.013
