"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0.205;0;1.397
"1997-01-02";1.88;0;1.251
"1997-01-03";3.657;0.04;1.172
"1997-01-04";0.415;0.091;1.087
"1997-01-05";0;0.095;1.021
"1997-01-06";0;0.09;0.85
"1997-01-07";0;0.052;0.839
"1997-01-08";0.199;0.073;0.778
"1997-01-09";2.816;0.159;0.75
"1997-01-10";2.552;0.129;0.704
"1997-01-11";0;0.084;0.66
"1997-01-12";0;0.048;0.635
"1997-01-13";0;0;0.592
"1997-01-14";0;0;0.541
"1997-01-15";0;0.087;0.479
"1997-01-16";0;0.174;0.52
"1997-01-17";0;0.259;0.486
"1997-01-18";1.074;0.383;0.506
"1997-01-19";14.597;0.369;1.45
"1997-01-20";0;0.35;2.621
"1997-01-21";3.511;0.397;2.9
"1997-01-22";2.786;0.473;3.519
"1997-01-23";5.724;0.634;3.242
"1997-01-24";0;0.52;3.224
"1997-01-25";0;0.391;2.993
"1997-01-26";0;0.374;2.336
"1997-01-27";0;0.335;1.987
"1997-01-28";0;0.283;1.709
"1997-01-29";0;0.251;1.49
"1997-01-30";0;0.19;1.315
"1997-01-31";0;0.187;1.2
"1997-02-01";0;0.197;1.09
"1997-02-02";0;0.15;0.982
"1997-02-03";0;0.167;0.904
"1997-02-04";0;0.209;0.823
"1997-02-05";7.788;0.463;0.801
"1997-02-06";0;0.367;0.889
"1997-02-07";0;0.41;0.948
"1997-02-08";0;0.477;0.921
"1997-02-09";0;0.474;0.812
"1997-02-10";0.599;0.659;0.735
"1997-02-11";9.255;0.762;0.728
"1997-02-12";5.043;0.89;0.888
"1997-02-13";8.581;0.71;1.316
"1997-02-14";14.68;0.667;1.891
"1997-02-15";8.722;0.62;2.917
"1997-02-16";0.004;0.432;4.017
"1997-02-17";0.47;0.616;4.738
"1997-02-18";10.45;0.75;3.844
"1997-02-19";0.001;0.655;3.184
"1997-02-20";4.562;0.851;3.079
"1997-02-21";0;0.86;2.725
"1997-02-22";0;0.896;2.368
"1997-02-23";0;0.993;2.038
"1997-02-24";3.617;1.115;1.78
"1997-02-25";8.388;1.262;1.652
"1997-02-26";15.776;1.076;1.738
"1997-02-27";0.296;0.803;2.858
"1997-02-28";0.003;0.881;3.838
"1997-03-01";0;1.252;2.997
"1997-03-02";0;1.218;2.347
"1997-03-03";0.607;1.305;1.966
"1997-03-04";0;1.428;1.69
"1997-03-05";0.791;1.265;1.542
"1997-03-06";0;1.053;1.394
"1997-03-07";0;1.022;1.256
"1997-03-08";0;1.037;1.156
"1997-03-09";0;1.142;1.052
"1997-03-10";0;1.298;0.981
"1997-03-11";0;1.394;0.91
"1997-03-12";0;1.375;0.823
"1997-03-13";0;1.19;0.797
"1997-03-14";2.516;0.922;0.742
"1997-03-15";0.648;1.276;0.707
"1997-03-16";0.401;1.434;0.701
"1997-03-17";0;1.406;0.655
"1997-03-18";2.184;1.454;0.628
"1997-03-19";11.807;1.043;0.663
"1997-03-20";0.138;0.91;0.698
"1997-03-21";0;0.975;0.788
"1997-03-22";0;1.037;0.781
"1997-03-23";2.134;1.118;0.674
"1997-03-24";0.234;1.26;0.652
"1997-03-25";1.604;1.133;0.592
"1997-03-26";0;1.312;0.576
"1997-03-27";0.009;1.714;0.538
"1997-03-28";5.053;1.611;0.55
"1997-03-29";0.013;1.006;0.559
"1997-03-30";0;1.247;0.603
