"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";1.34;0.013;0.973
"1997-01-02";19.31;0.044;0.974
"1997-01-03";7.882;0.099;0.973
"1997-01-04";0.464;0.201;1.019
"1997-01-05";3.306;0.156;1.004
"1997-01-06";0;0.178;0.991
"1997-01-07";0;0.104;0.979
"1997-01-08";11.174;0.147;1.051
"1997-01-09";5.431;0.266;1.464
"1997-01-10";0.017;0.284;1.302
"1997-01-11";0;0.217;1.21
"1997-01-12";0;0.107;1.121
"1997-01-13";0;0.066;1.08
"1997-01-14";0;0.104;1.044
"1997-01-15";0;0.181;1.019
"1997-01-16";0;0.259;1.015
"1997-01-17";0.002;0.324;1.231
"1997-01-18";0;0.406;1.408
"1997-01-19";8.74;0.454;2.081
"1997-01-20";26.873;0.417;4.721
"1997-01-21";0.074;0.474;2.484
"1997-01-22";0;0.695;1.453
"1997-01-23";0;0.711;1.326
"1997-01-24";0;0.676;1.258
"1997-01-25";0;0.492;1.224
"1997-01-26";0;0.437;1.21
"1997-01-27";0;0.467;1.194
"1997-01-28";0;0.317;1.18
"1997-01-29";0;0.29;1.164
"1997-01-30";0;0.291;1.15
"1997-01-31";0;0.247;1.134
"1997-02-01";0;0.259;1.133
"1997-02-02";0;0.263;1.139
"1997-02-03";0;0.264;1.127
"1997-02-04";0;0.353;1.116
"1997-02-05";2.61;0.492;1.13
"1997-02-06";0;0.497;1.135
"1997-02-07";0;0.612;1.11
"1997-02-08";0;0.574;1.103
"1997-02-09";0;0.534;1.109
"1997-02-10";0;0.617;1.104
"1997-02-11";1.295;0.858;1.106
"1997-02-12";0;0.945;1.111
"1997-02-13";0;0.966;1.109
"1997-02-14";6.646;0.814;1.111
"1997-02-15";4.126;0.78;1.184
"1997-02-16";0;0.541;1.117
"1997-02-17";0;0.781;1.107
"1997-02-18";0;0.876;1.098
"1997-02-19";0;0.849;1.098
"1997-02-20";0.713;0.953;1.088
"1997-02-21";0;0.822;1.088
"1997-02-22";0;0.857;1.079
"1997-02-23";0;1.124;1.078
"1997-02-24";0.058;1.186;1.07
"1997-02-25";0.506;1.311;1.067
"1997-02-26";4.575;1.321;1.091
