"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0.625;0.495;0.958
"1997-01-02";33.362;0.612;1.229
"1997-01-03";26.42;0.606;5.497
"1997-01-04";8.904;0.423;6.843
"1997-01-05";0;0.342;3.162
"1997-01-06";7.126;0.424;2.104
"1997-01-07";0.015;0.508;1.672
"1997-01-08";38.628;0.509;2.219
"1997-01-09";16.44;0.54;9.815
"1997-01-10";0;0.493;3.57
"1997-01-11";0;0.587;2.165
"1997-01-12";0;0.55;1.54
"1997-01-13";0;0.527;1.317
"1997-01-14";0;0.539;1.195
"1997-01-15";0;0.614;0.94
"1997-01-16";0;0.587;0.843
"1997-01-17";0;0.653;0.654
"1997-01-18";4.953;0.766;0.624
"1997-01-19";33.715;0.752;1.547
"1997-01-20";10.024;0.829;3.73
"1997-01-21";0;0.94;2.3
"1997-01-22";0;0.953;1.505
"1997-01-23";0;0.924;1.23
"1997-01-24";0;0.924;1.019
"1997-01-25";0;0.868;0.944
"1997-01-26";0;0.767;0.869
"1997-01-27";0;0.718;0.794
"1997-01-28";0;0.654;0.719
"1997-01-29";0;0.689;0.652
"1997-01-30";0;0.63;0.593
"1997-01-31";0;0.636;0.534
"1997-02-01";0;0.558;0.475
"1997-02-02";0;0.655;0.419
"1997-02-03";0;0.642;0.387
"1997-02-04";0;0.649;0.367
"1997-02-05";0;0.725;0.347
"1997-02-06";0;0.903;0.327
"1997-02-07";0;0.81;0.308
"1997-02-08";0;0.671;0.288
"1997-02-09";0;0.684;0.268
"1997-02-10";0;0.784;0.249
"1997-02-11";0;1.025;0.23
"1997-02-12";0;1.204;0.214
"1997-02-13";0;1.065;0.198
"1997-02-14";0;1.056;0.184
"1997-02-15";3.696;1.002;0.203
"1997-02-16";0;0.88;0.158
"1997-02-17";0;0.854;0.15
"1997-02-18";0;0.947;0.145
"1997-02-19";0;1.139;0.139
"1997-02-20";0;1.314;0.134
"1997-02-21";0;1.043;0.129
"1997-02-22";0;1.009;0.123
"1997-02-23";2.335;1.076;0.118
"1997-02-24";0.546;1.111;0.113
"1997-02-25";0;1.284;0.107
"1997-02-26";0;1.444;0.102
"1997-02-27";0;1.228;0.097
"1997-02-28";0;1.211;0.091
"1997-03-01";0;1.065;0.086
"1997-03-02";0;1.236;0.081
"1997-03-03";0;1.397;0.062
"1997-03-04";0;1.315;0.059
"1997-03-05";0;1.488;0.056
"1997-03-06";0;1.693;0.053
"1997-03-07";0;1.306;0.051
"1997-03-08";0;1.313;0.048
"1997-03-09";0;1.485;0.045
"1997-03-10";0;1.45;0.042
"1997-03-11";0;1.693;0.039
"1997-03-12";0;1.439;0.036
"1997-03-13";0;1.623;0.033
"1997-03-14";0;1.647;0.031
"1997-03-15";0.301;1.914;0.028
"1997-03-16";0;1.962;0.025
