"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;NA
"1997-01-02";0;0;NA
"1997-01-03";0.582;0;NA
"1997-01-04";3.096;0;NA
"1997-01-05";0;0.05;NA
"1997-01-06";0;0.016;0.438
"1997-01-07";0;0;0.437
"1997-01-08";0;0;0.429
"1997-01-09";0;0;0.421
"1997-01-10";0.783;0.01;0.412
"1997-01-11";0;0.039;0.404
"1997-01-12";0;0;0.396
"1997-01-13";0;0;0.387
"1997-01-14";0;0;0.379
"1997-01-15";0;0;0.371
"1997-01-16";0;0.033;0.362
"1997-01-17";0;0.04;0.354
"1997-01-18";0;0.211;0.346
"1997-01-19";8.544;0.26;0.484
"1997-01-20";0;0.281;0.599
"1997-01-21";0.081;0.25;0.826
"1997-01-22";8.958;0.315;1.818
"1997-01-23";4.828;0.46;5.443
"1997-01-24";0;0.401;2.652
"1997-01-25";0;0.269;2.015
"1997-01-26";0;0.298;1.83
"1997-01-27";0;0.302;1.674
"1997-01-28";0;0.215;1.409
"1997-01-29";0;0.184;1.216
"1997-01-30";0;0.196;1.098
"1997-01-31";0;0.138;0.99
"1997-02-01";0;0.149;0.879
"1997-02-02";0;0.076;0.841
"1997-02-03";0;0.132;0.751
"1997-02-04";0;0.196;0.719
"1997-02-05";1.922;0.437;0.695
"1997-02-06";0;0.322;0.692
"1997-02-07";0;0.404;0.692
"1997-02-08";0;0.514;0.692
"1997-02-09";0;0.498;0.692
"1997-02-10";0.01;0.653;0.692
"1997-02-11";2.903;0.697;0.77
"1997-02-12";4.768;0.872;1.239
"1997-02-13";9.405;0.668;1.336
"1997-02-14";11.192;0.645;2.385
"1997-02-15";11.428;0.57;5.37
"1997-02-16";0;0.395;3.025
"1997-02-17";0;0.561;1.999
"1997-02-18";9.271;0.737;1.809
"1997-02-19";0.371;0.657;2.27
"1997-02-20";2.405;0.804;1.674
"1997-02-21";0;0.856;1.429
"1997-02-22";0;0.857;1.243
"1997-02-23";0;0.882;1.125
"1997-02-24";2.746;1.064;1.036
"1997-02-25";6.575;1.339;0.99
"1997-02-26";20.895;1.047;3.968
"1997-02-27";0;0.739;3.321
"1997-02-28";0;0.76;2.078
"1997-03-01";0;1.093;1.571
"1997-03-02";0;1.19;1.307
"1997-03-03";0;1.246;1.205
"1997-03-04";0;1.409;1.271
"1997-03-05";1.375;1.225;1.211
"1997-03-06";0;0.984;1.053
"1997-03-07";0;0.894;0.788
"1997-03-08";0;0.896;0.721
"1997-03-09";0;0.978;0.682
"1997-03-10";0;1.208;0.651
"1997-03-11";0.061;1.274;0.617
"1997-03-12";0;1.347;0.583
"1997-03-13";0;1.333;0.566
"1997-03-14";1.686;1.052;0.55
"1997-03-15";2.75;1.19;0.537
"1997-03-16";0;1.426;0.536
"1997-03-17";0;1.483;0.536
"1997-03-18";0;1.447;0.536
"1997-03-19";6.874;1.026;0.536
"1997-03-20";0.208;0.873;0.517
"1997-03-21";0;0.988;0.487
"1997-03-22";0;0.962;0.487
"1997-03-23";1.507;0.987;0.487
"1997-03-24";1.659;1.186;0.487
"1997-03-25";1.544;1.07;0.468
"1997-03-26";0;1.361;0.439
"1997-03-27";0;1.759;0.438
"1997-03-28";3.377;1.59;0.455
"1997-03-29";0;0.968;0.44
"1997-03-30";0;1.139;0.438
"1997-03-31";0;1.316;0.438
"1997-04-01";0;1.698;0.434
"1997-04-02";0;1.865;0.417
"1997-04-03";0;1.909;0.398
"1997-04-04";0;1.437;0.39
"1997-04-05";0.11;1.251;0.39
"1997-04-06";2.168;1.606;0.39
"1997-04-07";0;1.238;0.386
"1997-04-08";0;1.364;0.373
"1997-04-09";0;1.791;0.36
"1997-04-10";0;2.114;0.347
"1997-04-11";1.129;2.009;0.341
"1997-04-12";0;1.198;0.341
"1997-04-13";0;1.268;0.341
"1997-04-14";0;1.648;0.341
"1997-04-15";0;1.591;0.341
"1997-04-16";0;1.352;0.341
"1997-04-17";0;1.339;0.341
"1997-04-18";0;1.563;0.341
"1997-04-19";0;1.787;0.341
"1997-04-20";5.252;1.328;0.387
"1997-04-21";0;1.218;0.375
"1997-04-22";0;1.4;0.344
"1997-04-23";0;1.663;0.331
"1997-04-24";0;1.904;0.31
"1997-04-25";0.296;2.382;0.293
"1997-04-26";15.006;2.384;0.347
"1997-04-27";5.118;2.174;0.487
"1997-04-28";1.146;2.385;0.391
"1997-04-29";11.375;2.125;0.482
"1997-04-30";3.345;2.02;0.448
"1997-05-01";0;2.25;0.393
"1997-05-02";0;2.621;0.385
"1997-05-03";0;3.096;0.355
"1997-05-04";0;3.375;0.331
"1997-05-05";8.031;2.9;0.339
"1997-05-06";9.898;2.086;0.445
"1997-05-07";0.232;1.685;0.392
"1997-05-08";0.291;1.716;0.311
"1997-05-09";13.109;1.883;0.41
"1997-05-10";0.007;2.586;0.411
"1997-05-11";0.082;3.126;0.333
"1997-05-12";3.876;2.585;0.292
"1997-05-13";1.373;2.736;0.292
"1997-05-14";0;3.388;0.283
"1997-05-15";0;3.518;0.244
"1997-05-16";2.358;3.959;0.235
"1997-05-17";0.037;3.957;0.195
"1997-05-18";3.77;3.122;0.205
"1997-05-19";0;3.397;0.219
"1997-05-20";8.727;3.139;0.226
"1997-05-21";3.725;2.784;0.228
"1997-05-22";0.151;2.746;0.215
"1997-05-23";0;3.042;0.237
"1997-05-24";0;2.964;0.197
"1997-05-25";0;3.11;0.195
"1997-05-26";0;3.342;0.195
"1997-05-27";0;3.353;0.18
"1997-05-28";0;2.806;0.157
"1997-05-29";0;3.063;0.144
"1997-05-30";0;3.342;0.14
"1997-05-31";0;3.162;0.135
"1997-06-01";0;2.549;0.131
"1997-06-02";1.039;3.296;0.127
"1997-06-03";0.654;3.563;0.123
"1997-06-04";0;3.645;0.118
"1997-06-05";0;3.845;0.114
"1997-06-06";0;4.225;0.11
"1997-06-07";3.704;4.474;0.11
"1997-06-08";2.285;4.059;0.168
"1997-06-09";0;4.017;0.112
"1997-06-10";0;4.563;0.11
"1997-06-11";12.007;4.619;0.146
"1997-06-12";1.379;4.263;0.318
"1997-06-13";7.47;4.023;0.208
"1997-06-14";0.825;3.78;0.177
"1997-06-15";0;3.611;0.148
"1997-06-16";7.008;3.448;0.172
"1997-06-17";0.17;3.641;0.226
"1997-06-18";0;3.366;0.166
"1997-06-19";0;3.291;0.147
"1997-06-20";1.247;3.351;0.146
