"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.161
"1997-01-02";0;0;0.102
"1997-01-03";0.133;0;0.084
"1997-01-04";0;0.045;0.087
"1997-01-05";0;0.067;0.067
"1997-01-06";0;0.079;0.052
"1997-01-07";0;0.01;0.053
"1997-01-08";0.011;0.096;0.057
"1997-01-09";0;0.234;0.061
"1997-01-10";0;0.208;0.079
"1997-01-11";0;0.209;0.113
"1997-01-12";0;0.169;0.142
"1997-01-13";0;0.122;0.16
"1997-01-14";0;0.2;0.156
"1997-01-15";0;0.247;0.138
"1997-01-16";0;0.311;0.123
"1997-01-17";0;0.374;0.12
"1997-01-18";0.019;0.426;0.135
"1997-01-19";4.723;0.445;0.233
"1997-01-20";0;0.347;0.396
"1997-01-21";0;0.442;0.361
"1997-01-22";1.987;0.592;0.364
"1997-01-23";0;0.568;0.434
"1997-01-24";0.232;0.652;0.398
"1997-01-25";0;0.426;0.364
"1997-01-26";0;0.379;0.338
"1997-01-27";0;0.304;0.294
"1997-01-28";0;0.277;0.252
"1997-01-29";0;0.223;0.23
"1997-01-30";0;0.188;0.232
"1997-01-31";0;0.184;0.22
"1997-02-01";0;0.179;0.2
"1997-02-02";0;0.197;0.167
"1997-02-03";0;0.317;0.154
"1997-02-04";0.733;0.504;0.15
"1997-02-05";4.57;0.603;0.19
"1997-02-06";0;0.449;0.229
"1997-02-07";0;0.431;0.203
"1997-02-08";0;0.565;0.188
"1997-02-09";0;0.566;0.17
"1997-02-10";1.353;0.784;0.169
"1997-02-11";3.382;0.732;0.165
"1997-02-12";3.908;0.968;0.19
"1997-02-13";3.938;0.804;0.305
"1997-02-14";11.412;0.805;0.733
"1997-02-15";3.968;0.656;2.137
"1997-02-16";2.732;0.529;1.444
"1997-02-17";0.108;0.839;0.905
"1997-02-18";5.132;0.951;0.9
"1997-02-19";0;0.77;1.128
"1997-02-20";0.688;0.964;0.821
"1997-02-21";0;0.941;0.756
"1997-02-22";0;0.902;0.617
"1997-02-23";0.475;0.974;0.532
"1997-02-24";5.824;1.172;0.501
"1997-02-25";29.771;1.273;1.724
"1997-02-26";9.83;1.092;6.001
"1997-02-27";0;0.888;5.634
"1997-02-28";0;1.081;2.563
"1997-03-01";0;1.286;1.265
"1997-03-02";0;1.144;1.061
"1997-03-03";0;1.352;0.874
"1997-03-04";1.889;1.525;0.698
"1997-03-05";0.006;1.132;0.546
"1997-03-06";2.206;1.243;0.471
"1997-03-07";0;1.139;0.476
"1997-03-08";0;1.077;0.408
"1997-03-09";0;1.13;0.339
"1997-03-10";0;1.222;0.315
"1997-03-11";0;1.286;0.303
"1997-03-12";0;1.319;0.275
"1997-03-13";0;1.272;0.246
"1997-03-14";0;1.174;0.24
"1997-03-15";0;1.189;0.227
"1997-03-16";0;1.387;0.253
"1997-03-17";0;1.459;0.232
"1997-03-18";4.313;1.24;0.242
"1997-03-19";1.635;1.225;0.283
"1997-03-20";0;1.122;0.254
"1997-03-21";0;1.14;0.227
"1997-03-22";0;1.008;0.22
"1997-03-23";0;1.24;0.216
"1997-03-24";0;1.412;0.21
"1997-03-25";0;1.464;0.211
"1997-03-26";0;1.474;0.194
"1997-03-27";0;1.865;0.181
"1997-03-28";0;1.69;0.184
"1997-03-29";0;1.215;0.171
"1997-03-30";0;1.315;0.167
"1997-03-31";0;1.51;0.161
"1997-04-01";0;1.808;0.153
"1997-04-02";0;1.826;0.152
"1997-04-03";0;1.611;0.148
"1997-04-04";0;1.47;0.127
