"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.299
"1997-01-02";0.06;0;0.253
"1997-01-03";0.56;0;0.247
"1997-01-04";16.626;0.079;0.269
"1997-01-05";0.584;0.049;0.295
"1997-01-06";0.209;0.128;0.315
"1997-01-07";0;0;0.317
"1997-01-08";0.489;0.151;0.297
"1997-01-09";0;0.283;0.308
"1997-01-10";0;0.224;0.319
"1997-01-11";0;0.195;0.318
"1997-01-12";0;0.054;0.321
"1997-01-13";0;0.076;0.3
"1997-01-14";0;0.14;0.279
"1997-01-15";0;0.235;0.26
"1997-01-16";0;0.35;0.253
"1997-01-17";1.183;0.415;0.242
"1997-01-18";1.158;0.409;0.612
"1997-01-19";13.017;0.466;3.69
"1997-01-20";0.032;0.374;5.153
"1997-01-21";0;0.487;2.265
"1997-01-22";0.134;0.653;1.841
"1997-01-23";1.341;0.707;1.446
"1997-01-24";0;0.64;1.129
"1997-01-25";0;0.564;0.915
"1997-01-26";0;0.456;0.772
"1997-01-27";0;0.388;0.575
"1997-01-28";0;0.279;0.512
"1997-01-29";0;0.252;0.468
"1997-01-30";0;0.23;0.463
"1997-01-31";0;0.202;0.45
"1997-02-01";0;0.187;0.419
"1997-02-02";0;0.248;0.397
"1997-02-03";0;0.36;0.387
"1997-02-04";0;0.43;0.378
"1997-02-05";3.046;0.653;0.391
"1997-02-06";0;0.417;0.416
"1997-02-07";0;0.521;0.384
"1997-02-08";0;0.532;0.368
"1997-02-09";0;0.516;0.349
"1997-02-10";2.615;0.822;0.332
"1997-02-11";1.533;0.843;0.341
"1997-02-12";0.725;1.033;0.353
"1997-02-13";1.246;0.86;0.353
"1997-02-14";18.166;0.873;1.174
"1997-02-15";4.462;0.689;2.149
"1997-02-16";0;0.496;1.36
"1997-02-17";1.153;0.873;0.905
"1997-02-18";2.664;0.956;0.761
"1997-02-19";0;0.787;0.774
"1997-02-20";0;0.976;0.668
"1997-02-21";0;0.996;0.589
"1997-02-22";0;0.909;0.508
"1997-02-23";6.329;1.048;0.48
"1997-02-24";3.26;1.236;0.656
"1997-02-25";1.416;1.423;0.867
"1997-02-26";9.72;1.063;0.939
"1997-02-27";0;0.893;1.217
"1997-02-28";0;1.093;0.871
"1997-03-01";0;1.255;0.684
"1997-03-02";0;1.2;0.569
"1997-03-03";0;1.417;0.473
"1997-03-04";0;1.618;0.424
"1997-03-05";0.017;1.177;0.403
"1997-03-06";3.151;1.232;0.41
"1997-03-07";0;1.304;0.406
"1997-03-08";0;1.104;0.372
"1997-03-09";0;1.146;0.347
"1997-03-10";0;1.22;0.33
"1997-03-11";0;1.25;0.318
"1997-03-12";0;1.31;0.307
"1997-03-13";0;0.927;0.306
"1997-03-14";0;1.041;0.327
"1997-03-15";0;1.272;0.318
"1997-03-16";0;1.417;0.308
"1997-03-17";0;1.347;0.293
"1997-03-18";3.446;1.129;0.281
