"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0.009;NA
"1997-01-02";0;0.06;NA
"1997-01-03";2.22;0.164;NA
"1997-01-04";9.296;0.115;0.471
"1997-01-05";0;0.181;0.523
"1997-01-06";0;0.212;0.546
"1997-01-07";0;0.128;0.535
"1997-01-08";0.404;0.168;0.525
"1997-01-09";0;0.338;0.572
"1997-01-10";0;0.223;0.71
"1997-01-11";0;0.239;0.69
"1997-01-12";0;0.359;0.729
"1997-01-13";0;0.396;0.734
"1997-01-14";0;0.483;0.683
"1997-01-15";0;0.549;0.665
"1997-01-16";0;0.551;0.665
"1997-01-17";1.42;0.592;0.711
"1997-01-18";1.593;0.599;0.808
"1997-01-19";3.918;0.596;0.962
"1997-01-20";0.01;0.543;0.915
"1997-01-21";1.174;0.7;0.828
"1997-01-22";1.083;0.852;0.766
"1997-01-23";0;0.825;0.699
"1997-01-24";1.802;0.77;0.654
"1997-01-25";0.741;0.758;0.689
"1997-01-26";0;0.456;0.695
"1997-01-27";0;0.425;0.628
"1997-01-28";0;0.238;0.566
"1997-01-29";0;0.422;0.567
"1997-01-30";0;0.46;0.577
"1997-01-31";0;0.412;0.516
"1997-02-01";0;0.439;0.503
"1997-02-02";5.919;0.633;0.49
"1997-02-03";0.255;0.511;0.653
"1997-02-04";0;0.382;0.597
"1997-02-05";3.792;0.661;0.577
"1997-02-06";0;0.567;0.616
"1997-02-07";0;0.672;0.554
"1997-02-08";0;0.693;0.514
"1997-02-09";0;0.676;0.49
"1997-02-10";2.83;0.833;0.501
"1997-02-11";2.734;0.892;0.505
"1997-02-12";6.062;1.021;0.569
"1997-02-13";9.31;0.848;1.063
"1997-02-14";19.913;0.974;2.834
"1997-02-15";3.477;0.765;3.248
"1997-02-16";0;0.614;2.054
"1997-02-17";5.143;0.873;1.738
"1997-02-18";2.307;0.95;1.646
"1997-02-19";0;0.826;1.373
"1997-02-20";1.56;1.092;1.228
"1997-02-21";0;1.073;1.105
"1997-02-22";0;0.979;0.987
"1997-02-23";0.246;1.084;0.909
"1997-02-24";17.648;1.155;1.246
"1997-02-25";7.76;1.323;4.326
"1997-02-26";13.166;1.109;4.788
"1997-02-27";0;0.968;3.999
"1997-02-28";0;1.317;2.459
"1997-03-01";0;1.358;1.901
"1997-03-02";0;1.293;1.631
"1997-03-03";0;1.381;1.314
"1997-03-04";0;1.642;1.159
"1997-03-05";0;1.23;1.052
"1997-03-06";0;1.286;0.981
"1997-03-07";0;1.408;0.964
"1997-03-08";0;1.317;0.854
"1997-03-09";0;1.428;0.836
"1997-03-10";0;1.575;0.772
"1997-03-11";0;1.7;0.686
"1997-03-12";0;1.55;0.681
"1997-03-13";0;1.328;0.637
"1997-03-14";0.48;1.171;0.62
"1997-03-15";0;1.504;0.616
"1997-03-16";0;1.623;0.607
"1997-03-17";0;1.78;0.595
"1997-03-18";0;1.376;0.55
"1997-03-19";0;1.323;0.523
"1997-03-20";0;1.184;0.519
"1997-03-21";0;1.262;0.497
"1997-03-22";0;1.369;0.456
"1997-03-23";0;1.422;0.39
"1997-03-24";4.358;1.497;0.431
"1997-03-25";0.085;1.54;0.512
"1997-03-26";0;1.541;0.483
"1997-03-27";0;1.937;0.428
"1997-03-28";0.456;1.782;0.391
"1997-03-29";0;1.216;0.372
"1997-03-30";0;1.371;0.341
"1997-03-31";0;1.685;0.329
"1997-04-01";0;1.957;0.304
"1997-04-02";0;2.13;0.259
"1997-04-03";0;1.944;0.267
"1997-04-04";0;1.659;0.266
"1997-04-05";0;1.599;0.255
"1997-04-06";0;1.822;0.25
"1997-04-07";0;2.098;0.255
"1997-04-08";0;2.301;0.221
"1997-04-09";0;2.324;0.211
"1997-04-10";0;2.428;0.207
"1997-04-11";0;2.403;0.212
"1997-04-12";0;1.877;0.224
"1997-04-13";0;1.751;0.193
"1997-04-14";0;2.17;0.191
"1997-04-15";0;2.163;0.189
"1997-04-16";0;2.004;0.184
"1997-04-17";0;1.829;0.184
"1997-04-18";0;2.042;0.193
"1997-04-19";0;2.207;0.178
"1997-04-20";0;1.795;0.17
"1997-04-21";0;1.709;0.164
"1997-04-22";0;1.747;0.155
"1997-04-23";0;1.816;0.162
"1997-04-24";0;2.176;0.155
"1997-04-25";0;2.643;0.155
"1997-04-26";3.866;2.415;0.156
"1997-04-27";5.45;2.402;0.192
"1997-04-28";6.105;2.498;0.226
"1997-04-29";0;2.378;0.233
"1997-04-30";0;2.588;0.213
"1997-05-01";0;2.854;0.187
"1997-05-02";0;3.418;0.184
"1997-05-03";0;3.324;0.153
"1997-05-04";2.948;3.301;0.141
"1997-05-05";26.963;2.852;0.396
"1997-05-06";14.413;1.948;0.582
"1997-05-07";7.481;1.505;0.655
"1997-05-08";7.805;1.553;0.53
"1997-05-09";21.226;2.281;1.315
"1997-05-10";1.595;2.612;1.031
"1997-05-11";12.827;2.488;0.921
"1997-05-12";0;2.505;0.96
"1997-05-13";23.741;2.945;0.703
"1997-05-14";4.661;2.845;3.44
"1997-05-15";0.349;3.484;1.54
"1997-05-16";0.245;3.692;0.968
"1997-05-17";14.224;3.07;1.139
"1997-05-18";0;3.241;1.501
"1997-05-19";2.964;3.347;0.873
"1997-05-20";5.093;2.97;0.886
"1997-05-21";1.262;2.909;0.773
"1997-05-22";0;2.931;0.682
"1997-05-23";0;3.329;0.584
"1997-05-24";2.083;3.393;0.495
"1997-05-25";0.016;3.904;0.503
"1997-05-26";0;4.162;0.431
"1997-05-27";0;4.245;0.347
"1997-05-28";0;3.846;0.286
"1997-05-29";0;3.878;0.234
"1997-05-30";0;4.197;0.217
"1997-05-31";0;4.07;0.209
"1997-06-01";4.146;2.935;0.207
"1997-06-02";0;3.178;0.234
"1997-06-03";0.707;3.385;0.229
"1997-06-04";0;3.88;0.218
"1997-06-05";0.069;3.924;0.203
"1997-06-06";0;4.352;0.201
"1997-06-07";4.69;4.392;0.181
"1997-06-08";1.103;3.723;0.183
"1997-06-09";0;4.047;0.176
"1997-06-10";0;4.48;0.165
"1997-06-11";1.165;4.456;0.16
"1997-06-12";0.231;3.937;0.149
"1997-06-13";4.014;3.769;0.145
"1997-06-14";0;3.717;0.169
"1997-06-15";0;3.537;0.154
"1997-06-16";2.678;3.274;0.149
"1997-06-17";4.31;3.38;0.215
"1997-06-18";0;3.564;0.212
"1997-06-19";4.215;3.359;0.178
"1997-06-20";2.069;3.319;0.17
"1997-06-21";12.753;3.164;0.222
"1997-06-22";7.302;3.059;0.411
"1997-06-23";10.355;3.165;0.349
"1997-06-24";0.513;3.301;0.425
"1997-06-25";4.283;2.983;0.261
"1997-06-26";10.846;3.001;0.304
"1997-06-27";10.293;2.726;0.522
"1997-06-28";4.703;3.104;0.607
"1997-06-29";18.659;2.967;0.81
"1997-06-30";20.887;3.05;1.945
"1997-07-01";5.379;3.222;2.493
"1997-07-02";24.08;2.979;3.632
"1997-07-03";1.912;2.994;2.808
"1997-07-04";7.863;3.041;1.503
"1997-07-05";4.506;3.218;2.489
"1997-07-06";0;3.544;1.617
"1997-07-07";0;3.723;0.998
"1997-07-08";0;4.027;0.765
"1997-07-09";0;4.312;0.612
"1997-07-10";16.265;3.884;0.582
"1997-07-11";0.013;3.824;2.416
"1997-07-12";0.163;3.893;0.818
"1997-07-13";0;4.156;0.604
"1997-07-14";0;4.345;0.521
"1997-07-15";0.091;4.202;0.462
"1997-07-16";0;4.42;0.361
"1997-07-17";0;4.134;0.333
"1997-07-18";0;3.751;0.301
"1997-07-19";0;3.456;0.268
"1997-07-20";0;3.664;0.258
"1997-07-21";0;3.724;0.238
"1997-07-22";0;4.047;0.24
"1997-07-23";0.476;4.297;0.231
"1997-07-24";0;4.102;0.217
"1997-07-25";4.306;3.518;0.194
"1997-07-26";0.069;3.809;0.21
"1997-07-27";0;4.01;0.215
"1997-07-28";0;4.149;0.202
"1997-07-29";0;4.317;0.19
"1997-07-30";0;4.106;0.174
"1997-07-31";0;3.817;0.159
"1997-08-01";0;3.539;0.15
"1997-08-02";0;3.954;0.14
"1997-08-03";0;4.439;0.137
"1997-08-04";0.924;4.393;0.131
"1997-08-05";20.095;3.715;0.157
"1997-08-06";7.293;3.895;0.321
"1997-08-07";7.883;4.068;0.387
"1997-08-08";4.987;4.313;0.356
"1997-08-09";0;4.454;0.222
"1997-08-10";5.222;4.47;0.177
"1997-08-11";9.187;3.8;0.236
"1997-08-12";0;3.977;0.454
"1997-08-13";0;4.08;0.228
"1997-08-14";0;4.266;0.19
"1997-08-15";0;4.07;0.165
"1997-08-16";1.407;3.871;0.155
"1997-08-17";0;3.695;0.155
"1997-08-18";0.082;3.735;0.149
"1997-08-19";0;3.658;0.136
"1997-08-20";0;3.749;0.131
"1997-08-21";0.019;3.924;0.116
"1997-08-22";0;3.957;0.105
"1997-08-23";0;3.977;0.095
"1997-08-24";0;3.95;0.082
"1997-08-25";5.096;3.458;0.074
"1997-08-26";9.129;3.278;0.073
"1997-08-27";4.362;3.092;0.088
"1997-08-28";19.046;2.558;0.204
"1997-08-29";2.448;2.643;0.303
"1997-08-30";0.199;3.005;0.385
"1997-08-31";0;3.268;0.213
"1997-09-01";15.399;2.644;0.187
"1997-09-02";4.471;2.5;0.28
"1997-09-03";0.002;2.716;0.323
"1997-09-04";0;2.854;0.25
"1997-09-05";0;2.97;0.203
"1997-09-06";0.459;2.582;0.19
"1997-09-07";0;2.473;0.17
"1997-09-08";0;2.523;0.149
"1997-09-09";0;2.596;0.134
"1997-09-10";0;2.495;0.12
"1997-09-11";0;2.554;0.108
"1997-09-12";0.019;2.357;0.106
"1997-09-13";2.444;2.164;0.123
"1997-09-14";0;1.738;0.121
"1997-09-15";0;1.98;0.111
"1997-09-16";0;2.226;0.108
"1997-09-17";0;2.457;0.103
"1997-09-18";0;2.373;0.103
"1997-09-19";0;2.376;0.103
"1997-09-20";0;2.432;0.103
"1997-09-21";0.04;2.292;0.104
"1997-09-22";8.456;2.231;0.131
"1997-09-23";0;2.261;0.128
"1997-09-24";0;2.296;0.124
"1997-09-25";0;2.217;0.119
"1997-09-26";0;2.231;0.113
"1997-09-27";0;2.139;0.109
"1997-09-28";0;2.099;0.103
"1997-09-29";0;2.094;0.103
"1997-09-30";0;2.051;0.103
"1997-10-01";0;2.037;0.098
"1997-10-02";0;1.982;0.093
"1997-10-03";0;1.937;0.09
"1997-10-04";0;1.729;0.088
"1997-10-05";0;1.803;0.087
"1997-10-06";1.168;2.005;0.087
"1997-10-07";11.092;1.845;0.099
"1997-10-08";0;1.856;0.117
"1997-10-09";1.567;1.831;0.107
"1997-10-10";8.871;1.886;0.116
"1997-10-11";4.247;1.634;0.149
"1997-10-12";4.168;1.459;0.158
"1997-10-13";0;1.137;0.162
"1997-10-14";0;1.028;0.142
"1997-10-15";7.956;0.997;0.142
"1997-10-16";0;1.314;0.161
"1997-10-17";0;1.372;0.163
"1997-10-18";0;1.649;0.138
"1997-10-19";0;1.489;0.121
"1997-10-20";0.072;1.616;0.126
"1997-10-21";15.233;1.509;0.212
"1997-10-22";0;1.372;0.233
"1997-10-23";3.062;1.356;0.184
"1997-10-24";0;1.051;0.18
"1997-10-25";0;0.826;0.181
"1997-10-26";0;0.91;0.169
"1997-10-27";0;0.897;0.126
"1997-10-28";0;0.645;0.111
"1997-10-29";0;0.469;0.107
"1997-10-30";0;0.452;0.108
"1997-10-31";0;0.479;0.118
"1997-11-01";0;0.461;0.117
"1997-11-02";0;0.609;0.143
"1997-11-03";0;0.947;0.171
"1997-11-04";15.799;1.055;0.204
"1997-11-05";6.077;0.975;0.291
"1997-11-06";36.243;0.86;1.027
"1997-11-07";4.846;0.839;1.111
"1997-11-08";15.183;0.906;0.664
"1997-11-09";22.005;0.757;1.714
"1997-11-10";11.196;0.682;2.81
"1997-11-11";10.43;0.653;3.073
"1997-11-12";1.358;0.622;2.243
"1997-11-13";0.738;0.599;1.346
"1997-11-14";0;0.52;0.999
"1997-11-15";0;0.697;0.827
"1997-11-16";0;0.733;0.719
"1997-11-17";0;0.806;0.643
"1997-11-18";7.249;0.847;0.598
"1997-11-19";2.897;0.76;0.729
"1997-11-20";10.233;0.699;1.065
"1997-11-21";4.458;0.626;1.381
