"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;2.148
"1997-01-02";6.886;0.063;2.015
"1997-01-03";0;0.185;1.894
"1997-01-04";9.989;0.1;1.854
"1997-01-05";4.945;0.042;1.854
"1997-01-06";0;0.096;1.854
"1997-01-07";0;0.006;1.854
"1997-01-08";1.011;0.226;1.759
"1997-01-09";1.23;0.289;1.605
"1997-01-10";0;0.168;1.592
"1997-01-11";0;0.22;1.578
"1997-01-12";0;0.305;1.564
"1997-01-13";0;0.366;1.523
"1997-01-14";0;0.47;1.193
"1997-01-15";0;0.465;1.155
"1997-01-16";0;0.472;1.161
"1997-01-17";3.915;0.461;1.168
"1997-01-18";3.628;0.475;1.214
"1997-01-19";9.322;0.434;1.97
"1997-01-20";4.088;0.396;2.567
"1997-01-21";0.844;0.622;2.164
"1997-01-22";0;0.735;2.047
"1997-01-23";0.024;0.664;1.972
"1997-01-24";0.006;0.618;1.967
"1997-01-25";0;0.577;1.867
"1997-01-26";0;0.457;1.625
"1997-01-27";0;0.296;1.62
"1997-01-28";0;0.069;1.427
"1997-01-29";0;0.368;1.387
"1997-01-30";0;0.43;1.351
"1997-01-31";0;0.427;1.314
"1997-02-01";0;0.418;1.278
"1997-02-02";1.672;0.555;1.256
"1997-02-03";1.685;0.379;1.243
"1997-02-04";0;0.263;1.222
"1997-02-05";9.408;0.461;1.202
"1997-02-06";0;0.449;1.887
"1997-02-07";0;0.618;1.457
"1997-02-08";0;0.51;1.312
"1997-02-09";0;0.516;1.238
"1997-02-10";1.121;0.686;1.146
"1997-02-11";9.139;0.707;1.101
"1997-02-12";7.081;0.787;1.342
"1997-02-13";11.693;0.596;2.009
"1997-02-14";38.604;0.727;6.723
"1997-02-15";12.558;0.525;11.628
"1997-02-16";0;0.497;10.391
"1997-02-17";2.94;0.589;9.868
"1997-02-18";5.209;0.684;9.145
"1997-02-19";0.028;0.652;8.186
"1997-02-20";1.252;0.83;7.025
"1997-02-21";0;0.741;6.144
"1997-02-22";0;0.816;5.416
"1997-02-23";0;0.924;4.823
"1997-02-24";7.849;0.928;4.454
"1997-02-25";16.05;1.071;8.445
"1997-02-26";12.904;0.86;8.098
"1997-02-27";0;0.696;7.649
"1997-02-28";0;1.068;6.956
"1997-03-01";0;1.186;6.505
"1997-03-02";0;1.112;6.098
"1997-03-03";0;1.136;5.612
"1997-03-04";0;1.426;4.885
"1997-03-05";0;0.983;4.364
"1997-03-06";1.01;1.001;3.982
"1997-03-07";0;1.079;3.656
"1997-03-08";0;0.999;3.359
