"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;NA
"1997-01-02";0.004;0;NA
"1997-01-03";3.101;0;NA
"1997-01-04";0;0.02;NA
"1997-01-05";0;0.023;NA
"1997-01-06";0;0.04;NA
"1997-01-07";0;0.009;NA
"1997-01-08";0.211;0.05;NA
"1997-01-09";3.456;0.102;NA
"1997-01-10";0.029;0.08;0.532
"1997-01-11";0;0.011;0.527
"1997-01-12";0;0;0.522
"1997-01-13";0;0;0.517
"1997-01-14";0;0;0.512
"1997-01-15";0;0.007;0.507
"1997-01-16";0;0.149;0.501
"1997-01-17";0;0.269;0.496
"1997-01-18";2.351;0.348;0.491
"1997-01-19";17.395;0.363;3.07
"1997-01-20";0;0.328;3.135
"1997-01-21";0.008;0.363;2.064
"1997-01-22";0.124;0.457;1.682
"1997-01-23";3.302;0.58;1.791
"1997-01-24";0;0.523;1.754
"1997-01-25";0;0.336;1.406
"1997-01-26";0;0.339;1.284
"1997-01-27";0;0.285;1.149
"1997-01-28";0;0.22;0.959
"1997-01-29";0;0.179;0.834
"1997-01-30";0;0.095;0.742
"1997-01-31";0;0.095;0.651
"1997-02-01";0;0.123;0.613
"1997-02-02";0;0.076;0.576
"1997-02-03";0;0.161;0.557
"1997-02-04";0;0.202;0.521
"1997-02-05";9.268;0.39;0.74
"1997-02-06";0;0.288;1.265
"1997-02-07";0;0.309;0.93
"1997-02-08";0;0.397;0.778
"1997-02-09";0;0.456;0.674
"1997-02-10";0;0.625;0.639
"1997-02-11";4.579;0.716;0.662
"1997-02-12";5.464;0.85;1.183
"1997-02-13";12.275;0.684;2.242
"1997-02-14";9.582;0.615;2.839
"1997-02-15";10.413;0.585;5.377
"1997-02-16";0;0.407;2.975
"1997-02-17";2.093;0.608;2.094
"1997-02-18";9.697;0.698;2.276
"1997-02-19";0;0.623;2.934
"1997-02-20";3.95;0.828;2.28
"1997-02-21";0;0.818;2.034
"1997-02-22";0;0.828;1.621
"1997-02-23";0;0.97;1.418
"1997-02-24";5.025;0.998;1.478
"1997-02-25";23.812;1.148;3.944
"1997-02-26";10.682;0.978;6.479
"1997-02-27";0;0.807;3.416
"1997-02-28";0;0.84;2.337
"1997-03-01";0;1.195;1.912
"1997-03-02";0;1.194;1.625
"1997-03-03";0;1.262;1.416
"1997-03-04";0;1.322;1.283
"1997-03-05";0;1.187;1.187
"1997-03-06";0;1.058;1.082
"1997-03-07";0;0.938;0.955
"1997-03-08";0;0.93;0.898
"1997-03-09";0;0.924;0.828
