"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.555
"1997-01-02";0;0;0.411
"1997-01-03";0;0;0.383
"1997-01-04";0;0;0.385
"1997-01-05";0;0.03;0.387
"1997-01-06";0;0.017;0.477
"1997-01-07";0;0;0.606
"1997-01-08";0;0;0.596
"1997-01-09";0.221;0.048;0.571
"1997-01-10";0;0;0.583
"1997-01-11";0;0.097;0.571
"1997-01-12";0;0.223;0.577
"1997-01-13";0;0.233;0.576
"1997-01-14";0;0.18;0.564
"1997-01-15";0;0.181;0.566
"1997-01-16";0;0.243;0.558
"1997-01-17";0;0.303;0.554
"1997-01-18";0;0.312;0.571
"1997-01-19";2.464;0.354;0.628
"1997-01-20";0;0.304;0.625
"1997-01-21";0;0.229;0.597
"1997-01-22";0.009;0.385;0.605
"1997-01-23";0;0.387;0.621
"1997-01-24";0;0.329;0.596
"1997-01-25";0;0.352;0.574
"1997-01-26";0;0.219;0.561
"1997-01-27";0;0.261;0.554
"1997-01-28";0.102;0.346;0.558
"1997-01-29";0;0.313;0.555
"1997-01-30";0;0.278;0.541
"1997-01-31";0;0.319;0.528
"1997-02-01";0;0.337;0.519
"1997-02-02";0.456;0.277;0.515
"1997-02-03";0;0.329;0.519
"1997-02-04";9.16;0.47;0.57
"1997-02-05";14.051;0.485;1.97
"1997-02-06";0;0.533;1.042
"1997-02-07";1.688;0.643;0.839
"1997-02-08";0;0.598;0.732
"1997-02-09";0;0.675;0.7
"1997-02-10";6.617;0.65;0.795
"1997-02-11";9.543;0.563;0.901
"1997-02-12";12.649;0.8;2.089
"1997-02-13";6.632;0.62;2.381
"1997-02-14";2.048;0.512;1.451
"1997-02-15";0;0.452;1.186
"1997-02-16";2.333;0.465;1.059
"1997-02-17";10.433;0.713;1.154
"1997-02-18";3.808;0.752;1.991
"1997-02-19";3.618;0.666;1.413
"1997-02-20";0;0.793;1.419
"1997-02-21";0;0.849;1.187
"1997-02-22";0;0.883;1.078
"1997-02-23";0;0.914;1.034
"1997-02-24";10.227;0.916;1.256
"1997-02-25";2.644;1.02;1.378
"1997-02-26";0.548;0.901;1.273
"1997-02-27";0;0.809;0.994
"1997-02-28";0;0.996;0.919
"1997-03-01";0;1.02;0.899
"1997-03-02";1.992;1.058;0.881
"1997-03-03";7.652;0.881;0.886
"1997-03-04";2.865;1.126;1.198
"1997-03-05";0.389;0.947;1.008
"1997-03-06";1.147;1.04;0.946
"1997-03-07";0;1.199;0.89
"1997-03-08";0;1.124;0.854
"1997-03-09";0;1.089;0.84
"1997-03-10";0;1.085;0.827
"1997-03-11";0;1.058;0.809
"1997-03-12";0;1.159;0.81
"1997-03-13";0;1.062;0.792
"1997-03-14";1.684;1.132;0.806
"1997-03-15";0;1.236;0.79
"1997-03-16";0;1.199;0.781
"1997-03-17";0;1.187;0.78
"1997-03-18";0;1.149;0.773
"1997-03-19";1.32;1.135;0.814
"1997-03-20";0;1.028;0.779
"1997-03-21";0.076;1.078;0.75
"1997-03-22";0;0.913;0.723
"1997-03-23";1.652;1.217;0.75
"1997-03-24";0;1.192;0.729
"1997-03-25";0;1.304;0.715
"1997-03-26";3.111;1.47;0.714
"1997-03-27";0;1.532;0.748
"1997-03-28";0;1.352;0.694
"1997-03-29";0;1.223;0.677
"1997-03-30";0;1.29;0.658
"1997-03-31";0;1.359;0.644
"1997-04-01";0;1.52;0.645
"1997-04-02";0;1.512;0.628
"1997-04-03";0;1.491;0.632
"1997-04-04";0;1.252;0.613
"1997-04-05";0;1.643;0.626
"1997-04-06";0;1.579;0.602
"1997-04-07";0;1.265;0.591
"1997-04-08";0;1.436;0.591
"1997-04-09";0;1.804;0.587
"1997-04-10";0;1.935;0.566
"1997-04-11";0;1.512;0.576
"1997-04-12";0;1.3;0.575
