"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.796
"1997-01-02";0;0;1.356
"1997-01-03";0;0.043;0.945
"1997-01-04";0;0.145;0.78
"1997-01-05";0;0.087;0.742
"1997-01-06";0;0.091;0.698
"1997-01-07";0;0.014;0.641
"1997-01-08";0;0.01;0.617
"1997-01-09";0;0.156;0.641
"1997-01-10";0;0.214;0.616
"1997-01-11";0;0.254;0.662
"1997-01-12";0;0.339;0.73
"1997-01-13";0;0.354;0.674
"1997-01-14";0;0.292;0.585
"1997-01-15";0;0.349;0.58
"1997-01-16";0;0.427;0.577
"1997-01-17";4.297;0.458;0.726
"1997-01-18";0.92;0.441;0.795
"1997-01-19";0.393;0.497;0.799
"1997-01-20";0;0.357;0.652
"1997-01-21";2.624;0.346;0.613
"1997-01-22";3.3;0.562;0.726
"1997-01-23";0.949;0.457;0.731
"1997-01-24";0;0.476;0.679
"1997-01-25";0;0.572;0.655
"1997-01-26";0;0.424;0.607
"1997-01-27";0;0.336;0.603
"1997-01-28";0;0.416;0.603
"1997-01-29";0;0.282;NA
"1997-01-30";0;0.227;NA
"1997-01-31";0;0.217;NA
"1997-02-01";0.811;0.23;NA
"1997-02-02";0.677;0.414;NA
"1997-02-03";0;0.403;NA
"1997-02-04";12.727;0.573;NA
"1997-02-05";6.375;0.632;NA
"1997-02-06";0;0.617;NA
"1997-02-07";0;0.744;NA
"1997-02-08";0;0.736;NA
"1997-02-09";0;0.686;NA
"1997-02-10";9.133;0.742;NA
"1997-02-11";12.068;0.7;NA
"1997-02-12";6.735;0.913;NA
"1997-02-13";7.8;0.671;NA
"1997-02-14";22.847;0.743;NA
"1997-02-15";0;0.587;NA
"1997-02-16";3.351;0.584;NA
"1997-02-17";9.454;0.82;NA
"1997-02-18";6.945;0.832;NA
"1997-02-19";1.937;0.805;NA
"1997-02-20";0.022;0.91;NA
"1997-02-21";0;0.968;NA
"1997-02-22";0;0.949;NA
"1997-02-23";0.047;1;NA
"1997-02-24";5.516;1.072;NA
"1997-02-25";5.077;1.132;NA
"1997-02-26";2.557;0.879;NA
"1997-02-27";0;0.918;NA
"1997-02-28";1.327;1.072;NA
"1997-03-01";0;1.117;NA
"1997-03-02";3.068;1.15;NA
"1997-03-03";0.01;1.115;NA
"1997-03-04";1.417;1.151;NA
"1997-03-05";0;1.077;NA
"1997-03-06";1.563;1.211;NA
"1997-03-07";0;1.199;1.149
"1997-03-08";0;1.182;1.059
"1997-03-09";0;1.251;0.981
"1997-03-10";0;1.266;0.977
"1997-03-11";0;1.316;0.963
"1997-03-12";0;1.158;0.923
