"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";0;0;0.599
"1997-01-02";4.055;0;0.54
"1997-01-03";0.781;0.042;0.583
"1997-01-04";7.78;0.104;0.625
"1997-01-05";5.233;0.104;0.566
"1997-01-06";0;0.138;0.57
"1997-01-07";0;0.013;0.537
"1997-01-08";4.846;0.077;0.502
"1997-01-09";0.14;0.305;0.582
"1997-01-10";0.59;0.216;0.731
"1997-01-11";0;0.185;0.721
"1997-01-12";0;0.121;0.701
"1997-01-13";0;0.105;0.628
"1997-01-14";0;0.171;0.559
"1997-01-15";0;0.317;0.532
"1997-01-16";0;0.441;0.557
"1997-01-17";1.564;0.498;0.714
"1997-01-18";0.819;0.442;1.817
"1997-01-19";5.12;0.494;3.562
"1997-01-20";1.43;0.389;3.094
"1997-01-21";3.835;0.537;3.319
"1997-01-22";0;0.8;2.927
"1997-01-23";0.527;0.745;2.229
"1997-01-24";0;0.691;1.839
"1997-01-25";0;0.602;1.542
"1997-01-26";0;0.371;1.341
"1997-01-27";0;0.356;1.209
"1997-01-28";0.23;0.19;1.077
"1997-01-29";0;0.21;0.968
"1997-01-30";0;0.226;0.903
"1997-01-31";0;0.169;0.84
"1997-02-01";0;0.248;0.791
"1997-02-02";0.014;0.385;0.734
"1997-02-03";0;0.335;0.707
"1997-02-04";0;0.405;0.667
"1997-02-05";2.826;0.604;0.654
"1997-02-06";0;0.428;0.661
"1997-02-07";0;0.597;0.606
"1997-02-08";0;0.614;0.571
"1997-02-09";0;0.641;0.54
"1997-02-10";0.008;0.85;0.517
"1997-02-11";0.575;0.844;0.491
"1997-02-12";0;0.985;0.473
"1997-02-13";2.768;0.794;0.474
"1997-02-14";10.732;0.903;0.917
"1997-02-15";4.591;0.67;1.319
"1997-02-16";0;0.478;1.275
"1997-02-17";0;0.784;0.962
"1997-02-18";0.071;0.918;0.828
"1997-02-19";0;0.801;0.755
"1997-02-20";0.022;0.978;0.703
"1997-02-21";0;0.972;0.648
"1997-02-22";0;0.908;0.593
"1997-02-23";2.945;1.107;0.561
"1997-02-24";0.007;1.174;0.586
"1997-02-25";0.392;1.35;0.58
"1997-02-26";9.19;1.064;0.547
"1997-02-27";0.005;0.889;0.807
"1997-02-28";0;1.159;0.69
"1997-03-01";0;1.419;0.609
"1997-03-02";0;1.367;0.566
"1997-03-03";0;1.343;0.525
"1997-03-04";0;1.658;0.481
"1997-03-05";0.179;1.117;0.458
"1997-03-06";2.92;1.134;0.426
"1997-03-07";0;1.144;0.46
"1997-03-08";0;1.084;0.427
"1997-03-09";0;1.189;0.391
"1997-03-10";0;1.376;0.373
"1997-03-11";0;1.366;0.354
"1997-03-12";0;1.499;0.328
"1997-03-13";0;1.258;0.307
"1997-03-14";0.643;1.115;0.306
"1997-03-15";0.293;1.408;0.292
"1997-03-16";0;1.411;0.312
"1997-03-17";0;1.278;0.286
"1997-03-18";0.638;1.493;0.281
"1997-03-19";5.259;1.157;0.269
