"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";3.728;0.085;1.044
"1997-01-02";27.429;0.131;1.039
"1997-01-03";22.064;0.25;1.074
"1997-01-04";3.918;0.221;1.535
"1997-01-05";5.944;0.167;1.365
"1997-01-06";0;0.155;1.307
"1997-01-07";0;0.137;1.25
"1997-01-08";3.782;0.276;1.245
"1997-01-09";5.484;0.294;1.681
"1997-01-10";0;0.305;1.931
"1997-01-11";0;0.227;1.998
"1997-01-12";0;0.108;1.799
"1997-01-13";0;0.117;1.621
"1997-01-14";0;0.159;1.495
"1997-01-15";0;0.237;1.372
"1997-01-16";0;0.344;1.325
"1997-01-17";0;0.543;1.518
"1997-01-18";0;0.512;1.799
"1997-01-19";22.058;0.621;2.33
"1997-01-20";26.571;0.505;6.302
"1997-01-21";0.031;0.607;4.142
"1997-01-22";0.808;0.809;3.058
"1997-01-23";0;0.775;2.668
"1997-01-24";0;0.686;2.366
"1997-01-25";0;0.559;2.131
"1997-01-26";0;0.458;1.936
"1997-01-27";0;0.463;1.802
"1997-01-28";0;0.373;1.729
"1997-01-29";0;0.334;1.644
"1997-01-30";0;0.36;1.527
"1997-01-31";0;0.301;1.442
"1997-02-01";0;0.263;1.377
"1997-02-02";0;0.334;1.305
"1997-02-03";0;0.34;1.208
"1997-02-04";0;0.364;1.162
"1997-02-05";3.25;0.552;1.093
"1997-02-06";0;0.557;1.026
"1997-02-07";0;0.624;0.98
"1997-02-08";0;0.615;0.91
"1997-02-09";0;0.576;0.967
"1997-02-10";0;0.628;1.468
"1997-02-11";0.742;0.763;1.258
"1997-02-12";0;0.901;1.165
"1997-02-13";0.009;0.881;1.142
"1997-02-14";3.485;0.801;1.12
"1997-02-15";6.712;0.75;1.009
"1997-02-16";0.045;0.589;0.972
"1997-02-17";0;0.761;0.819
"1997-02-18";0;0.814;0.699
"1997-02-19";0;0.881;0.641
"1997-02-20";0;1.002;0.649
"1997-02-21";0;0.911;0.638
"1997-02-22";0;0.894;0.608
"1997-02-23";0.056;1.023;0.573
"1997-02-24";0.367;1.119;0.585
"1997-02-25";0;1.33;0.57
"1997-02-26";1.073;1.284;0.608
"1997-02-27";0;0.93;0.609
"1997-02-28";0;0.99;0.552
"1997-03-01";0;1.195;0.55
"1997-03-02";0;1.349;0.557
"1997-03-03";0;1.324;0.567
"1997-03-04";0;1.465;0.54
"1997-03-05";0;1.457;0.518
"1997-03-06";0;1.234;0.461
"1997-03-07";0;1.14;0.519
"1997-03-08";0;1.2;0.554
"1997-03-09";0;1.323;0.506
"1997-03-10";0;1.451;0.542
"1997-03-11";0;1.542;0.627
"1997-03-12";0;1.548;0.71
"1997-03-13";0;1.634;0.727
"1997-03-14";0.222;1.393;0.78
"1997-03-15";0;1.417;0.851
"1997-03-16";0;1.553;0.932
"1997-03-17";0;1.626;0.893
"1997-03-18";0;1.85;0.831
"1997-03-19";1.019;1.361;0.768
"1997-03-20";2.045;1.152;0.707
"1997-03-21";0;1.25;0.618
"1997-03-22";0;1.358;0.491
"1997-03-23";0;1.521;0.394
"1997-03-24";0;1.425;0.362
"1997-03-25";0.169;1.412;0.337
"1997-03-26";0;1.508;0.323
"1997-03-27";0;1.902;0.317
"1997-03-28";0.06;1.934;0.322
"1997-03-29";0;1.352;0.332
"1997-03-30";0;1.413;0.308
"1997-03-31";0;1.565;0.3
"1997-04-01";0;1.728;0.299
"1997-04-02";0;1.97;0.297
"1997-04-03";0;2.041;0.29
"1997-04-04";0;1.797;0.278
"1997-04-05";0;1.639;0.277
"1997-04-06";0;1.997;0.26
"1997-04-07";0;1.908;0.251
"1997-04-08";0;1.856;0.244
"1997-04-09";0;1.929;0.244
"1997-04-10";0;2.165;0.218
"1997-04-11";0;2.317;0.217
"1997-04-12";0;1.9;0.227
"1997-04-13";0;1.711;0.232
"1997-04-14";0;1.963;0.214
"1997-04-15";0;2.034;0.208
"1997-04-16";0;1.905;0.222
"1997-04-17";0;1.597;0.184
"1997-04-18";0;1.739;0.178
"1997-04-19";2.713;1.75;0.173
"1997-04-20";0;1.685;0.228
"1997-04-21";0;1.541;0.253
"1997-04-22";0;1.747;0.196
"1997-04-23";0;1.977;0.18
"1997-04-24";0;2.147;0.156
"1997-04-25";0;2.482;0.169
"1997-04-26";10.137;2.827;0.164
"1997-04-27";9.471;2.411;0.27
"1997-04-28";0.013;2.612;0.233
"1997-04-29";0.387;2.479;0.206
"1997-04-30";2.251;2.423;0.23
"1997-05-01";0;2.604;0.205
"1997-05-02";0;2.967;0.194
"1997-05-03";0;3.161;0.19
"1997-05-04";0;3.435;0.195
"1997-05-05";20.327;2.916;0.238
"1997-05-06";18.407;2.388;0.561
"1997-05-07";4.873;1.972;0.33
"1997-05-08";0.478;1.854;0.315
"1997-05-09";0.09;2.349;0.264
"1997-05-10";0;2.678;0.236
"1997-05-11";0;3.161;0.205
"1997-05-12";11.251;2.73;0.245
"1997-05-13";3.475;3.042;0.271
"1997-05-14";1.39;3.453;0.255
"1997-05-15";2.026;3.577;0.237
"1997-05-16";0;3.58;0.229
"1997-05-17";1.585;3.5;0.222
"1997-05-18";1.091;3.461;0.23
"1997-05-19";0;3.395;0.21
"1997-05-20";8.619;3.261;0.256
"1997-05-21";0.034;3.059;0.222
"1997-05-22";0;3.149;0.202
"1997-05-23";0;3.415;0.2
"1997-05-24";0;3.667;0.18
"1997-05-25";1.92;3.612;0.177
"1997-05-26";0.001;3.89;0.18
"1997-05-27";0;4.003;0.162
"1997-05-28";0;3.752;0.159
"1997-05-29";0;3.718;0.156
"1997-05-30";0;3.988;0.151
"1997-05-31";0;3.965;0.141
"1997-06-01";7.899;3.116;0.17
"1997-06-02";0.654;3.033;0.205
"1997-06-03";0;3.62;0.178
"1997-06-04";1.128;3.843;0.165
"1997-06-05";5.921;3.533;0.168
"1997-06-06";0;4.11;0.154
"1997-06-07";0;4.291;0.138
"1997-06-08";4.926;4.464;0.131
"1997-06-09";0;4.4;0.124
"1997-06-10";0;4.571;0.1
"1997-06-11";0;4.768;0.095
"1997-06-12";0;4.569;0.092
"1997-06-13";0.08;4.361;0.094
"1997-06-14";4.006;4.117;0.105
"1997-06-15";0;4.145;0.102
"1997-06-16";4.929;3.744;0.096
"1997-06-17";0;3.814;0.108
"1997-06-18";0;3.951;0.087
"1997-06-19";0.335;3.747;0.072
"1997-06-20";0;3.761;0.071
"1997-06-21";43.119;3.997;0.153
"1997-06-22";25.996;3.295;1.166
"1997-06-23";0;3.261;0.283
"1997-06-24";1.199;3.27;0.226
"1997-06-25";0;3.38;0.224
"1997-06-26";1.316;3.453;0.218
"1997-06-27";0.567;3.471;0.222
"1997-06-28";7.144;3.153;0.201
"1997-06-29";4.808;3.562;0.255
"1997-06-30";3.101;3.22;0.205
"1997-07-01";0;3.625;0.223
"1997-07-02";14.407;3.805;0.17
"1997-07-03";41.619;3.204;1.515
"1997-07-04";2.079;3.374;0.915
"1997-07-05";7.966;3.134;0.661
"1997-07-06";0;3.412;0.517
"1997-07-07";0;3.712;0.454
"1997-07-08";0;3.847;0.407
"1997-07-09";0;4.15;0.358
"1997-07-10";4.681;4.088;0.332
"1997-07-11";0.615;4.093;0.309
"1997-07-12";0.485;4.242;0.284
"1997-07-13";0.048;4.373;0.254
"1997-07-14";7.582;4.443;0.295
"1997-07-15";0.001;4.309;0.23
"1997-07-16";0;4.364;0.182
"1997-07-17";13.18;4.163;0.212
"1997-07-18";1.288;3.585;0.359
"1997-07-19";0;3.451;0.214
"1997-07-20";0;3.835;0.166
"1997-07-21";0;3.751;0.151
"1997-07-22";0;4.018;0.132
"1997-07-23";0;4.272;0.16
"1997-07-24";0.153;4.199;0.098
"1997-07-25";0;3.876;0.117
"1997-07-26";0;3.956;0.199
"1997-07-27";0;4.167;0.223
"1997-07-28";0;4.347;0.121
"1997-07-29";0;4.385;0.08
"1997-07-30";0;4.216;0.068
"1997-07-31";0;4.012;0.068
"1997-08-01";0;3.845;0.081
"1997-08-02";0;4.186;0.068
"1997-08-03";0;4.521;0.06
"1997-08-04";0;4.531;0.087
"1997-08-05";0;4.176;0.045
"1997-08-06";0.689;4.059;0.059
"1997-08-07";0.091;4.131;0.07
"1997-08-08";0;4.265;0.079
"1997-08-09";0;4.444;0.067
"1997-08-10";0;4.445;0.042
"1997-08-11";9.438;3.818;0.149
"1997-08-12";0;3.949;0.106
"1997-08-13";0;4.258;0.08
"1997-08-14";0;4.306;0.039
"1997-08-15";0;4.131;0.052
"1997-08-16";0;3.93;0.097
"1997-08-17";0.053;3.779;0.097
"1997-08-18";0;3.786;0.156
"1997-08-19";0;3.785;0.071
"1997-08-20";0;3.962;0.041
"1997-08-21";0;3.78;0.02
"1997-08-22";0;3.874;0.02
"1997-08-23";0;3.829;0.011
"1997-08-24";0;3.888;0.044
"1997-08-25";0;3.757;0.049
"1997-08-26";0;3.419;0.041
"1997-08-27";14.667;3.436;0.042
"1997-08-28";37.787;2.737;0.304
"1997-08-29";0;2.595;0.099
"1997-08-30";0;2.784;0.091
"1997-08-31";0;3.194;0.078
"1997-09-01";0.884;3.136;0.07
"1997-09-02";13.494;2.905;0.08
"1997-09-03";0.896;2.835;0.081
"1997-09-04";0;2.987;0.077
"1997-09-05";0;3.163;0.074
"1997-09-06";0;3.129;0.077
"1997-09-07";0;2.855;0.09
"1997-09-08";0;2.643;0.076
"1997-09-09";0;2.734;0.08
"1997-09-10";0;2.574;0.082
"1997-09-11";0;2.707;0.08
"1997-09-12";0.321;2.936;0.079
"1997-09-13";27.89;2.431;0.192
"1997-09-14";0;2.006;0.112
"1997-09-15";0;2.047;0.094
"1997-09-16";0;2.277;0.092
"1997-09-17";0;2.33;0.093
"1997-09-18";0;2.281;0.088
"1997-09-19";0;2.284;0.084
"1997-09-20";0;2.278;0.086
"1997-09-21";0;2.272;0.09
"1997-09-22";0;2.24;0.08
"1997-09-23";0;2.166;0.083
"1997-09-24";0;2.169;0.085
"1997-09-25";0;2.108;0.088
"1997-09-26";0;2.06;0.085
"1997-09-27";0;1.957;0.107
"1997-09-28";0;1.904;0.088
"1997-09-29";0;1.989;0.078
"1997-09-30";0;1.999;0.077
"1997-10-01";0;2.091;0.073
"1997-10-02";0;2.168;0.076
"1997-10-03";0;2.004;0.073
"1997-10-04";0;1.725;0.074
"1997-10-05";0;1.832;0.074
"1997-10-06";17.464;2.013;0.088
"1997-10-07";18.12;1.969;0.341
"1997-10-08";0;1.931;0.103
"1997-10-09";0;1.935;0.086
