"day";"p_mm";"pet_ou_mm";"q_mm"
"1997-01-01";2.794;0.203;NA
"1997-01-02";6.648;0.326;NA
"1997-01-03";14.296;0.454;NA
"1997-01-04";8.697;0.296;1.953
"1997-01-05";0.987;0.385;2.267
"1997-01-06";7.795;0.33;2.132
"1997-01-07";0.016;0.317;2.023
"1997-01-08";1.273;0.368;1.638
"1997-01-09";0;0.474;1.331
"1997-01-10";6.163;0.437;1.637
"1997-01-11";0;0.551;1.262
"1997-01-12";0;0.662;1.036
"1997-01-13";0;0.478;0.959
"1997-01-14";0;0.544;0.953
"1997-01-15";0;0.666;0.896
"1997-01-16";0;0.75;0.866
"1997-01-17";6.379;0.743;0.848
"1997-01-18";0;0.704;0.826
"1997-01-19";0.519;0.694;0.805
"1997-01-20";0.309;0.779;0.762
"1997-01-21";0.09;0.897;0.71
"1997-01-22";0;0.946;0.695
"1997-01-23";10.341;0.891;0.693
"1997-01-24";34.289;0.891;7.533
"1997-01-25";0.904;0.842;7.272
"1997-01-26";0;0.735;4.072
"1997-01-27";0.003;0.753;2.98
"1997-01-28";0;0.507;2.231
"1997-01-29";0.001;0.643;1.738
"1997-01-30";0;0.733;1.423
"1997-01-31";0;0.719;1.226
"1997-02-01";0;0.874;1.074
"1997-02-02";0;0.915;0.996
"1997-02-03";2.948;0.767;0.957
"1997-02-04";0;0.706;0.917
"1997-02-05";1.183;0.796;0.892
"1997-02-06";0;0.979;0.852
"1997-02-07";0;0.83;0.828
"1997-02-08";0;0.784;0.802
"1997-02-09";0;0.723;0.762
"1997-02-10";0;0.749;0.715
"1997-02-11";0.005;1.074;0.711
"1997-02-12";0.399;1.222;0.683
"1997-02-13";0.762;1.18;0.65
"1997-02-14";7.568;1.258;0.626
"1997-02-15";6.871;0.89;0.872
"1997-02-16";0;0.935;0.893
"1997-02-17";0;1.097;0.744
"1997-02-18";0;1.177;0.692
"1997-02-19";0;1.171;0.654
"1997-02-20";0;1.332;0.664
"1997-02-21";0;1.23;0.647
"1997-02-22";0;1.08;0.598
"1997-02-23";0.031;1.195;0.569
"1997-02-24";0;1.133;0.54
"1997-02-25";0;1.263;0.499
"1997-02-26";0;1.432;0.439
"1997-02-27";0;1.21;0.404
"1997-02-28";0;1.129;0.346
"1997-03-01";0;1.129;0.298
"1997-03-02";0;1.375;0.276
"1997-03-03";0;1.812;0.265
"1997-03-04";0;1.751;0.278
"1997-03-05";0;1.612;0.301
"1997-03-06";0;1.685;0.313
"1997-03-07";0;1.557;0.322
"1997-03-08";0;1.511;0.34
"1997-03-09";0;1.483;0.318
"1997-03-10";0;1.581;0.347
"1997-03-11";0;1.647;0.368
