BV,param_final,temps_calibration,NSE_calibration,ti_train,tf_train,ti_test,tf_test,NSE_test,MAE_test,training_finished
A1072010,[357.80924171  -1.28618549  33.78442846   1.16366366],0.5678720474243164,0.4732533319198109,1997-01-30,2005-02-06,2008-04-06,2012-12-31,0.8282378839052247,0.20872585512410166,True
A3301010,[ 9.43880907e+02 -6.48540265e-01  3.11869582e+01  1.39789790e+00],0.4187171459197998,0.3599946439519682,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8001790015561396,0.15683589427383787,True
A7010610,[ 2.95893621e+02 -1.20288207e-01  6.60227910e+01  2.17867868e+00],0.36984777450561523,0.4933235346568614,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.9124724129765072,0.22362001192742786,True
A9612010,[ 2.29202050e+03 -2.16326966e-01  2.01561988e+01  1.17314357e+00],0.5292181968688965,0.6644346233877508,1997-01-30,2004-09-05,2008-06-10,2012-12-31,-0.4936799564435692,0.23832531917024433,True
B2130010,[259.82283632  -1.71817683  79.83803341   3.6036036 ],0.41260385513305664,0.46252589856087106,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.9129083320284486,0.177736684749355,True
B3010010,[228.14924542  -0.92863473 129.02420211   5.3506006 ],0.47744274139404297,0.4404941761153266,1997-01-30,2005-11-19,2008-09-24,2012-12-31,0.9072047562563027,0.1672141892690496,True
B5572010,[ 4.28375437e+02 -3.78500142e-01  4.74653514e+01  1.53453453e+00],0.3571305274963379,0.5662572266902505,1997-01-30,2005-01-23,2008-03-28,2012-12-31,0.8441141194172285,0.26490529648408373,True
D0137010,[167.61464244  -1.40246655  24.63137171   1.47699545],0.5238032341003418,0.5149886807112285,1997-01-30,2005-01-26,2008-03-29,2012-12-31,0.8055363615837943,0.24403028967639487,True
D0137020,[196.36987535   0.22177897  14.5850933    2.21771772],0.39304471015930176,0.6072267969642302,1997-01-30,2005-02-28,2008-04-15,2012-12-31,0.793503998915946,0.4262251627508269,True
E1566010,[ 5.27112979e+03 -2.37556795e+00  4.19893035e+02  1.12462462e+00],0.4611086845397949,0.09571652053889396,1997-01-30,2004-10-21,2007-09-20,2012-12-31,-2.0381722470057912,0.10119259107083882,True
E3518510,[804.32225214  -6.36451106 270.42640743   0.96846847],0.5481925010681152,0.30194106807162097,1997-01-30,2005-01-11,2008-03-05,2012-12-30,0.7086293975105429,0.1940692941972867,True
E4306010,[ 6.01845038e+02 -3.57189729e-01  1.32953574e+02  9.97747748e-01],0.4489457607269287,0.44854296050871406,1997-01-30,2005-01-17,2008-03-16,2012-12-31,0.8612723602948594,0.25902831048143227,True
E6456510,[ 2.87028992e+03 -9.79079958e+00  7.54007462e+02  1.01039273e+00],0.5478062629699707,0.16135969297444439,1997-01-30,2004-11-02,2008-05-10,2012-12-31,0.2595422965884334,0.0743081321441274,True
G6003010,[ 6.70091927e+03 -3.89931867e+00  6.39061057e+02  1.02702703e+00],0.616034746170044,0.2081432701771562,1997-01-30,2004-10-11,2008-01-24,2012-12-31,-0.3269478386845206,0.1366158006222274,True
H1503910,[268.11846484 -11.72908002 501.52775249  14.46189305],1.4576549530029297,0.16981273584182113,1997-01-30,2004-12-14,2008-03-11,2012-12-31,0.7111548391980771,0.1246003177903669,True
H2001020,[364.9410019    1.06099101 198.31842987   1.05404828],0.46463584899902344,0.7855274211266648,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.8616928204574493,0.4288219030536296,True
