BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_train,MAE_train,NSE_val,MAE_val,NSE_test,MAE_test,training_finished,epoch,loss_fonction,training_time,nom
A3301010,90,1997-03-31,2005-02-13,2008-04-10,2012-12-31,0.95642316,0.06723535,0.72116625,0.12254252,0.7093938,0.14930147,True,266,MAE,501.6459991931915,Fabio
A3301010,90,1997-03-31,2005-02-13,2008-04-10,2012-12-31,0.9339903,0.09922149,0.68662107,0.13851483,0.78887284,0.1376359,True,121,NSE,219.4696319103241,Fabio
A7010610,90,1997-03-31,2005-02-13,2008-04-10,2012-12-31,0.9684162,0.17029753,0.8662211,0.27331594,0.87209845,0.26268852,True,183,MAE,306.9127526283264,Fabio
A7010610,90,1997-03-31,2005-02-13,2008-04-10,2012-12-31,0.97683954,0.15420777,0.8454181,0.29720193,0.900899,0.22729605,True,176,NSE,268.6606769561768,Fabio
A9612010,90,1997-03-31,2004-10-05,2008-06-28,2012-12-31,0.81474155,0.15848263,-0.56810045,0.19164008,-0.6015632,0.2460621,True,100,MAE,146.47210311889648,Fabio
A9612010,90,1997-03-31,2004-10-05,2008-06-28,2012-12-31,0.8092818,0.17432585,-0.8328103,0.20228198,-0.82892096,0.2757739,True,100,NSE,145.6373176574707,Fabio
B3010010,90,1997-03-31,2005-12-19,2008-10-12,2012-12-31,0.9552757,0.13886082,0.8472947,0.30586493,0.84883946,0.34451893,True,163,MAE,217.7012414932251,Fabio
B3010010,90,1997-03-31,2005-12-19,2008-10-12,2012-12-31,0.8802957,0.28139606,0.8248806,0.3015053,0.8630091,0.2870667,True,208,NSE,282.2428925037384,Fabio
E1566010,90,1997-03-31,2004-11-20,2007-10-08,2012-12-31,0.17770666,0.18235897,-7.9547367,0.16016576,-4.308073,0.120566465,True,99,MAE,136.62974882125854,Fabio
E1566010,90,1997-03-31,2004-11-20,2007-10-08,2012-12-31,0.42739278,0.1615396,-9.578667,0.14841384,-3.6603098,0.10478425,True,99,NSE,137.78931879997253,Fabio
G6003010,90,1997-03-31,2004-11-10,2008-02-11,2012-12-31,0.603634,0.17002349,-3.576251,0.18556103,-1.506741,0.1692947,True,100,MAE,150.21358227729797,Fabio
G6003010,90,1997-03-31,2004-11-10,2008-02-11,2012-12-31,0.64070034,0.17521892,-5.6607366,0.224586,-1.8139791,0.17597376,True,100,NSE,152.11256742477417,Fabio
H2342030,90,1997-11-06,2005-06-03,2008-06-16,2012-12-31,0.97207594,0.079194434,0.8420036,0.17202367,0.8569426,0.13854977,True,121,MAE,182.4319427013397,Fabio
H2342030,90,1997-11-06,2005-06-03,2008-06-16,2012-12-31,0.9718946,0.10374635,0.84669536,0.17797942,0.8560332,0.16499822,True,123,NSE,183.3306221961975,Fabio
H5302010,90,1997-03-31,2004-09-23,2008-07-15,2012-12-31,0.88167167,0.111034185,0.2657494,0.16874418,-0.012112379,0.1743929,True,114,MAE,165.9244647026062,Fabio
H5302010,90,1997-03-31,2004-09-23,2008-07-15,2012-12-31,0.91512394,0.120365396,0.0066108704,0.19751199,-0.32564867,0.2064975,True,114,NSE,167.91080951690674,Fabio
