BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_train,MAE_train,NSE_val,MAE_val,NSE_test,MAE_test,training_finished,epoch,loss_fonction,training_time,nom
A1072010,7,1997-01-07,2005-01-26,2008-03-30,2012-12-31,0.7582301,0.28057057,0.38163364,0.42526057,0.67186964,0.33948675,True,150,MAE,34.5773184299469,Loic
A1072010,7,1997-01-07,2005-01-26,2008-03-30,2012-12-31,0.7983886,0.29286808,0.32417196,0.43970308,0.6366966,0.37228873,True,112,NSE,20.178788423538208,Loic
A1072010,15,1997-01-15,2005-01-30,2008-04-01,2012-12-31,0.8317042,0.22053021,0.42315704,0.38070843,0.6830354,0.3096864,True,117,MAE,40.04515528678894,Loic
A1072010,15,1997-01-15,2005-01-30,2008-04-01,2012-12-31,0.8844744,0.22731587,0.4143529,0.39475212,0.66942275,0.34305364,True,121,NSE,44.14162516593933,Loic
A1072010,30,1997-01-30,2005-02-06,2008-04-06,2012-12-31,0.935773,0.12938663,0.45853305,0.3532232,0.6593206,0.34445718,True,254,MAE,149.99669075012207,Loic
A1072010,30,1997-01-30,2005-02-06,2008-04-06,2012-12-31,0.90019006,0.18729438,0.51461,0.34220287,0.70658845,0.2963667,True,120,NSE,72.13641285896301,Loic
A3301010,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.71242446,0.22397113,0.52938485,0.17795722,0.43140185,0.2307197,True,186,MAE,47.17974352836609,Loic
A3301010,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.7711087,0.2327798,0.4523983,0.20585433,0.45704722,0.24701007,True,144,NSE,37.33688020706177,Loic
A3301010,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.8434218,0.16559684,0.5183575,0.17414299,0.57781005,0.20497747,True,162,MAE,60.50488662719727,Loic
A3301010,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.824641,0.19173172,0.5677977,0.1698933,0.6280856,0.20011091,True,121,NSE,46.9068558216095,Loic
A3301010,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.9112149,0.1144675,0.5632997,0.16479777,0.6767881,0.1756198,True,163,MAE,97.30468106269836,Loic
A3301010,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8865319,0.14687526,0.65422213,0.13932455,0.66189635,0.16956492,True,121,NSE,60.47973299026489,Loic
A7010610,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.81691563,0.46205762,0.63004667,0.52510256,0.6785576,0.43986237,True,191,MAE,32.06706476211548,Loic
A7010610,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.82727855,0.484014,0.6566001,0.5087564,0.68486154,0.4774751,True,186,NSE,38.16457486152649,Loic
A7010610,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.94297284,0.25803003,0.689595,0.4648821,0.7742845,0.35357764,True,225,MAE,86.11344385147095,Loic
A7010610,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.9318247,0.3000492,0.7147709,0.44969153,0.73967284,0.3926699,True,180,NSE,69.66255807876587,Loic
A7010610,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.9541877,0.21236393,0.8279589,0.31143484,0.8624375,0.28246748,True,176,MAE,99.07229804992676,Loic
A7010610,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.97032964,0.1997893,0.8322183,0.31860703,0.82601845,0.3137395,True,209,NSE,127.2072296142578,Loic
A9612010,7,1997-01-07,2004-08-25,2008-06-03,2012-12-31,0.49135876,0.2554241,-0.8124734,0.22705446,-0.9009346,0.26763952,True,99,MAE,25.180113077163696,Loic
A9612010,7,1997-01-07,2004-08-25,2008-06-03,2012-12-31,0.6722678,0.25256228,-2.8238692,0.28595826,-1.4914398,0.31437087,True,101,NSE,25.9163179397583,Loic
A9612010,15,1997-01-15,2004-08-29,2008-06-05,2012-12-31,0.60431826,0.22923693,-1.3081679,0.2511261,-1.1795325,0.28861877,True,100,MAE,36.08668851852417,Loic
A9612010,15,1997-01-15,2004-08-29,2008-06-05,2012-12-31,0.7800735,0.23093832,-1.693461,0.2646559,-1.300559,0.29582474,True,113,NSE,41.565879821777344,Loic
A9612010,30,1997-01-30,2004-09-05,2008-06-10,2012-12-31,0.63711244,0.18386753,-1.1760066,0.24422228,-1.3404949,0.2773047,True,100,MAE,57.191234827041626,Loic
A9612010,30,1997-01-30,2004-09-05,2008-06-10,2012-12-31,0.81434,0.20479792,-1.4320478,0.2478833,-1.8630493,0.30896688,True,112,NSE,59.293967485427856,Loic
B2130010,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.6751867,0.42857242,0.60179543,0.3969775,0.6705589,0.36004955,True,194,MAE,33.06845736503601,Loic
B2130010,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.7486322,0.43061435,0.6108357,0.4050434,0.59734833,0.40883154,True,191,NSE,33.09137487411499,Loic
B2130010,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,0.8555207,0.2645436,0.70854473,0.3385776,0.7183633,0.30783314,True,135,MAE,37.76576256752014,Loic
B2130010,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,0.8946593,0.27588853,0.7203858,0.32996678,0.67951,0.34874627,True,147,NSE,45.135876417160034,Loic
B2130010,30,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.90942883,0.1635331,0.7989195,0.26991305,0.8142063,0.23656394,True,164,MAE,99.96610355377196,Loic
B2130010,30,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.9626796,0.15738824,0.7918426,0.28618655,0.7981286,0.25355074,True,188,NSE,116.79038906097412,Loic
D0137020,7,1997-01-07,2005-02-17,2008-04-08,2012-12-31,0.8441131,0.41899997,0.6671165,0.5259377,0.59817517,0.53322077,True,210,MAE,54.22361731529236,Loic
D0137020,7,1997-01-07,2005-02-17,2008-04-08,2012-12-31,0.9018814,0.38863292,0.70099986,0.50581074,0.6370858,0.500388,True,339,NSE,89.38748097419739,Loic
D0137020,15,1997-01-15,2005-02-21,2008-04-11,2012-12-31,0.8741124,0.3718488,0.7307763,0.48676032,0.6322774,0.52455163,True,152,MAE,57.79326272010803,Loic
D0137020,15,1997-01-15,2005-02-21,2008-04-11,2012-12-31,0.90403223,0.3615773,0.7421987,0.47044414,0.6401192,0.48393133,True,215,NSE,83.18128228187561,Loic
D0137020,30,1997-01-30,2005-02-28,2008-04-15,2012-12-31,0.95338374,0.2285938,0.78939265,0.42468873,0.67069626,0.46047056,True,179,MAE,107.58776140213013,Loic
D0137020,30,1997-01-30,2005-02-28,2008-04-15,2012-12-31,0.95386255,0.269895,0.75678587,0.45300582,0.7004351,0.43825722,True,198,NSE,117.51009440422058,Loic
E6456510,7,1997-01-07,2004-10-21,2008-05-03,2012-12-31,0.018731654,0.21307859,-1.7890859,0.13572748,-1.1098359,0.13307361,True,125,MAE,32.49475049972534,Loic
E6456510,7,1997-01-07,2004-10-21,2008-05-03,2012-12-31,0.024748623,0.22763667,-6.8110414,0.2485047,-4.5674205,0.23027995,True,99,NSE,26.49532723426819,Loic
E6456510,15,1997-01-15,2004-10-25,2008-05-05,2012-12-31,0.4225307,0.15924586,-5.607966,0.19998085,-3.6263041,0.18446495,True,223,MAE,84.40574979782104,Loic
E6456510,15,1997-01-15,2004-10-25,2008-05-05,2012-12-31,0.18011022,0.20527697,-2.6641262,0.15743417,-2.0331006,0.15563203,True,100,NSE,38.96641993522644,Loic
E6456510,30,1997-01-30,2004-11-02,2008-05-10,2012-12-31,0.2797556,0.18078266,-2.1351817,0.12893122,-0.9572569,0.11540361,True,99,MAE,60.23630094528198,Loic
E6456510,30,1997-01-30,2004-11-02,2008-05-10,2012-12-31,0.30596137,0.19093058,-4.964831,0.20740524,-3.52316,0.19173096,True,100,NSE,61.30608248710632,Loic
H2322010,7,1997-01-07,2005-01-04,2008-03-17,2012-12-31,0.65905464,0.32403758,0.37725753,0.46369115,0.5689444,0.353934,True,165,MAE,43.7666699886322,Loic
