BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_train,MAE_train,NSE_val,MAE_val,NSE_test,MAE_test,training_finished,epoch,loss_fonction,training_time,nom
A1072010,7,1997-01-07,2005-01-26,2008-03-30,2012-12-31,0.7460643,0.28945467,0.4042787,0.42022553,0.67339283,0.34057748,True,134,MAE,42.69466042518616,Nicolas
A1072010,15,1997-01-15,2005-01-30,2008-04-01,2012-12-31,0.94514,0.13824157,0.4490822,0.39516136,0.66803247,0.34464467,True,267,MAE,137.45935940742493,Nicolas
A1072010,30,1997-01-30,2005-02-06,2008-04-06,2012-12-31,0.9071533,0.15880173,0.51598555,0.3350584,0.7201929,0.3100613,True,181,MAE,154.52953267097473,Nicolas
A3301010,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.684644,0.22986265,0.5389763,0.1733742,0.47870642,0.22103234,True,165,MAE,58.13882517814636,Nicolas
A3301010,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.8359139,0.16728146,0.5468488,0.16635557,0.59238076,0.19841605,True,167,MAE,94.96677541732788,Nicolas
A3301010,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8790724,0.13627248,0.49693358,0.19423369,0.62799364,0.19636367,True,121,MAE,101.02127695083618,Nicolas
A7010610,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.817461,0.46646482,0.6277509,0.5374959,0.6337254,0.47316077,True,236,MAE,76.63326096534729,Nicolas
A7010610,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.93617994,0.26542994,0.7185117,0.43048504,0.7598426,0.37342647,True,239,MAE,123.04530215263368,Nicolas
A7010610,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.98112917,0.13949618,0.8182229,0.35458586,0.80766547,0.31922653,True,312,MAE,265.11453795433044,Nicolas
A9612010,7,1997-01-07,2004-08-25,2008-06-03,2012-12-31,0.5221672,0.25610602,-1.5934746,0.26778838,-1.778264,0.3212595,True,101,MAE,36.79296588897705,Nicolas
A9612010,15,1997-01-15,2004-08-29,2008-06-05,2012-12-31,0.5735997,0.23694341,-1.0081544,0.23508917,-0.960279,0.2790466,True,100,MAE,53.37717843055725,Nicolas
A9612010,30,1997-01-30,2004-09-05,2008-06-10,2012-12-31,0.64430195,0.19921555,-2.1016452,0.30049673,-2.1052914,0.35163254,True,102,MAE,91.74731922149658,Nicolas
B2130010,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.703273,0.40961868,0.6216527,0.3890349,0.65430737,0.36267594,True,217,MAE,80.52563381195068,Nicolas
B2130010,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,0.86404526,0.25415936,0.7121769,0.3430651,0.7139375,0.30634823,True,142,MAE,81.6130383014679,Nicolas
B2130010,30,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.92040133,0.16043732,0.7822896,0.29594034,0.7915405,0.25636736,True,142,MAE,125.60091042518616,Nicolas
D0137010,7,1997-01-07,2005-01-15,2008-03-22,2012-12-31,0.8858482,0.26876745,0.71097124,0.3225474,0.6224276,0.37541148,True,221,MAE,84.2162537574768,Nicolas
D0137010,15,1997-01-15,2005-01-19,2008-03-24,2012-12-31,0.9434938,0.18492109,0.79574716,0.2668168,0.6794981,0.31727177,True,276,MAE,151.15361857414246,Nicolas
D0137010,30,1997-01-30,2005-01-26,2008-03-29,2012-12-31,0.98146987,0.10565399,0.8208994,0.28927183,0.60689867,0.3491063,True,405,MAE,322.3424618244171,Nicolas
E4306010,7,1997-01-07,2005-01-05,2008-03-10,2012-12-31,0.6666136,0.47308055,0.5120528,0.52195704,0.6874561,0.51746976,True,208,MAE,63.629385232925415,Nicolas
E4306010,15,1997-01-15,2005-01-09,2008-03-12,2012-12-31,0.80283785,0.3575391,0.39264703,0.5516763,0.6852757,0.4764909,True,140,MAE,63.5753664970398,Nicolas
E4306010,30,1997-01-30,2005-01-17,2008-03-16,2012-12-31,0.88320637,0.23315245,0.38108593,0.53255063,0.6923861,0.43520674,True,152,MAE,109.89781188964844,Nicolas
H2001020,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.7123456,0.71261626,0.38430476,0.9288806,0.51319444,0.8080482,True,282,MAE,86.65585374832153,Nicolas
H2001020,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,0.83645165,0.53720677,0.613198,0.70918727,0.700344,0.63125014,True,169,MAE,79.34450125694275,Nicolas
H2001020,30,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.8973491,0.38170862,0.47165793,0.789464,0.726316,0.58370227,True,130,MAE,99.00326991081238,Nicolas
H3322010,7,1997-01-07,2005-01-04,2008-03-17,2012-12-31,0.62490493,0.22582303,0.25414515,0.17427853,0.51747876,0.18710256,True,108,MAE,41.02729272842407,Nicolas
H3322010,15,1997-01-15,2005-01-08,2008-03-20,2012-12-31,0.87509984,0.1294238,0.20493823,0.1628115,0.44635832,0.1754756,True,132,MAE,72.5550012588501,Nicolas
H3322010,30,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.91758263,0.092382886,0.35736334,0.15175307,0.53687876,0.16004556,True,141,MAE,106.94450521469116,Nicolas
H6053010,7,1997-01-07,2005-02-08,2008-04-07,2012-12-31,0.82076186,0.40050834,0.6636661,0.48577684,0.46366745,0.4820469,True,161,MAE,50.37362551689148,Nicolas
H6053010,15,1997-01-15,2005-02-12,2008-04-09,2012-12-31,0.8930156,0.28789696,0.7177459,0.41766867,0.53274965,0.4323091,True,178,MAE,73.54515075683594,Nicolas
H6053010,30,1997-01-30,2005-02-20,2008-04-14,2012-12-31,0.932773,0.21412438,0.7464753,0.36606395,0.70379215,0.34657016,True,182,MAE,134.8965413570404,Nicolas
H7423710,7,1997-01-07,2004-10-20,2007-12-01,2012-07-31,0.06273407,0.18761668,-3.7516599,0.17716967,-2.226852,0.11400993,True,127,MAE,39.23500061035156,Nicolas
H7423710,15,1997-01-15,2004-10-24,2007-12-04,2012-07-31,0.35433042,0.14734896,-5.244578,0.20212825,-3.6940155,0.13766015,True,145,MAE,61.348984479904175,Nicolas
H7423710,30,1997-01-30,2004-11-01,2007-12-08,2012-07-31,0.55979085,0.10905925,-5.9382873,0.20800975,-4.9372287,0.14822684,True,133,MAE,100.19650483131409,Nicolas
H9913010,7,1997-01-07,2005-01-14,2008-04-09,2012-12-31,0.045546293,0.28193897,-2.5546925,0.22660895,-0.53832006,0.13756476,True,101,MAE,30.703733205795288,Nicolas
H9913010,15,1997-01-15,2005-01-18,2008-04-11,2012-12-31,0.16294897,0.26558024,-2.962528,0.2363626,-1.3495965,0.15639836,True,100,MAE,45.5383038520813,Nicolas
H9913010,30,1997-01-30,2005-01-25,2008-04-16,2012-12-31,0.4815659,0.18996677,-4.2941113,0.25479937,-3.338698,0.1974114,True,100,MAE,75.8687391281128,Nicolas
I7102020,7,1997-01-07,2005-11-21,2008-10-01,2012-12-31,0.8126428,0.55040467,0.5773295,0.652592,0.8212595,0.53781945,True,160,MAE,47.12769174575806,Nicolas
I7102020,15,1997-01-15,2005-11-25,2008-10-03,2012-12-31,0.90099454,0.3880772,0.72233546,0.5213088,0.8528893,0.47797564,True,173,MAE,77.84332013130188,Nicolas
I7102020,30,1997-03-07,2005-12-02,2008-10-07,2012-12-31,0.9691238,0.19340974,0.7700153,0.4998054,0.88144207,0.38637266,True,275,MAE,179.8602693080902,Nicolas
J3323020,7,1997-01-07,2005-01-06,2008-03-18,2012-12-31,0.58961266,0.5444018,0.29366016,0.56736785,0.5495906,0.5540608,True,103,MAE,29.736013412475582,Nicolas
J3323020,15,1997-01-15,2005-01-10,2008-03-21,2012-12-31,0.8049936,0.37777185,0.41978902,0.4932764,0.6023015,0.5205689,True,132,MAE,58.06461000442505,Nicolas
J3323020,30,1997-01-30,2005-01-18,2008-03-25,2012-12-31,0.9325769,0.21971557,0.6519486,0.3982928,0.73214155,0.40595928,True,134,MAE,95.75890564918518,Nicolas
J8632410,7,1997-01-07,2004-12-24,2008-03-27,2012-12-31,0.7977152,0.39929667,0.51543653,0.43641278,0.12533516,0.39953116,True,159,MAE,46.71122646331787,Nicolas
J8632410,15,1997-01-15,2004-12-28,2008-03-29,2012-12-31,0.92674536,0.23688884,0.64272773,0.35397023,0.17788327,0.3688616,True,176,MAE,76.22852754592896,Nicolas
J8632410,30,1997-01-30,2005-01-04,2008-04-03,2012-12-31,0.9594113,0.1661957,0.81103075,0.27794042,0.73832923,0.25141597,True,173,MAE,120.0611503124237,Nicolas
