BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_test,MAE_test,training_finished
A1072010,7,1997-01-07,2005-01-26,2008-03-30,2012-12-31,0.64896494,0.3681008,True
A1072010,15,1997-01-15,2005-01-30,2008-04-01,2012-12-31,0.70320255,0.3247084,True
A1072010,30,1997-01-30,2005-02-06,2008-04-06,2012-12-31,0.7103758,0.29845312,True
B2130010,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.64621174,0.40819198,True
B2130010,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,0.7064531,0.3320746,True
B2130010,30,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.78549224,0.28023952,True
D0137020,7,1997-01-07,2005-02-17,2008-04-08,2012-12-31,0.6168752,0.5105796,True
D0137020,15,1997-01-15,2005-02-21,2008-04-11,2012-12-31,0.7101742,0.44824588,True
D0137020,30,1997-01-30,2005-02-28,2008-04-15,2012-12-31,0.681044,0.44570184,True
E6456510,7,1997-01-07,2004-10-21,2008-05-03,2012-12-31,-2.642136,0.18041949,True
E6456510,15,1997-01-15,2004-10-25,2008-05-05,2012-12-31,-1.7658453,0.15090232,True
E6456510,30,1997-01-30,2004-11-02,2008-05-10,2012-12-31,-2.23817,0.15323658,True
H2322010,7,1997-01-07,2005-01-04,2008-03-17,2012-12-31,0.58237463,0.37537563,True
H2322010,15,1997-01-15,2005-01-08,2008-03-19,2012-12-31,0.58968866,0.32347018,True
H2322010,30,1997-01-30,2005-01-16,2008-03-24,2012-12-31,0.73228425,0.24399644,True
H5083050,7,1997-01-07,2005-02-15,2008-04-11,2012-12-31,0.3405167,0.45642602,True
H5083050,15,1997-01-15,2005-02-19,2008-04-14,2012-12-31,0.5279253,0.35163087,True
H5083050,30,1997-01-30,2005-02-27,2008-04-18,2012-12-31,0.62960273,0.30919543,True
H6233020,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.5800048,0.458612,True
H6233020,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.53233224,0.47732365,True
H6233020,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.60560423,0.4153321,True
H7813010,7,1997-01-07,2004-04-26,2007-03-31,2011-08-16,-8.775605,0.18843181,True
H7813010,15,1997-01-15,2004-04-30,2007-04-03,2011-08-16,-6.8561335,0.16847509,True
H7813010,30,1997-01-30,2004-05-07,2007-04-07,2011-08-16,-6.42937,0.15826681,True
I0113010,7,1997-01-07,2005-01-25,2008-03-26,2012-12-31,-0.7265495,0.20141315,True
I0113010,15,1997-02-14,2005-01-29,2008-03-29,2012-12-31,-1.732868,0.23359549,True
I0113010,30,1997-02-14,2005-01-29,2008-03-29,2012-12-31,-0.6274421,0.20901106,True
I7222020,7,1997-01-07,2004-09-08,2008-07-06,2012-12-31,0.7634963,0.5980808,True
I7222020,15,1997-01-15,2004-09-12,2008-07-08,2012-12-31,0.7910608,0.5267624,True
I7222020,30,1997-01-30,2004-09-20,2008-07-12,2012-12-31,0.87661356,0.40311915,True
J5704810,7,1997-01-07,2005-01-29,2008-04-01,2012-12-31,0.42104793,0.7157711,True
J5704810,15,1997-01-15,2005-02-02,2008-04-04,2012-12-31,0.5993564,0.5970694,True
J5704810,30,1997-01-30,2005-02-10,2008-04-08,2012-12-31,0.76932895,0.4690012,True
K1284810,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.6495584,0.79165065,True
K1284810,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,0.79658765,0.56986517,True
K1284810,30,1997-01-30,2005-01-15,2008-03-23,2012-12-31,0.8324447,0.4881382,True
K1764020,7,1997-01-07,2005-01-04,2008-03-17,2012-12-31,0.70569193,0.42109087,True
K1764020,15,1997-01-15,2005-01-08,2008-03-19,2012-12-31,0.79624534,0.35819843,True
K1764020,30,1997-01-30,2005-01-15,2008-03-24,2012-12-31,0.8574586,0.28526455,True
K4013010,7,1997-01-07,2004-12-28,2008-04-03,2012-12-31,-1.0904803,0.32698745,True
K4013010,15,1997-01-15,2005-01-01,2008-04-05,2012-12-31,-0.39649785,0.30527043,True
K4013010,30,1997-01-30,2005-01-09,2008-04-10,2012-12-31,0.60976267,0.17401882,True
L0914020,7,1997-01-07,2005-02-03,2008-03-28,2012-12-31,0.2563951,0.5180758,True
L0914020,15,1997-01-15,2005-02-07,2008-03-30,2012-12-31,0.46478003,0.4218361,True
L0914020,30,1997-01-30,2005-02-15,2008-04-04,2012-12-31,0.5884936,0.34806922,True
M0424810,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,-1.798799,0.20366085,True
M0424810,15,1997-01-15,2005-01-07,2008-03-19,2012-12-31,-2.7809846,0.23172466,True
M0424810,30,1997-01-30,2005-01-15,2008-03-23,2012-12-31,-2.253153,0.19798896,True
M3014010,7,1997-01-07,2005-01-04,2008-03-17,2012-12-31,0.65107286,0.44126678,True
