BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_train,MAE_train,NSE_val,MAE_val,NSE_test,MAE_test,training_finished,epoch
A9612010,7,1997-01-07,2004-08-25,2008-06-03,2012-12-31,0.66970605,0.25013003,-2.0368195,0.2591135,-1.1911483,0.29365253,True,103
A9612010,15,1997-01-15,2004-08-29,2008-06-05,2012-12-31,0.7746787,0.22610912,-2.1404073,0.26984107,-1.3218617,0.29348934,True,115
A9612010,7,1997-01-07,2004-08-25,2008-06-03,2012-12-31,0.66760516,0.25566685,-2.2213814,0.29208606,-1.6547992,0.3387568,True,101
A9612010,15,1997-01-15,2004-08-29,2008-06-05,2012-12-31,0.73864317,0.23526071,-1.4860628,0.26443198,-1.3081684,0.3073662,True,102
A9612010,30,1997-01-30,2004-09-05,2008-06-10,2012-12-31,0.72214884,0.22327465,-1.4288011,0.2632166,-1.4111733,0.32543272,True,100
D0137010,7,1997-01-07,2005-01-15,2008-03-22,2012-12-31,0.88476366,0.29576406,0.72572315,0.3214046,0.6003585,0.38300726,True,195
D0137010,15,1997-01-15,2005-01-19,2008-03-24,2012-12-31,0.9226607,0.25266185,0.7872603,0.27062377,0.5947951,0.37235984,True,206
D0137010,30,1997-01-30,2005-01-26,2008-03-29,2012-12-31,0.9515431,0.20182803,0.81319034,0.27279213,0.641544,0.33093846,True,224
E4306010,7,1997-01-07,2005-01-05,2008-03-10,2012-12-31,0.7383015,0.45257825,0.5387875,0.5077018,0.65334654,0.5223235,True,296
E4306010,15,1997-01-15,2005-01-09,2008-03-12,2012-12-31,0.84732854,0.35987076,0.55626225,0.4648869,0.7238662,0.46216255,True,200
