BV,seq_len,ti_train,tf_train,ti_test,tf_test,NSE_test,MAE_test,training_finished
A7010610,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.6224365,0.5077832,True
A7010610,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.77545816,0.37098998,True
A7010610,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.80924624,0.33935702,True
B5572010,7,1997-01-07,2005-01-11,2008-03-21,2012-12-31,0.6475392,0.42998064,True
B5572010,15,1997-01-15,2005-01-15,2008-03-24,2012-12-31,0.6964474,0.38018575,True
B5572010,30,1997-01-30,2005-01-23,2008-03-28,2012-12-31,0.7048376,0.39431804,True
E3518510,7,1997-01-07,2004-12-29,2008-02-27,2012-12-30,0.39709336,0.33314902,True
E3518510,15,1997-01-15,2005-01-03,2008-03-01,2012-12-30,0.37006056,0.32924476,True
E3518510,30,1997-01-30,2005-01-11,2008-03-05,2012-12-30,0.18879247,0.37214243,True
H1503910,7,1997-01-07,2004-12-02,2008-03-05,2012-12-31,-0.62679696,0.29305822,True
H1503910,15,1997-01-15,2004-12-06,2008-03-07,2012-12-31,-0.83265364,0.2918927,True
H1503910,30,1997-01-30,2004-12-14,2008-03-11,2012-12-31,-1.2430048,0.28228706,True
H2513110,7,1997-01-07,2004-10-28,2007-12-12,2012-08-19,-0.3738072,0.20993555,True
H2513110,15,1997-01-15,2004-11-01,2007-12-15,2012-08-19,-0.5490731,0.22431451,True
H2513110,30,1997-01-30,2004-11-08,2007-12-19,2012-08-19,0.08220345,0.17345041,True
H5702010,7,1997-01-07,2005-01-04,2008-03-17,2012-12-31,-0.26392472,0.24188352,True
H5702010,15,1997-01-15,2005-01-08,2008-03-19,2012-12-31,-0.5889877,0.23789969,True
H5702010,30,1997-01-30,2005-01-15,2008-03-24,2012-12-31,-0.36052155,0.22965562,True
H6513010,7,1997-01-07,2005-04-09,2008-05-13,2012-12-31,-0.13083088,0.1564125,True
H6513010,15,1997-01-15,2005-04-13,2008-05-15,2012-12-31,-0.26335394,0.15174164,True
H6513010,30,1997-01-30,2005-04-21,2008-05-20,2012-12-31,0.03888178,0.14848135,True
H9021010,7,1997-01-07,2004-12-16,2008-02-10,2012-12-31,0.40461636,0.24235179,True
H9021010,15,1997-01-15,2004-12-20,2008-02-12,2012-12-31,0.15613782,0.22686899,True
H9021010,30,1997-01-30,2004-12-27,2008-02-17,2012-12-31,0.5833104,0.17346872,True
