BV_LSTM,seq_len_LSTM,ti_train_LSTM,tf_train_LSTM,ti_test_LSTM,tf_test_LSTM,NSE_train_LSTM,MAE_train_LSTM,NSE_val_LSTM,MAE_val_LSTM,NSE_test_LSTM,MAE_test_LSTM,training_finished_LSTM,epoch_LSTM,loss_fonction_LSTM,training_time_LSTM,nom_LSTM,BV_GR4J,param_final_GR4J,temps_calibration_GR4J,NSE_calibration_GR4J,ti_train_GR4J,tf_train_GR4J,ti_test_GR4J,tf_test_GR4J,NSE_test_GR4J,MAE_test_GR4J,training_finished_GR4J,BV,mean_precip,min_precip,max_precip,mean_ETP,min_ETP,max_ETP,mean_flow_mm,min_flow_mm,max_flow_mm,mean_precipitation,min_precipitation,max_precipitation,mean_evapotranspiration,min_evapotranspiration,max_evapotranspiration,training_time_norm_LSTM,best_MAE_val_LSTM,best_NSE_val_LSTM
A1072010,7,1997-01-07,2005-01-26,2008-03-30,2012-12-31,0.7582301,0.28057057,0.38163364,0.42526057,0.67186964,0.33948675,True,150,MAE,34.5773184299469,Loic,A1072010,[357.80924171  -1.28618549  33.78442846   1.16366366],0.5678720474243164,0.4732533319198109,1997-01-30,2005-02-06,2008-04-06,2012-12-31,0.8282378839052247,0.2087258551241016,True,A1072010,,,,,,,0.7360678404971519,0.032,17.284,2.521649212867899,0.0,60.446,1.8437313483915123,0.0,5.434,34.5773184299469,True,False
A1072010,7,1997-01-07,2005-01-26,2008-03-30,2012-12-31,0.7983886,0.29286808,0.32417196,0.43970308,0.6366966,0.37228873,True,112,NSE,20.178788423538208,Loic,A1072010,[357.80924171  -1.28618549  33.78442846   1.16366366],0.5678720474243164,0.4732533319198109,1997-01-30,2005-02-06,2008-04-06,2012-12-31,0.8282378839052247,0.2087258551241016,True,A1072010,,,,,,,0.7360678404971519,0.032,17.284,2.521649212867899,0.0,60.446,1.8437313483915123,0.0,5.434,20.178788423538204,True,False
A1072010,15,1997-01-15,2005-01-30,2008-04-01,2012-12-31,0.8317042,0.22053021,0.42315704,0.38070843,0.6830354,0.3096864,True,117,MAE,40.04515528678894,Loic,A1072010,[357.80924171  -1.28618549  33.78442846   1.16366366],0.5678720474243164,0.4732533319198109,1997-01-30,2005-02-06,2008-04-06,2012-12-31,0.8282378839052247,0.2087258551241016,True,A1072010,,,,,,,0.7360678404971519,0.032,17.284,2.521649212867899,0.0,60.446,1.8437313483915123,0.0,5.434,40.04515528678894,False,False
A1072010,15,1997-01-15,2005-01-30,2008-04-01,2012-12-31,0.8844744,0.22731587,0.4143529,0.39475212,0.66942275,0.34305364,True,121,NSE,44.14162516593933,Loic,A1072010,[357.80924171  -1.28618549  33.78442846   1.16366366],0.5678720474243164,0.4732533319198109,1997-01-30,2005-02-06,2008-04-06,2012-12-31,0.8282378839052247,0.2087258551241016,True,A1072010,,,,,,,0.7360678404971519,0.032,17.284,2.521649212867899,0.0,60.446,1.8437313483915123,0.0,5.434,44.14162516593933,False,False
A1072010,30,1997-01-30,2005-02-06,2008-04-06,2012-12-31,0.935773,0.12938663,0.45853305,0.3532232,0.6593206,0.34445718,True,254,MAE,149.99669075012207,Loic,A1072010,[357.80924171  -1.28618549  33.78442846   1.16366366],0.5678720474243164,0.4732533319198109,1997-01-30,2005-02-06,2008-04-06,2012-12-31,0.8282378839052247,0.2087258551241016,True,A1072010,,,,,,,0.7360678404971519,0.032,17.284,2.521649212867899,0.0,60.446,1.8437313483915123,0.0,5.434,149.99669075012207,False,True
A1072010,30,1997-01-30,2005-02-06,2008-04-06,2012-12-31,0.90019006,0.18729438,0.51461,0.34220287,0.70658845,0.2963667,True,120,NSE,72.13641285896301,Loic,A1072010,[357.80924171  -1.28618549  33.78442846   1.16366366],0.5678720474243164,0.4732533319198109,1997-01-30,2005-02-06,2008-04-06,2012-12-31,0.8282378839052247,0.2087258551241016,True,A1072010,,,,,,,0.7360678404971519,0.032,17.284,2.521649212867899,0.0,60.446,1.8437313483915123,0.0,5.434,72.13641285896301,False,True
A3301010,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.71242446,0.22397113,0.52938485,0.17795722,0.43140185,0.2307197,True,186,MAE,47.17974352836609,Loic,A3301010,[ 9.43880907e+02 -6.48540265e-01  3.11869582e+01  1.39789790e+00],0.4187171459197998,0.3599946439519682,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8001790015561396,0.1568358942738378,True,A3301010,,,,,,,0.7271540041067762,0.248,10.2,2.339075290896646,0.0,61.726,1.829243155373032,0.0,5.551,47.17974352836609,True,False
A3301010,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.7711087,0.2327798,0.4523983,0.20585433,0.45704722,0.24701007,True,144,NSE,37.33688020706177,Loic,A3301010,[ 9.43880907e+02 -6.48540265e-01  3.11869582e+01  1.39789790e+00],0.4187171459197998,0.3599946439519682,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8001790015561396,0.1568358942738378,True,A3301010,,,,,,,0.7271540041067762,0.248,10.2,2.339075290896646,0.0,61.726,1.829243155373032,0.0,5.551,37.33688020706177,True,False
A3301010,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.8434218,0.16559684,0.5183575,0.17414299,0.57781005,0.20497747,True,162,MAE,60.50488662719727,Loic,A3301010,[ 9.43880907e+02 -6.48540265e-01  3.11869582e+01  1.39789790e+00],0.4187171459197998,0.3599946439519682,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8001790015561396,0.1568358942738378,True,A3301010,,,,,,,0.7271540041067762,0.248,10.2,2.339075290896646,0.0,61.726,1.829243155373032,0.0,5.551,60.50488662719727,False,False
A3301010,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.824641,0.19173172,0.5677977,0.1698933,0.6280856,0.20011091,True,121,NSE,46.9068558216095,Loic,A3301010,[ 9.43880907e+02 -6.48540265e-01  3.11869582e+01  1.39789790e+00],0.4187171459197998,0.3599946439519682,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8001790015561396,0.1568358942738378,True,A3301010,,,,,,,0.7271540041067762,0.248,10.2,2.339075290896646,0.0,61.726,1.829243155373032,0.0,5.551,46.9068558216095,False,False
A3301010,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.9112149,0.1144675,0.5632997,0.16479777,0.6767881,0.1756198,True,163,MAE,97.30468106269836,Loic,A3301010,[ 9.43880907e+02 -6.48540265e-01  3.11869582e+01  1.39789790e+00],0.4187171459197998,0.3599946439519682,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8001790015561396,0.1568358942738378,True,A3301010,,,,,,,0.7271540041067762,0.248,10.2,2.339075290896646,0.0,61.726,1.829243155373032,0.0,5.551,97.30468106269836,False,True
A3301010,30,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8865319,0.14687526,0.65422213,0.13932455,0.66189635,0.16956492,True,121,NSE,60.47973299026489,Loic,A3301010,[ 9.43880907e+02 -6.48540265e-01  3.11869582e+01  1.39789790e+00],0.4187171459197998,0.3599946439519682,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.8001790015561396,0.1568358942738378,True,A3301010,,,,,,,0.7271540041067762,0.248,10.2,2.339075290896646,0.0,61.726,1.829243155373032,0.0,5.551,60.47973299026489,False,True
A7010610,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.81691563,0.46205762,0.63004667,0.52510256,0.6785576,0.43986237,True,191,MAE,32.06706476211548,Loic,A7010610,[ 2.95893621e+02 -1.20288207e-01  6.60227910e+01  2.17867868e+00],0.3698477745056152,0.4933235346568614,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.9124724129765072,0.2236200119274278,True,A7010610,,,,,,,1.3809483230663928,0.179,16.868,2.9634883641341547,0.0,69.408,1.7656067761806982,0.0,5.453,32.06706476211548,True,False
A7010610,7,1997-01-07,2005-01-03,2008-03-16,2012-12-31,0.82727855,0.484014,0.6566001,0.5087564,0.68486154,0.4774751,True,186,NSE,38.16457486152649,Loic,A7010610,[ 2.95893621e+02 -1.20288207e-01  6.60227910e+01  2.17867868e+00],0.3698477745056152,0.4933235346568614,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.9124724129765072,0.2236200119274278,True,A7010610,,,,,,,1.3809483230663928,0.179,16.868,2.9634883641341547,0.0,69.408,1.7656067761806982,0.0,5.453,38.16457486152649,True,False
A7010610,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.94297284,0.25803003,0.689595,0.4648821,0.7742845,0.35357764,True,225,MAE,86.11344385147095,Loic,A7010610,[ 2.95893621e+02 -1.20288207e-01  6.60227910e+01  2.17867868e+00],0.3698477745056152,0.4933235346568614,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.9124724129765072,0.2236200119274278,True,A7010610,,,,,,,1.3809483230663928,0.179,16.868,2.9634883641341547,0.0,69.408,1.7656067761806982,0.0,5.453,86.11344385147095,False,False
A7010610,15,1997-01-15,2005-01-07,2008-03-18,2012-12-31,0.9318247,0.3000492,0.7147709,0.44969153,0.73967284,0.3926699,True,180,NSE,69.66255807876587,Loic,A7010610,[ 2.95893621e+02 -1.20288207e-01  6.60227910e+01  2.17867868e+00],0.3698477745056152,0.4933235346568614,1997-01-30,2005-01-14,2008-03-23,2012-12-31,0.9124724129765072,0.2236200119274278,True,A7010610,,,,,,,1.3809483230663928,0.179,16.868,2.9634883641341547,0.0,69.408,1.7656067761806982,0.0,5.453,69.66255807876587,False,False
